,비즐라_1,비즐라_2,비즐라_3,비즐라_4,비즐라_5,비즐라_6,비즐라_7,비즐라_8,비즐라_9,비즐라_10,비즐라_11,비즐라_12,비즐라_13,비즐라_14,비즐라_15,비즐라_16,비즐라_17,비즐라_18,비즐라_19,비즐라_20
Hair,98.09230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.66474914550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.65868377685547,0.0
Person,95.91242980957031,0.0,0.0,0.0,0.0,0.0,0.0,95.83182525634766,97.45890808105469,0.0,97.11955261230469,0.0,0.0,0.0,0.0,0.0,0.0,98.0811538696289,97.54209899902344,64.98744201660156
Human,95.91242980957031,0.0,0.0,0.0,0.0,0.0,0.0,95.83182525634766,97.45890808105469,0.0,97.11955261230469,0.0,0.0,0.0,0.0,0.0,0.0,98.0811538696289,97.54209899902344,64.98744201660156
Head,91.53489685058594,0.0,0.0,0.0,0.0,0.0,0.0,75.57803344726562,0.0,0.0,79.33857727050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.32640075683594,0.0
Clothing,84.95977783203125,0.0,0.0,0.0,58.95866012573242,0.0,0.0,0.0,63.65915298461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,84.95977783203125,0.0,0.0,0.0,58.95866012573242,0.0,0.0,0.0,63.65915298461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coat,75.8128433227539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,61.99310302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9006576538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.09832000732422,0.0
Animal,0.0,93.5003890991211,98.4028091430664,98.77339172363281,96.17852020263672,94.39989471435547,96.36766815185547,0.0,0.0,93.22748565673828,0.0,87.7376937866211,91.58563232421875,98.09483337402344,92.35610961914062,91.61258697509766,89.95320892333984,0.0,0.0,92.64448547363281
Mammal,0.0,93.5003890991211,98.4028091430664,98.77339172363281,96.17852020263672,94.39989471435547,96.36766815185547,0.0,0.0,92.31192779541016,0.0,87.7376937866211,91.58563232421875,98.09483337402344,92.10661315917969,91.61258697509766,89.95320892333984,0.0,0.0,92.64448547363281
Canine,0.0,93.5003890991211,98.4028091430664,98.77339172363281,96.17852020263672,94.39989471435547,96.36766815185547,0.0,0.0,89.92599487304688,0.0,87.7376937866211,91.58563232421875,98.09483337402344,92.10661315917969,91.61258697509766,89.95320892333984,0.0,0.0,92.64448547363281
Pet,0.0,89.82572937011719,98.4028091430664,98.77339172363281,96.17852020263672,94.39989471435547,96.36766815185547,0.0,0.0,89.92599487304688,0.0,85.45967864990234,89.48982238769531,98.09483337402344,92.35610961914062,90.64010620117188,88.05061340332031,0.0,0.0,91.18415069580078
Dog,0.0,89.82572937011719,98.4028091430664,98.77339172363281,96.17852020263672,94.39989471435547,96.36766815185547,0.0,0.0,89.92599487304688,0.0,85.45967864990234,89.35746002197266,98.09483337402344,91.99669647216797,88.8855972290039,88.05061340332031,0.0,0.0,85.4010238647461
Labrador Retriever,0.0,88.57515716552734,0.0,55.314308166503906,0.0,58.30843734741211,69.06294250488281,0.0,0.0,0.0,0.0,0.0,67.50251770019531,98.09483337402344,0.0,59.86225891113281,82.66792297363281,0.0,0.0,0.0
