,사모예드_1,사모예드_2,사모예드_3,사모예드_4,사모예드_5,사모예드_6,사모예드_7,사모예드_8,사모예드_9,사모예드_10,사모예드_11,사모예드_12,사모예드_13,사모예드_14,사모예드_15,사모예드_16,사모예드_17,사모예드_18,사모예드_19,사모예드_20
Pet,94.76876068115234,95.23838806152344,94.63536834716797,57.07943344116211,0.0,91.84800720214844,85.54826354980469,0.0,95.48319244384766,66.3779067993164,0.0,98.51207733154297,80.00155639648438,56.27885437011719,57.9739990234375,0.0,91.06388854980469,90.68682861328125,90.98735046386719,93.63725280761719
Animal,94.76876068115234,95.697265625,94.63536834716797,92.59697723388672,96.50077819824219,93.41170501708984,91.98493194580078,0.0,96.46280670166016,88.91663360595703,93.82816314697266,98.51207733154297,93.25264739990234,72.93000030517578,90.56827545166016,94.55747985839844,92.07083129882812,92.86930084228516,96.07328796386719,95.03307342529297
Mammal,94.15336608886719,95.697265625,94.4193344116211,86.82976531982422,76.5378189086914,93.3698959350586,91.71942901611328,0.0,94.55438995361328,86.74848175048828,93.82816314697266,98.51207733154297,93.25264739990234,69.7388687133789,85.9359359741211,94.55747985839844,92.07083129882812,92.86930084228516,96.07328796386719,95.03307342529297
Canine,94.15336608886719,95.697265625,94.4193344116211,80.70491027832031,0.0,93.3698959350586,83.83914184570312,0.0,88.40764617919922,81.61093139648438,93.82816314697266,98.51207733154297,92.39754486083984,56.96691131591797,78.51074981689453,93.94361114501953,90.56329345703125,92.86930084228516,90.98735046386719,95.03307342529297
Dog,94.11123657226562,94.76002502441406,93.93002319335938,56.226192474365234,0.0,89.80894470214844,0.0,0.0,63.139591217041016,0.0,0.0,98.51207733154297,80.00155639648438,0.0,57.9739990234375,0.0,90.42652130126953,89.85151672363281,90.98735046386719,93.30131530761719
Husky,86.74795532226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.42652130126953,0.0,57.458126068115234,0.0
Eskimo Dog,76.76201629638672,93.9179916381836,77.56782531738281,0.0,0.0,79.42897033691406,0.0,0.0,63.139591217041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.04803466796875,71.81175231933594,57.36452865600586,87.20198059082031
Nature,0.0,0.0,93.59495544433594,0.0,0.0,83.23056030273438,66.86691284179688,0.0,0.0,0.0,0.0,0.0,81.06334686279297,0.0,98.85977172851562,0.0,0.0,98.88587188720703,95.5028305053711,0.0
Outdoors,0.0,0.0,93.59495544433594,0.0,0.0,83.23056030273438,66.86691284179688,0.0,0.0,0.0,0.0,0.0,81.06334686279297,0.0,98.85977172851562,0.0,0.0,98.88587188720703,95.5028305053711,0.0
Snowman,0.0,0.0,93.59495544433594,0.0,0.0,83.23056030273438,66.86691284179688,0.0,0.0,0.0,0.0,0.0,81.06334686279297,0.0,0.0,0.0,0.0,98.88587188720703,95.5028305053711,0.0
Winter,0.0,0.0,93.59495544433594,0.0,0.0,83.23056030273438,66.86691284179688,0.0,0.0,0.0,0.0,0.0,81.06334686279297,0.0,0.0,0.0,0.0,98.88587188720703,95.5028305053711,0.0
Snow,0.0,0.0,93.59495544433594,0.0,0.0,83.23056030273438,66.86691284179688,0.0,0.0,0.0,0.0,0.0,81.06334686279297,0.0,0.0,0.0,0.0,98.88587188720703,95.5028305053711,0.0
White Dog,0.0,0.0,64.88069152832031,0.0,0.0,59.71057891845703,0.0,0.0,0.0,0.0,0.0,0.0,64.11737060546875,0.0,0.0,0.0,71.495849609375,89.85151672363281,90.98735046386719,0.0
Arctic Fox,0.0,0.0,0.0,66.85487365722656,0.0,0.0,0.0,0.0,0.0,0.0,92.43790435791016,0.0,75.56690216064453,0.0,0.0,93.94361114501953,0.0,57.24211120605469,56.089542388916016,0.0
Fox,0.0,0.0,0.0,66.85487365722656,0.0,0.0,0.0,0.0,0.0,0.0,93.23219299316406,0.0,75.56690216064453,0.0,0.0,94.55747985839844,0.0,57.24211120605469,56.089542388916016,0.0
Wildlife,0.0,0.0,0.0,66.85487365722656,0.0,0.0,0.0,0.0,0.0,70.6342544555664,93.23219299316406,0.0,75.56690216064453,0.0,0.0,94.55747985839844,0.0,57.24211120605469,56.089542388916016,0.0
Bird,0.0,0.0,0.0,65.53430938720703,96.19852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owl,0.0,0.0,0.0,65.53430938720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,55.76814651489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.56378173828125,0.0,0.0,0.0,61.5746955871582,0.0,96.07328796386719,0.0
Poultry,0.0,0.0,0.0,0.0,96.19852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowl,0.0,0.0,0.0,0.0,96.19852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken,0.0,0.0,0.0,0.0,96.19852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hen,0.0,0.0,0.0,0.0,96.19852447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,89.52305603027344,0.0,0.0,0.0,0.0,99.78640747070312,0.0,0.0,0.0,98.4258041381836,0.0,0.0,65.55160522460938,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,89.52305603027344,0.0,0.0,0.0,0.0,99.78640747070312,0.0,0.0,0.0,98.4258041381836,0.0,0.0,65.55160522460938,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,98.26528930664062,0.0,0.0,0.0,0.0,0.0,0.0,86.5858383178711,0.0,0.0,0.0,0.0,0.0,0.0
Door,0.0,0.0,0.0,0.0,0.0,0.0,94.72440338134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,74.41724395751953,0.0,0.0,0.0,0.0,0.0,0.0,95.46466827392578,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,64.39645385742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43411254882812
Rat,0.0,0.0,0.0,0.0,0.0,0.0,64.39645385742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.43411254882812
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89591979980469,0.0,86.29582214355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75463104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.80272674560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.00615692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
