,사플라니낙_1,사플라니낙_2,사플라니낙_3,사플라니낙_4,사플라니낙_5,사플라니낙_6,사플라니낙_7,사플라니낙_8,사플라니낙_9,사플라니낙_10,사플라니낙_11,사플라니낙_12,사플라니낙_13,사플라니낙_14,사플라니낙_15,사플라니낙_16,사플라니낙_17,사플라니낙_18,사플라니낙_19,사플라니낙_20
Cat,85.5749740600586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.99075317382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,85.5749740600586,93.12805938720703,0.0,0.0,0.0,95.21880340576172,89.38966369628906,0.0,0.0,0.0,91.72055053710938,63.84027862548828,92.91592407226562,0.0,0.0,78.69686889648438,0.0,61.36688995361328,0.0,0.0
Animal,85.5749740600586,93.12805938720703,0.0,0.0,0.0,95.21880340576172,89.38966369628906,0.0,0.0,0.0,91.72055053710938,63.84027862548828,93.2735595703125,0.0,0.0,78.69686889648438,0.0,61.36688995361328,0.0,0.0
Pet,85.5749740600586,92.63492584228516,0.0,0.0,0.0,95.21880340576172,86.16345977783203,0.0,0.0,0.0,90.239501953125,63.272911071777344,93.2735595703125,0.0,0.0,77.20632934570312,0.0,0.0,0.0,0.0
Food,83.14673614501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunch,78.82249450683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meal,78.82249450683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,77.63236999511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.45701217651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fried Chicken,66.68953704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,0.0,93.12805938720703,0.0,0.0,0.0,95.21880340576172,89.38966369628906,0.0,0.0,0.0,91.72055053710938,63.84027862548828,87.37213897705078,0.0,0.0,78.69686889648438,0.0,60.95063018798828,0.0,0.0
Dog,0.0,92.63492584228516,0.0,0.0,0.0,95.21880340576172,85.717041015625,0.0,0.0,0.0,82.58883666992188,58.24838638305664,87.37213897705078,0.0,0.0,75.49945068359375,0.0,0.0,0.0,0.0
Poodle,0.0,82.1824951171875,0.0,0.0,0.0,95.21880340576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dragon,0.0,0.0,99.91011047363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Money,0.0,0.0,0.0,94.77826690673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coin,0.0,0.0,0.0,94.77826690673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dime,0.0,0.0,0.0,74.00885009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickel,0.0,0.0,0.0,68.7786636352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,99.68904113769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,99.68904113769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helmet,0.0,0.0,0.0,0.0,99.68904113769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Video Gaming,0.0,0.0,0.0,0.0,98.52348327636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,98.52348327636719,0.0,0.0,0.0,0.0,0.0,84.76935577392578,0.0,0.0,0.0,99.90497589111328,0.0,0.0,0.0,0.0,88.33616638183594
Person,0.0,0.0,0.0,0.0,98.52348327636719,0.0,0.0,0.0,0.0,0.0,84.76935577392578,0.0,0.0,0.0,99.90497589111328,0.0,0.0,0.0,0.0,88.33616638183594
Electronics,0.0,0.0,0.0,0.0,91.4264144897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.68152618408203,0.0,0.0,0.0,0.0,0.0,0.0
Screen,0.0,0.0,0.0,0.0,76.10546112060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Display,0.0,0.0,0.0,0.0,67.71990203857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitor,0.0,0.0,0.0,0.0,67.71990203857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,55.41026306152344,0.0,0.0,0.0,0.0,0.0,57.360557556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,55.41026306152344,0.0,0.0,0.0,0.0,0.0,57.360557556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,62.364688873291016,0.0,0.0,0.0,0.0,0.0,88.04601287841797,0.0,0.0,0.0,0.0,0.0,98.98767852783203,0.0,91.38310241699219
Poster,0.0,0.0,0.0,0.0,0.0,62.032310485839844,0.0,0.0,0.0,0.0,0.0,87.80794525146484,0.0,0.0,0.0,0.0,0.0,98.98767852783203,0.0,91.38310241699219
Id Cards,0.0,0.0,0.0,0.0,0.0,60.26762008666992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,60.26762008666992,0.0,0.0,58.36589431762695,99.1826171875,0.0,0.0,0.0,98.45494842529297,0.0,85.27195739746094,62.78262710571289,87.9991455078125,98.54459381103516,0.0
Document,0.0,0.0,0.0,0.0,0.0,60.26762008666992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.588531494140625,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,59.03526306152344,0.0,0.0,0.0,0.0,82.58883666992188,0.0,87.37213897705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,76.53697204589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,62.347877502441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,62.347877502441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,58.94398498535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,56.73628616333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6678466796875,97.87722778320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6678466796875,95.67350769042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.55378723144531,0.0,0.0,0.0,0.0,0.0,0.0,74.32325744628906,0.0,0.0,0.0,0.0,0.0
Can,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08158111572266,0.0,0.0,0.0,0.0,0.0,0.0,69.3167724609375,0.0,0.0,0.0,0.0,0.0
Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55316162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spray Can,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.39871215820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.31360626220703,95.15805053710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmetics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.80562973022461,72.15595245361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.36589431762695,0.0,0.0,0.0,0.0,55.89864730834961,0.0,85.27195739746094,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.93402099609375,0.0,79.55973052978516,0.0,0.0,0.0,0.0,0.0,98.98767852783203,0.0,76.2603759765625
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.72842407226562,0.0,0.0,0.0,58.13104248046875,0.0,0.0,0.0,0.0,96.69014739990234,0.0
Ticket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.30607604980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8018913269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.09745788574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.60536193847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.360557556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25917434692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25917434692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25917434692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25917434692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.97335052490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.55973052978516,0.0,0.0,0.0,0.0,0.0,98.98767852783203,0.0,76.2603759765625
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.55973052978516,0.0,0.0,0.0,0.0,0.0,98.98767852783203,0.0,76.2603759765625
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.17098236083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kitten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.653751373291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.45494842529297,0.0,0.0,0.0,0.0,77.52410125732422,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.607666015625,0.0,0.0,0.0,0.0,0.0,0.0
Number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.607666015625,0.0,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38783264160156,0.0,0.0,0.0,0.0,85.77035522460938,0.0
Gas Pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38594055175781,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38594055175781,0.0,0.0,0.0,0.0,0.0
Pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38594055175781,0.0,0.0,0.0,0.0,0.0
