,살루키_1,살루키_2,살루키_3,살루키_4,살루키_5,살루키_6,살루키_7,살루키_8,살루키_9,살루키_10,살루키_11,살루키_12,살루키_13,살루키_14,살루키_15,살루키_16,살루키_17,살루키_18,살루키_19,살루키_20
Animal,90.71062469482422,93.3332290649414,92.88385772705078,95.03850555419922,97.73419189453125,99.3468017578125,99.58674621582031,93.82310485839844,99.96107482910156,98.79524993896484,99.27886962890625,99.8166732788086,99.7777328491211,94.69734954833984,99.89098358154297,98.68863677978516,92.95196533203125,93.48779296875,94.0801773071289,95.59013366699219
Mammal,87.73118591308594,93.31716918945312,92.88385772705078,95.03850555419922,97.73419189453125,99.3468017578125,99.58674621582031,93.82310485839844,99.96107482910156,98.79524993896484,99.27886962890625,99.8166732788086,99.7777328491211,94.69734954833984,99.89098358154297,98.68863677978516,92.3243408203125,93.41397094726562,94.0801773071289,95.5683364868164
Pet,81.05158996582031,93.31716918945312,92.88385772705078,95.03850555419922,97.73419189453125,99.3468017578125,99.58674621582031,93.82310485839844,99.96107482910156,98.79524993896484,99.27886962890625,99.8166732788086,99.7777328491211,94.69734954833984,99.89098358154297,98.68863677978516,89.58515930175781,93.48779296875,92.34796142578125,95.59013366699219
Canine,80.33857727050781,93.31716918945312,92.88385772705078,95.03850555419922,97.73419189453125,99.3468017578125,99.58674621582031,93.82310485839844,99.96107482910156,98.79524993896484,99.27886962890625,99.8166732788086,99.7777328491211,94.69734954833984,99.89098358154297,98.68863677978516,90.61722564697266,93.41397094726562,94.0801773071289,95.5683364868164
Dog,80.33857727050781,93.31716918945312,92.88385772705078,95.03850555419922,97.73419189453125,99.3468017578125,99.58674621582031,93.82310485839844,99.96107482910156,98.79524993896484,99.27886962890625,99.8166732788086,99.7777328491211,94.69734954833984,99.89098358154297,98.68863677978516,87.90562438964844,90.04981231689453,92.34796142578125,95.15829467773438
Grass,71.58245849609375,0.0,0.0,0.0,55.63139343261719,0.0,0.0,60.703731536865234,0.0,83.74837493896484,0.0,76.43385314941406,0.0,57.01240539550781,88.86674499511719,0.0,99.3212661743164,0.0,0.0,0.0
Plant,71.58245849609375,0.0,0.0,0.0,56.90506362915039,0.0,0.0,60.703731536865234,0.0,83.74837493896484,0.0,76.43385314941406,0.0,57.01240539550781,88.86674499511719,0.0,99.3212661743164,0.0,0.0,0.0
Hound,59.43291473388672,93.31716918945312,92.88385772705078,66.28732299804688,96.04399871826172,99.3468017578125,94.93024444580078,83.05325317382812,99.96107482910156,71.58423614501953,97.1252670288086,69.98968505859375,99.45648956298828,64.24513244628906,99.89098358154297,98.68863677978516,62.05525207519531,90.04981231689453,0.0,92.54202270507812
Jay,0.0,77.2290267944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,77.2290267944336,0.0,66.403564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,66.45333099365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,64.15164184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,64.15164184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,64.15164184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,56.57687759399414,61.35528564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,55.062129974365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,59.98465347290039,0.0,0.0,0.0,64.01549530029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,57.64656066894531,0.0,0.0,80.71940612792969,58.98882293701172,0.0,96.40208435058594,0.0,56.0390739440918,0.0,83.80826568603516,0.0,91.26469421386719,73.92530822753906,0.0,0.0,0.0,55.73448181152344
Husky,0.0,0.0,0.0,84.1950454711914,57.52149200439453,0.0,0.0,56.644676208496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beak,0.0,0.0,0.0,66.403564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,62.20233154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1654281616211,0.0,0.0,0.0,73.6613540649414,0.0,0.0
Clothing,0.0,0.0,0.0,62.20233154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1654281616211,0.0,0.0,0.0,73.6613540649414,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,65.29753112792969,0.0,0.0,70.3897933959961,0.0,60.68360900878906,0.0,89.24465942382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,56.263580322265625,59.42082595825195,0.0,0.0,55.99953842163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,59.76638412475586,0.0,0.0,56.244041442871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56953430175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75471496582031,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.00214385986328,0.0,0.0,0.0,0.0,0.0,0.0,75.50501251220703,61.62289810180664,0.0
Footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1654281616211,0.0,0.0,0.0,0.0,0.0,0.0
Shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1654281616211,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.56072235107422,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.21205139160156,98.06242370605469,0.0,0.0,87.33338928222656,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.21205139160156,98.06242370605469,0.0,0.0,87.33338928222656,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.47303771972656,0.0,0.0,0.0,0.0,0.0,0.0
Racket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4705810546875,0.0,0.0,0.0,0.0,0.0,0.0
Tennis Racket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4705810546875,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75471496582031,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75471496582031,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75471496582031,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75471496582031,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2516098022461,85.24436950683594,58.500911712646484,64.79779815673828
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.114898681640625,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.821529388427734,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59169006347656,0.0,0.0,0.0
Antelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59169006347656,0.0,0.0,0.0
Pajamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6613540649414,0.0,0.0
