,삽살개_1,삽살개_2,삽살개_3,삽살개_4,삽살개_5,삽살개_6,삽살개_7,삽살개_8,삽살개_9,삽살개_10,삽살개_11,삽살개_12,삽살개_13,삽살개_15,삽살개_16,삽살개_17,삽살개_18,삽살개_19,삽살개_20
Animal,93.89518737792969,91.08495330810547,92.63389587402344,95.29220581054688,96.01701354980469,91.803466796875,97.90008544921875,96.01315307617188,0.0,90.787353515625,92.0272216796875,86.50877380371094,92.8118896484375,92.71279907226562,69.67855834960938,96.79879760742188,94.05121612548828,92.44989776611328,93.53702545166016
Pet,93.89518737792969,64.63593292236328,83.14105224609375,94.50982666015625,88.42071533203125,89.98125457763672,97.90008544921875,85.23307800292969,0.0,87.35975646972656,90.82003784179688,73.61212921142578,89.3326416015625,92.71279907226562,0.0,96.79879760742188,91.52787780761719,91.49272155761719,93.53702545166016
Canine,93.6711654663086,74.58988189697266,81.6253662109375,95.21585845947266,88.42071533203125,91.44718933105469,97.90008544921875,89.73625946044922,0.0,89.82989501953125,90.05713653564453,74.66897583007812,90.02081298828125,92.71279907226562,0.0,96.79879760742188,93.19149017333984,92.44989776611328,93.53702545166016
Mammal,93.6711654663086,86.676025390625,91.81611633300781,95.21585845947266,88.42071533203125,91.44718933105469,97.90008544921875,91.82217407226562,0.0,89.82989501953125,91.21166229248047,81.10494995117188,90.02081298828125,92.71279907226562,0.0,96.79879760742188,93.19149017333984,92.44989776611328,93.53702545166016
Dog,92.5975570678711,0.0,81.6253662109375,88.65521240234375,88.42071533203125,88.1196517944336,97.90008544921875,84.14474487304688,0.0,87.35975646972656,87.53020477294922,0.0,88.68195343017578,92.71279907226562,0.0,96.79879760742188,90.80262756347656,87.95011138916016,93.53702545166016
Jaguar,82.92626190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,82.92626190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,82.92626190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,82.92626190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,69.14300537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.95011138916016,0.0
Poodle,60.949851989746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.158138275146484,0.0,0.0,0.0,0.0,0.0
Person,0.0,97.99459838867188,0.0,84.92130279541016,99.17182922363281,0.0,0.0,0.0,0.0,0.0,86.80242919921875,95.75931549072266,0.0,0.0,99.60049438476562,0.0,0.0,80.04345703125,99.64550018310547
Human,0.0,97.99459838867188,0.0,84.92130279541016,99.17182922363281,0.0,0.0,0.0,0.0,0.0,86.80242919921875,95.75931549072266,0.0,0.0,99.60049438476562,0.0,0.0,80.04345703125,99.64550018310547
Art,0.0,61.97336196899414,0.0,0.0,0.0,0.0,0.0,0.0,63.90428161621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,61.97336196899414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diaper,0.0,0.0,99.99996185302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sleeping,0.0,0.0,93.20246887207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,93.20246887207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,73.59432220458984,58.87764358520508,0.0,76.0877914428711,79.58404541015625,69.14642333984375,0.0,58.966922760009766,71.68426513671875,0.0,0.0,0.0,0.0,0.0,74.83857727050781,0.0,0.0
Rodent,0.0,0.0,70.11085510253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunny,0.0,0.0,70.11085510253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rabbit,0.0,0.0,70.11085510253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,57.69191360473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,88.65521240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,98.78253173828125,0.0,0.0,0.0,0.0,0.0,0.0,89.2080078125,0.0,0.0,97.62452697753906,0.0,0.0,0.0,59.36261749267578
Clothing,0.0,0.0,0.0,0.0,98.78253173828125,0.0,0.0,0.0,0.0,0.0,0.0,89.2080078125,0.0,0.0,97.62452697753906,0.0,0.0,0.0,59.36261749267578
Pants,0.0,0.0,0.0,0.0,98.78253173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.91645050048828,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,95.1669692993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.60535430908203,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,88.42071533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93788528442383,0.0,0.0,0.0,0.0,62.39268493652344,0.0
Jeans,0.0,0.0,0.0,0.0,82.56804656982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,0.0,82.56804656982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,59.85084533691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.69389343261719,0.0,0.0,0.0,0.0,0.0
Porch,0.0,0.0,0.0,0.0,0.0,82.12118530273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.555419921875,0.0,0.0,0.0,0.0
Patio,0.0,0.0,0.0,0.0,0.0,58.86822509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,57.60362243652344,97.90008544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,57.028411865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petal,0.0,0.0,0.0,0.0,0.0,57.028411865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,57.028411865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7842025756836,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,57.028411865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,56.21672821044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6536636352539,90.74633026123047,87.67657470703125,0.0,62.71666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6536636352539,90.74633026123047,86.24553680419922,0.0,62.71666717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81578063964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81578063964844,77.87932586669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81578063964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3866195678711,0.0,69.61908721923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0916519165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0916519165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0916519165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4197006225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.97563171386719,0.0,0.0,74.79866790771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
