,샤페이_1,샤페이_2,샤페이_3,샤페이_4,샤페이_5,샤페이_6,샤페이_7,샤페이_8,샤페이_9,샤페이_10,샤페이_11,샤페이_12,샤페이_13,샤페이_14,샤페이_15,샤페이_16,샤페이_17,샤페이_18,샤페이_19,샤페이_20
Mammal,91.90736389160156,95.8550033569336,96.67286682128906,90.61134338378906,99.76029205322266,89.95484924316406,90.47199249267578,98.71858215332031,87.07963562011719,87.18186950683594,95.55561065673828,99.64978790283203,96.72943115234375,93.09989929199219,91.60546875,96.62923431396484,78.0840835571289,91.23310852050781,88.36729431152344,90.38418579101562
Animal,91.90736389160156,95.8550033569336,97.77964782714844,92.41156768798828,99.76029205322266,89.95484924316406,90.47199249267578,98.71858215332031,87.07963562011719,87.18186950683594,95.55561065673828,99.64978790283203,96.72943115234375,93.63826751708984,91.60546875,96.62923431396484,80.48941040039062,91.23310852050781,88.36729431152344,91.47586059570312
Dog,89.99443817138672,95.8550033569336,92.75645446777344,82.95606994628906,88.92880249023438,89.19129943847656,88.7420654296875,70.27925872802734,74.2703628540039,87.18186950683594,95.55561065673828,91.75435638427734,96.72943115234375,93.09989929199219,80.7429428100586,96.62923431396484,0.0,88.89398956298828,86.96355438232422,90.32437133789062
Bulldog,89.99443817138672,0.0,0.0,0.0,63.2928352355957,76.70832824707031,87.41564178466797,0.0,0.0,70.13824462890625,83.99986267089844,91.15469360351562,75.96089172363281,83.43350982666016,80.7429428100586,96.62923431396484,0.0,57.54873275756836,66.92866516113281,69.77168273925781
Pet,89.99443817138672,95.8550033569336,92.75645446777344,86.21942901611328,89.05493927001953,89.8768081665039,89.2520751953125,75.41008758544922,83.50077056884766,87.18186950683594,95.55561065673828,91.81616973876953,96.72943115234375,93.63826751708984,81.42142486572266,96.62923431396484,0.0,90.67721557617188,87.62818145751953,91.47586059570312
Canine,89.99443817138672,95.8550033569336,94.19778442382812,86.27465057373047,88.92880249023438,89.95484924316406,90.47199249267578,70.99151611328125,87.07963562011719,87.18186950683594,95.55561065673828,92.0354995727539,96.72943115234375,93.09989929199219,85.48695373535156,96.62923431396484,0.0,89.63516235351562,88.36729431152344,90.38418579101562
Gown,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38691711425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11669921875,0.0,0.0,0.0
Clothing,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38691711425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11669921875,0.0,0.0,0.0
Wedding,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fashion,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,79.77951049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,69.43022918701172,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,98.30490112304688,0.0,0.0,0.0,0.0,0.0,76.04242706298828,0.0,96.92967224121094,93.68494415283203,0.0,55.11225128173828
Person,69.43022918701172,63.206295013427734,0.0,0.0,0.0,0.0,0.0,0.0,98.30490112304688,0.0,0.0,0.0,0.0,0.0,76.04242706298828,0.0,96.92967224121094,93.68494415283203,0.0,55.11225128173828
Boxer,60.61050796508789,0.0,0.0,0.0,0.0,56.55426025390625,0.0,0.0,0.0,0.0,58.94629669189453,0.0,58.65643310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,57.95560073852539,0.0,0.0,0.0,0.0,0.0,55.665672302246094,0.0,0.0,0.0,0.0,78.2121353149414,0.0,0.0,0.0,93.94251251220703,0.0,0.0,0.0,0.0
Pug,0.0,95.8550033569336,0.0,0.0,59.982818603515625,55.9594841003418,0.0,0.0,74.2703628540039,0.0,0.0,0.0,95.6332015991211,0.0,0.0,0.0,0.0,88.89398956298828,0.0,0.0
Sitting,0.0,58.74800491333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,58.16318893432617,64.62264251708984,69.51782989501953,0.0,70.36509704589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75074768066406,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,68.56910705566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,57.31884002685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,99.76029205322266,80.31053924560547,0.0,98.71858215332031,0.0,76.32062530517578,0.0,99.64978790283203,94.5982894897461,92.26943969726562,0.0,0.0,0.0,61.90812301635742,0.0,0.0
Tiger,0.0,0.0,0.0,0.0,99.76029205322266,80.31053924560547,0.0,98.71858215332031,0.0,76.32062530517578,0.0,99.64978790283203,94.5982894897461,92.26943969726562,0.0,0.0,0.0,61.90812301635742,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,69.68645477294922,0.0,0.0,0.0,65.25196838378906,0.0,0.0,0.0,73.19320678710938,0.0,0.0,0.0,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,0.0,0.0,58.68526077270508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.73160552978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.33888244628906,0.0,0.0,0.0
Sleeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.079044342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.079044342041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19059371948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19059371948242,59.09242630004883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
