,서식스 스패니얼_1,서식스 스패니얼_2,서식스 스패니얼_3,서식스 스패니얼_4,서식스 스패니얼_5,서식스 스패니얼_6,서식스 스패니얼_7,서식스 스패니얼_8,서식스 스패니얼_9,서식스 스패니얼_10,서식스 스패니얼_11,서식스 스패니얼_12,서식스 스패니얼_13,서식스 스패니얼_14,서식스 스패니얼_15,서식스 스패니얼_16,서식스 스패니얼_17,서식스 스패니얼_18,서식스 스패니얼_19,서식스 스패니얼_20
Mammal,99.87538146972656,89.7650375366211,94.7458724975586,74.55427551269531,90.9453125,99.59137725830078,96.90548706054688,93.19905853271484,97.49591827392578,88.48193359375,91.2161636352539,86.12128448486328,0.0,0.0,93.2441177368164,93.660400390625,73.97007751464844,0.0,0.0,0.0
Pig,99.87538146972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,99.87538146972656,89.78466796875,94.7458724975586,74.55427551269531,90.9453125,99.59137725830078,96.90548706054688,93.19905853271484,97.49591827392578,90.41436767578125,91.2161636352539,86.38780212402344,0.0,0.0,93.2441177368164,93.660400390625,73.97007751464844,0.0,0.0,0.0
Canine,93.2025375366211,89.7650375366211,94.7458724975586,58.86513900756836,90.9453125,99.59137725830078,96.90548706054688,92.89702606201172,97.49591827392578,86.97317504882812,91.2161636352539,84.54134368896484,0.0,0.0,93.2441177368164,93.660400390625,73.97007751464844,0.0,0.0,0.0
Dog,93.0030746459961,88.96483612060547,93.58047485351562,0.0,90.9453125,99.59137725830078,96.90548706054688,92.07167053222656,97.49591827392578,86.97317504882812,89.8641586303711,84.40532684326172,0.0,0.0,92.65155029296875,91.95005798339844,0.0,0.0,0.0,0.0
Pet,93.0030746459961,89.78466796875,93.58047485351562,0.0,90.9453125,99.59137725830078,96.90548706054688,92.07167053222656,97.49591827392578,88.59628295898438,90.43460083007812,86.38780212402344,0.0,0.0,92.65155029296875,92.45996856689453,73.18563842773438,0.0,0.0,0.0
Spaniel,91.55362701416016,61.08076477050781,90.68392944335938,0.0,90.9453125,97.12899780273438,96.90548706054688,90.66946411132812,97.49591827392578,80.60105895996094,0.0,0.0,0.0,0.0,59.30601501464844,87.97848510742188,0.0,0.0,0.0,0.0
Cocker Spaniel,91.55362701416016,61.08076477050781,90.68392944335938,0.0,90.9453125,97.12899780273438,96.90548706054688,90.66946411132812,97.49591827392578,80.60105895996094,0.0,0.0,0.0,0.0,59.30601501464844,87.97848510742188,0.0,0.0,0.0,0.0
Puppy,0.0,66.8057861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.27614974975586,0.0,63.58495330810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,56.43119812011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4720344543457,0.0,0.0,0.0,0.0,89.68182373046875,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,94.67852783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,94.67852783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33325958251953
Sketch,0.0,0.0,0.0,79.1803207397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,78.8057632446289,84.10930633544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.03704833984375,0.0,0.0,0.0,0.0,0.0,86.97888946533203,0.0
Panther,0.0,0.0,0.0,74.55427551269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,0.0,74.55427551269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,74.55427551269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,0.0,0.0,74.55427551269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,58.86513900756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,58.86513900756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,57.35034942626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97054290771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.23514175415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.23514175415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.95826721191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78556823730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.16307830810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.854026794433594,0.0,0.0,92.65155029296875,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69806671142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.311866760253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.63677215576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.00199127197266,97.76303100585938,0.0,73.92909240722656,0.0,76.67414093017578,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.00199127197266,97.76303100585938,0.0,73.92909240722656,0.0,76.67414093017578,0.0
Envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5379638671875,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19631958007812,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.19631958007812,0.0,0.0,0.0,0.0,0.0,0.0
