,세인트 버나드_1,세인트 버나드_2,세인트 버나드_3,세인트 버나드_4,세인트 버나드_5,세인트 버나드_6,세인트 버나드_7,세인트 버나드_8,세인트 버나드_9,세인트 버나드_10,세인트 버나드_11,세인트 버나드_12,세인트 버나드_13,세인트 버나드_14,세인트 버나드_15,세인트 버나드_16,세인트 버나드_17,세인트 버나드_18,세인트 버나드_19,세인트 버나드_20
Human,99.66033935546875,0.0,0.0,0.0,0.0,99.38800811767578,0.0,0.0,79.15282440185547,0.0,0.0,62.98366165161133,96.01783752441406,0.0,0.0,0.0,76.7714614868164,0.0,0.0,99.83090209960938
Person,99.66033935546875,0.0,0.0,0.0,0.0,99.38800811767578,0.0,0.0,79.15282440185547,0.0,0.0,62.98366165161133,96.01783752441406,0.0,0.0,0.0,76.7714614868164,0.0,0.0,99.83090209960938
Animal,94.5096435546875,97.43425750732422,93.81555938720703,96.07010650634766,98.25605010986328,94.21234130859375,98.55686950683594,98.71629333496094,95.37629699707031,97.83889770507812,98.92382049560547,92.58392333984375,94.68282318115234,97.25206756591797,95.27027130126953,90.86588287353516,91.66482543945312,97.08528900146484,98.07473754882812,99.64574432373047
Clothing,91.94225311279297,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,91.94225311279297,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,91.94225311279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,91.41436004638672,97.43425750732422,93.81555938720703,96.07010650634766,98.25605010986328,94.21234130859375,98.55686950683594,98.71629333496094,94.67742919921875,97.83889770507812,98.92382049560547,86.869873046875,94.68282318115234,97.25206756591797,95.13507843017578,90.86588287353516,91.34444427490234,97.08528900146484,98.07473754882812,99.64574432373047
Canine,91.41436004638672,97.43425750732422,93.81555938720703,96.07010650634766,98.25605010986328,94.21234130859375,98.55686950683594,98.71629333496094,94.67742919921875,97.83889770507812,98.92382049560547,82.72879028320312,92.49044036865234,97.25206756591797,95.13507843017578,90.86588287353516,91.34444427490234,97.08528900146484,98.07473754882812,99.64574432373047
Pet,87.57897186279297,97.43425750732422,92.9109115600586,96.07010650634766,98.25605010986328,94.19746398925781,98.55686950683594,98.71629333496094,95.37629699707031,97.83889770507812,98.92382049560547,79.30662536621094,91.47107696533203,97.25206756591797,95.27027130126953,89.50360107421875,91.1722412109375,97.08528900146484,98.07473754882812,99.64574432373047
Dog,73.39082336425781,97.43425750732422,91.8648910522461,96.07010650634766,98.25605010986328,94.19746398925781,98.55686950683594,98.71629333496094,85.3488998413086,97.83889770507812,98.92382049560547,55.42521667480469,69.36864471435547,97.25206756591797,94.012939453125,88.87847900390625,72.94400787353516,97.08528900146484,98.07473754882812,99.64574432373047
Hound,73.39082336425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05596160888672,0.0,0.0,0.0,0.0
Sitting,62.889530181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.898658752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,55.30937957763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,97.43425750732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,57.98565673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29075622558594,0.0,55.42521667480469,0.0,0.0,86.1566390991211,0.0,0.0,0.0,0.0,0.0
Fashion,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gown,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Gown,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robe,0.0,0.0,94.03215026855469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,86.95963287353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
