,셔틀랜드 쉽독_1,셔틀랜드 쉽독_2,셔틀랜드 쉽독_3,셔틀랜드 쉽독_4,셔틀랜드 쉽독_5,셔틀랜드 쉽독_6,셔틀랜드 쉽독_7,셔틀랜드 쉽독_8,셔틀랜드 쉽독_9,셔틀랜드 쉽독_10,셔틀랜드 쉽독_11,셔틀랜드 쉽독_12,셔틀랜드 쉽독_13,셔틀랜드 쉽독_14,셔틀랜드 쉽독_15,셔틀랜드 쉽독_16,셔틀랜드 쉽독_17,셔틀랜드 쉽독_18,셔틀랜드 쉽독_19,셔틀랜드 쉽독_20
Mammal,95.86151885986328,91.00680541992188,73.3628158569336,99.7710952758789,94.91630554199219,97.92078399658203,96.22606658935547,99.2493896484375,97.02050018310547,98.72743225097656,99.80232238769531,94.04866790771484,98.10103607177734,90.47599029541016,81.81706237792969,94.88542175292969,98.06766510009766,90.9690933227539,98.69342041015625,90.39717102050781
Canine,95.86151885986328,89.20333099365234,0.0,99.7710952758789,94.91630554199219,97.92078399658203,96.22606658935547,99.2493896484375,97.02050018310547,98.72743225097656,99.80232238769531,88.39913940429688,98.10103607177734,90.47599029541016,60.902896881103516,94.88542175292969,98.06766510009766,90.9690933227539,98.69342041015625,90.39717102050781
Animal,95.86151885986328,91.61761474609375,95.1599349975586,99.7710952758789,94.91630554199219,97.92078399658203,96.22606658935547,99.2493896484375,97.02050018310547,98.72743225097656,99.80232238769531,96.12551879882812,98.10103607177734,90.47599029541016,83.30313110351562,95.52891540527344,98.06766510009766,91.19548797607422,98.69342041015625,91.15648651123047
Pet,95.03199005126953,91.61761474609375,0.0,99.7710952758789,94.91630554199219,97.92078399658203,96.22606658935547,99.2493896484375,97.02050018310547,98.72743225097656,99.80232238769531,80.89495086669922,98.10103607177734,89.06198120117188,66.95967102050781,95.52891540527344,98.06766510009766,91.19548797607422,98.69342041015625,91.15648651123047
Dog,94.48773193359375,89.20333099365234,0.0,99.7710952758789,94.91630554199219,97.92078399658203,96.22606658935547,99.2493896484375,97.02050018310547,98.72743225097656,99.80232238769531,80.89495086669922,98.10103607177734,89.06198120117188,0.0,94.71290588378906,98.06766510009766,88.90857696533203,98.69342041015625,90.39717102050781
Collie,90.07792663574219,0.0,0.0,95.05980682373047,94.91630554199219,96.04693603515625,68.18920135498047,91.58096313476562,97.02050018310547,96.6493911743164,86.53663635253906,0.0,75.45657348632812,0.0,0.0,94.71290588378906,86.6291275024414,88.90857696533203,98.69342041015625,88.60841369628906
Pig,62.16815948486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,66.5659408569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,58.23635482788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,55.39999771118164,0.0,0.0,0.0,0.0,76.10855865478516,0.0,0.0,0.0,0.0,0.0,98.10103607177734,56.57111740112305,0.0,0.0,62.07783889770508,61.672054290771484,0.0,0.0
Bird,0.0,0.0,82.4604263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,56.37724685668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,56.37724685668945,0.0,0.0,0.0,0.0,0.0,0.0,72.28245544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,76.0532455444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.04813385009766,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,76.0532455444336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.04813385009766,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,60.29682540893555,0.0,0.0,0.0,56.92714309692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
