,솔로이츠 쿠인틀레_1,솔로이츠 쿠인틀레_2,솔로이츠 쿠인틀레_3,솔로이츠 쿠인틀레_4,솔로이츠 쿠인틀레_5,솔로이츠 쿠인틀레_6,솔로이츠 쿠인틀레_7,솔로이츠 쿠인틀레_8,솔로이츠 쿠인틀레_9,솔로이츠 쿠인틀레_10,솔로이츠 쿠인틀레_11,솔로이츠 쿠인틀레_12,솔로이츠 쿠인틀레_13,솔로이츠 쿠인틀레_14,솔로이츠 쿠인틀레_15,솔로이츠 쿠인틀레_16,솔로이츠 쿠인틀레_17,솔로이츠 쿠인틀레_18,솔로이츠 쿠인틀레_19,솔로이츠 쿠인틀레_20
Text,90.76673889160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.08072662353516,59.234275817871094,0.0,69.20327758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menu,83.41535186767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,70.83967590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,64.52955627441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,64.031494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theater,64.031494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leisure Activities,60.13444137573242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaker,0.0,95.6678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottle,0.0,95.6678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tin,0.0,80.55378723144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can,0.0,78.08158111572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
