,스웨디쉬 발훈트_1,스웨디쉬 발훈트_2,스웨디쉬 발훈트_3,스웨디쉬 발훈트_4,스웨디쉬 발훈트_5,스웨디쉬 발훈트_6,스웨디쉬 발훈트_7,스웨디쉬 발훈트_8,스웨디쉬 발훈트_9,스웨디쉬 발훈트_10,스웨디쉬 발훈트_11,스웨디쉬 발훈트_12,스웨디쉬 발훈트_13,스웨디쉬 발훈트_14,스웨디쉬 발훈트_15,스웨디쉬 발훈트_16,스웨디쉬 발훈트_17,스웨디쉬 발훈트_18,스웨디쉬 발훈트_19,스웨디쉬 발훈트_20
Canine,93.44385528564453,93.17147064208984,77.25145721435547,98.69729614257812,94.94937133789062,0.0,99.85255432128906,98.14965057373047,96.73672485351562,72.67892456054688,88.27986907958984,0.0,92.6769790649414,89.00369262695312,99.40164184570312,95.38800048828125,98.26632690429688,86.47130584716797,98.07069396972656,99.75188446044922
Mammal,93.44385528564453,93.17147064208984,95.08914184570312,98.69729614257812,94.94937133789062,87.15849304199219,99.85255432128906,98.14965057373047,96.73672485351562,84.43350219726562,88.27986907958984,56.790775299072266,92.6769790649414,89.00369262695312,99.40164184570312,95.38800048828125,98.26632690429688,86.47130584716797,98.07069396972656,99.75188446044922
Animal,93.44385528564453,93.17147064208984,95.08914184570312,98.69729614257812,94.94937133789062,87.15849304199219,99.85255432128906,98.14965057373047,96.73672485351562,84.43350219726562,88.98585510253906,56.790775299072266,92.6769790649414,89.00369262695312,99.40164184570312,95.38800048828125,98.26632690429688,86.47130584716797,98.07069396972656,99.75188446044922
Pet,93.01487731933594,93.17147064208984,77.25145721435547,98.69729614257812,94.19668579101562,0.0,99.85255432128906,98.14965057373047,96.73672485351562,60.00048828125,88.98585510253906,0.0,92.16224670410156,86.60852813720703,99.40164184570312,95.38800048828125,98.26632690429688,80.45499420166016,98.07069396972656,99.75188446044922
Dog,92.6460189819336,93.17147064208984,77.25145721435547,98.69729614257812,93.77639770507812,0.0,99.85255432128906,98.14965057373047,96.73672485351562,60.00048828125,88.27986907958984,0.0,91.19124603271484,83.57695007324219,99.40164184570312,95.38800048828125,98.26632690429688,80.0940170288086,98.07069396972656,99.75188446044922
German Shepherd,90.86425018310547,0.0,0.0,0.0,91.67562103271484,0.0,0.0,0.0,93.28377532958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,68.72977447509766,0.0,0.0,0.0,67.20404815673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,62.513153076171875,67.37223815917969,77.25145721435547,98.69729614257812,0.0,0.0,99.85255432128906,0.0,96.73672485351562,60.00048828125,66.88333892822266,0.0,76.22488403320312,56.451812744140625,57.608612060546875,95.38800048828125,0.0,0.0,0.0,99.75188446044922
Puppy,0.0,93.17147064208984,0.0,83.85958862304688,0.0,0.0,0.0,98.14965057373047,67.23570251464844,0.0,87.46676635742188,0.0,0.0,61.30659103393555,99.40164184570312,66.13939666748047,98.26632690429688,0.0,0.0,0.0
Hound,0.0,91.87333679199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.57695007324219,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,83.76431274414062,0.0,55.360164642333984,0.0,0.0,0.0,0.0,55.88051223754883,0.0,0.0,0.0,58.90262222290039,0.0,0.0,57.09669494628906,69.14881134033203,57.89812088012695,0.0,0.0
Beagle,0.0,72.26081848144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07407760620117,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,65.45387268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,65.45387268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,64.37966918945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,95.08914184570312,0.0,0.0,87.15849304199219,0.0,0.0,0.0,84.43350219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.22183990478516,0.0,0.0
Coyote,0.0,0.0,68.53970336914062,0.0,0.0,57.2618293762207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,92.56415557861328,0.0,0.0,0.0,0.0,0.0,0.0,97.74786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,92.56415557861328,0.0,0.0,0.0,0.0,0.0,0.0,97.74786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,92.56415557861328,0.0,0.0,0.0,0.0,0.0,0.0,97.74786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,92.56415557861328,0.0,0.0,0.0,0.0,0.0,0.0,97.74786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,92.56415557861328,0.0,0.0,0.0,0.0,0.0,0.0,97.74786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,91.68161010742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,91.68161010742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sketch,0.0,0.0,0.0,0.0,0.0,65.23091888427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36466979980469,0.0,0.0,98.69591522216797,0.0,79.65099334716797,0.0,0.0,77.55733489990234,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36466979980469,0.0,0.0,98.69591522216797,0.0,79.65099334716797,0.0,0.0,77.55733489990234,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.36832427978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.36832427978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.36832427978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.38868713378906,0.0,0.0,66.33208465576172,0.0,0.0,0.0,0.0,58.92375946044922,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29872131347656,0.0,0.0,56.05000305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.215240478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
