,스코티시 디어하운드_1,스코티시 디어하운드_2,스코티시 디어하운드_3,스코티시 디어하운드_4,스코티시 디어하운드_5,스코티시 디어하운드_6,스코티시 디어하운드_7,스코티시 디어하운드_8,스코티시 디어하운드_9,스코티시 디어하운드_10,스코티시 디어하운드_11,스코티시 디어하운드_12,스코티시 디어하운드_13,스코티시 디어하운드_14,스코티시 디어하운드_15,스코티시 디어하운드_16,스코티시 디어하운드_17,스코티시 디어하운드_18,스코티시 디어하운드_19,스코티시 디어하운드_20
Mammal,93.26362609863281,99.9892578125,93.96006774902344,91.80914306640625,87.8822021484375,91.71736907958984,99.35697937011719,90.62120056152344,91.9708480834961,95.75189971923828,95.46781921386719,90.05809783935547,94.6122817993164,99.46247100830078,93.1680908203125,55.85366439819336,99.98502349853516,99.5367202758789,89.891357421875,93.10331726074219
Animal,93.26362609863281,99.9892578125,93.96006774902344,92.3431167602539,89.06175231933594,92.79303741455078,99.35697937011719,90.62120056152344,91.9708480834961,95.75189971923828,95.46781921386719,90.05809783935547,94.6122817993164,99.46247100830078,93.1680908203125,55.85366439819336,99.98502349853516,99.5367202758789,89.891357421875,93.10331726074219
Canine,92.0155258178711,99.9892578125,93.96006774902344,76.05521392822266,86.6229248046875,68.66663360595703,99.35697937011719,79.15799713134766,91.9708480834961,83.93083190917969,95.46781921386719,90.05809783935547,94.6122817993164,99.46247100830078,81.77226257324219,0.0,93.58746337890625,99.5367202758789,89.891357421875,93.10331726074219
Pet,91.96880340576172,99.9892578125,93.96006774902344,64.87976837158203,82.22418212890625,68.66663360595703,99.35697937011719,86.18419647216797,89.26104736328125,83.6370620727539,95.46781921386719,88.1143569946289,93.62940216064453,99.46247100830078,78.32697296142578,0.0,93.73958587646484,99.5367202758789,86.21977996826172,93.10331726074219
Dog,91.8088607788086,99.9892578125,93.96006774902344,0.0,70.02597045898438,68.66663360595703,99.35697937011719,79.15799713134766,89.26104736328125,83.6370620727539,95.46781921386719,87.70861053466797,93.62940216064453,99.46247100830078,76.7943115234375,0.0,93.01555633544922,99.5367202758789,85.9268798828125,93.10331726074219
Pointer,70.11939239501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.364871978759766,0.0
Grass,69.54780578613281,0.0,61.42489242553711,98.82198333740234,95.84659576416016,0.0,0.0,0.0,0.0,0.0,71.23204040527344,0.0,0.0,0.0,0.0,0.0,57.1539192199707,0.0,0.0,0.0
Plant,69.54780578613281,0.0,61.42489242553711,98.82198333740234,95.84659576416016,0.0,0.0,0.0,0.0,0.0,71.23204040527344,0.0,0.0,0.0,0.0,0.0,57.1539192199707,0.0,0.0,0.0
Hound,64.17737579345703,99.9892578125,93.96006774902344,0.0,0.0,0.0,99.35697937011719,57.880191802978516,0.0,55.852298736572266,95.46781921386719,55.242340087890625,57.15040588378906,99.46247100830078,66.27035522460938,0.0,58.15452575683594,0.0,64.19978332519531,93.10331726074219
Afghan Hound,0.0,97.72749328613281,0.0,0.0,0.0,0.0,82.64130401611328,0.0,0.0,0.0,63.552825927734375,0.0,0.0,93.07142639160156,0.0,0.0,0.0,0.0,0.0,79.59933471679688
Human,0.0,70.57135772705078,0.0,93.90684509277344,98.14862823486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,70.57135772705078,0.0,93.90684509277344,98.14862823486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,80.96753692626953,99.62975311279297,0.0,0.0,57.26952362060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,80.96753692626953,99.62975311279297,0.0,0.0,59.05707931518555,0.0,59.249752044677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,80.96753692626953,99.62975311279297,0.0,0.0,59.05707931518555,0.0,59.249752044677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,0.0,0.0,0.0,56.677547454833984,93.49528503417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,56.677547454833984,93.49528503417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,56.35614013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,70.02597045898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,67.14591217041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,58.866172790527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frisbee,0.0,0.0,0.0,0.0,56.3289794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,56.3289794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,74.4812240600586,0.0,0.0,56.27313995361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyena,0.0,0.0,0.0,0.0,0.0,58.95982360839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.898563385009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.359031677246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19197845458984,95.75189971923828,0.0,0.0,0.0,0.0,78.29252624511719,0.0,0.0,0.0,63.49959945678711,0.0
