,스코티시 테리어_1,스코티시 테리어_2,스코티시 테리어_3,스코티시 테리어_4,스코티시 테리어_5,스코티시 테리어_6,스코티시 테리어_7,스코티시 테리어_8,스코티시 테리어_9,스코티시 테리어_10,스코티시 테리어_11,스코티시 테리어_12,스코티시 테리어_13,스코티시 테리어_14,스코티시 테리어_15,스코티시 테리어_16,스코티시 테리어_17,스코티시 테리어_18,스코티시 테리어_19,스코티시 테리어_20
Human,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24933624267578,0.0,0.0,0.0,0.0
Person,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24933624267578,0.0,0.0,0.0,0.0
Word,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,84.74945831298828,93.18290710449219,94.72130584716797,98.9417953491211,95.27395629882812,94.48915100097656,98.24874114990234,94.38311767578125,95.21717071533203,91.82237243652344,95.3851547241211,95.7343521118164,92.70024871826172,93.65263366699219,91.75921630859375,91.65906524658203,97.50505065917969,93.40538024902344,91.92620849609375,92.1182632446289
Mammal,83.0473403930664,92.90814208984375,93.30878448486328,98.9417953491211,95.19224548339844,94.48915100097656,98.24874114990234,94.38311767578125,93.99748992919922,91.15853881835938,95.3851547241211,95.7343521118164,92.70024871826172,93.65263366699219,91.75921630859375,91.65906524658203,97.50505065917969,93.40538024902344,91.92620849609375,92.1182632446289
Bull,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,94.38311767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,0.0,92.92863464355469,90.81452941894531,98.9417953491211,95.27395629882812,93.86544799804688,98.24874114990234,87.22720336914062,95.21717071533203,90.428955078125,94.62298583984375,95.7343521118164,92.5830078125,93.21141815185547,90.60045623779297,91.65906524658203,92.73307037353516,91.48977661132812,91.720703125,91.81851959228516
Canine,0.0,92.90814208984375,93.30878448486328,98.9417953491211,95.19224548339844,94.48915100097656,98.24874114990234,87.10803985595703,93.99748992919922,90.69125366210938,95.3851547241211,95.7343521118164,92.70024871826172,93.65263366699219,91.75921630859375,91.65906524658203,91.0491714477539,91.1576156616211,91.92620849609375,92.1182632446289
Dog,0.0,92.4537353515625,90.16102600097656,98.9417953491211,94.868408203125,93.86544799804688,98.24874114990234,86.96714782714844,93.62459564208984,88.10188293457031,94.08160400390625,95.7343521118164,92.5830078125,92.89315795898438,90.60045623779297,91.65906524658203,91.0491714477539,91.1576156616211,91.720703125,91.46651458740234
Puppy,0.0,70.85381317138672,80.18843078613281,0.0,0.0,0.0,0.0,0.0,75.2303466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,63.68648910522461,79.90773010253906,82.96986389160156,82.81542205810547,84.5589370727539,98.24874114990234,83.77008819580078,78.8932876586914,75.61932373046875,88.11505126953125,95.7343521118164,92.5830078125,57.536399841308594,0.0,91.65906524658203,0.0,68.0261459350586,77.17771911621094,79.17678833007812
Golden Retriever,0.0,58.618831634521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slate,0.0,0.0,0.0,85.06000518798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,69.97215270996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,61.76633834838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,69.65829467773438,55.14349365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94628143310547,70.93163299560547,0.0,0.0,0.0,57.11235427856445,67.94910430908203
