,스키퍼키_1,스키퍼키_2,스키퍼키_3,스키퍼키_4,스키퍼키_5,스키퍼키_6,스키퍼키_7,스키퍼키_8,스키퍼키_9,스키퍼키_10,스키퍼키_11,스키퍼키_12,스키퍼키_13,스키퍼키_14,스키퍼키_15,스키퍼키_16,스키퍼키_17,스키퍼키_18,스키퍼키_19,스키퍼키_20
Canine,95.61468505859375,87.24968719482422,97.1615982055664,98.2524642944336,0.0,99.00395202636719,66.62041473388672,86.01627349853516,92.79784393310547,96.38827514648438,89.48420715332031,0.0,92.39923095703125,0.0,89.66188049316406,87.2424545288086,63.86770248413086,90.90465545654297,83.59542846679688,0.0
Animal,95.61468505859375,89.50618743896484,97.1615982055664,98.2524642944336,95.1599349975586,99.00395202636719,93.93167877197266,89.54987335205078,93.28581237792969,96.38827514648438,90.25003051757812,97.77600860595703,93.93824768066406,59.535377502441406,90.36538696289062,87.2424545288086,87.06011962890625,90.90465545654297,98.02880096435547,90.49021911621094
Mammal,95.61468505859375,88.75241088867188,97.1615982055664,98.2524642944336,73.3628158569336,99.00395202636719,93.93167877197266,89.54987335205078,93.28581237792969,96.38827514648438,90.25003051757812,97.77600860595703,93.93824768066406,58.932594299316406,89.66188049316406,87.2424545288086,85.61980438232422,90.90465545654297,98.02880096435547,90.49021911621094
Pet,94.15010833740234,88.45532989501953,97.1615982055664,98.2524642944336,0.0,99.00395202636719,0.0,85.50059509277344,92.79784393310547,96.38827514648438,89.48420715332031,0.0,91.13377380371094,59.535377502441406,90.36538696289062,86.03170013427734,87.06011962890625,89.85308074951172,83.59542846679688,0.0
Dog,93.38189697265625,83.53959655761719,97.1615982055664,98.2524642944336,0.0,99.00395202636719,0.0,84.55904388427734,92.79784393310547,96.38827514648438,89.48420715332031,0.0,91.13377380371094,0.0,88.20086669921875,85.0938949584961,61.10580062866211,89.85308074951172,83.59542846679688,0.0
Eskimo Dog,89.8036880493164,65.43728637695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,87.58088684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,67.61571502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.76530075073242
Wildlife,0.0,67.61571502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.76530075073242
Puppy,0.0,0.0,97.1615982055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,91.03431701660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.04925537109375,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,91.03431701660156,71.3586196899414,0.0,0.0,0.0,67.59858703613281,0.0,0.0,0.0,0.0,0.0,57.04925537109375,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,80.89382934570312,71.3586196899414,0.0,0.0,0.0,67.59858703613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodent,0.0,0.0,59.59505081176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,0.0,59.59505081176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,55.13693618774414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.71161651611328,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,92.90219116210938,0.0,0.0,0.0,81.87605285644531,92.79784393310547,96.38827514648438,84.85554504394531,0.0,0.0,0.0,0.0,57.0056037902832,0.0,70.39469909667969,0.0,0.0
Husky,0.0,0.0,0.0,83.26912689208984,0.0,78.45671844482422,0.0,58.21668243408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.38703155517578,0.0,89.85308074951172,0.0,0.0
Bird,0.0,0.0,0.0,0.0,82.4604263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,68.8336410522461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,68.8336410522461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,68.8336410522461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,65.11354064941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66268539428711,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,58.93345260620117,93.93167877197266,61.33283996582031,0.0,56.35214614868164,56.648216247558594,97.77600860595703,92.4797134399414,0.0,0.0,0.0,0.0,87.83148193359375,98.02880096435547,89.30615234375
Coyote,0.0,0.0,0.0,0.0,0.0,0.0,70.00979614257812,58.858436584472656,59.570613861083984,0.0,62.3614387512207,62.77516174316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.15556716918945,0.0,84.95158386230469,58.575523376464844,0.0,0.0,0.0,88.02284240722656,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.00936126708984,0.0,0.0,95.449462890625,0.0,0.0,57.76786804199219,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8312759399414,0.0,0.0,0.0,0.0,0.0,55.72856521606445,0.0
