,스태퍼드셔 불 테리어_1,스태퍼드셔 불 테리어_2,스태퍼드셔 불 테리어_3,스태퍼드셔 불 테리어_4,스태퍼드셔 불 테리어_5,스태퍼드셔 불 테리어_6,스태퍼드셔 불 테리어_7,스태퍼드셔 불 테리어_8,스태퍼드셔 불 테리어_9,스태퍼드셔 불 테리어_10,스태퍼드셔 불 테리어_11,스태퍼드셔 불 테리어_12,스태퍼드셔 불 테리어_13,스태퍼드셔 불 테리어_14,스태퍼드셔 불 테리어_15,스태퍼드셔 불 테리어_16,스태퍼드셔 불 테리어_17,스태퍼드셔 불 테리어_18,스태퍼드셔 불 테리어_19,스태퍼드셔 불 테리어_20
Animal,92.1514892578125,93.05887603759766,90.94609832763672,99.01280212402344,96.16476440429688,94.83072662353516,95.93136596679688,99.36197662353516,98.34593963623047,97.26285552978516,93.53446960449219,0.0,89.14447021484375,92.95654296875,88.49263000488281,97.21883392333984,94.03228759765625,93.149658203125,90.91663360595703,98.10714721679688
Canine,91.68785095214844,93.05887603759766,56.50526428222656,99.01280212402344,96.16476440429688,94.83072662353516,95.93136596679688,99.36197662353516,98.34593963623047,97.26285552978516,92.1845932006836,0.0,89.14447021484375,92.95654296875,88.49263000488281,97.21883392333984,94.03228759765625,93.149658203125,90.91663360595703,98.10714721679688
Mammal,91.68785095214844,93.05887603759766,86.01485443115234,99.01280212402344,96.16476440429688,94.83072662353516,95.93136596679688,99.36197662353516,98.34593963623047,97.26285552978516,92.3932876586914,0.0,89.14447021484375,92.95654296875,88.49263000488281,97.21883392333984,94.03228759765625,93.149658203125,90.91663360595703,98.10714721679688
Pet,89.7904281616211,93.05887603759766,0.0,99.01280212402344,96.16476440429688,94.83072662353516,95.93136596679688,99.36197662353516,98.34593963623047,97.26285552978516,89.71257781982422,0.0,88.32676696777344,91.79100036621094,87.2245101928711,97.21883392333984,93.42350006103516,90.91151428222656,90.91663360595703,98.10714721679688
Dog,89.29438018798828,93.05887603759766,0.0,99.01280212402344,96.16476440429688,94.83072662353516,95.93136596679688,99.36197662353516,98.34593963623047,97.26285552978516,89.71257781982422,0.0,88.09107971191406,91.79100036621094,84.3544921875,97.21883392333984,84.71961212158203,72.1890640258789,90.91663360595703,98.10714721679688
Hound,81.08065795898438,0.0,0.0,58.7879524230957,0.0,0.0,0.0,0.0,0.0,97.26285552978516,55.8785514831543,0.0,0.0,0.0,0.0,0.0,84.71961212158203,72.1890640258789,0.0,74.69903564453125
Puppy,58.3096809387207,0.0,0.0,58.474117279052734,0.0,0.0,0.0,0.0,0.0,60.180511474609375,56.67789077758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,56.17300033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.46625518798828,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,55.085655212402344,71.83063507080078,0.0,56.105194091796875,58.35121536254883,75.83700561523438,65.93055725097656,0.0,0.0,0.0,0.0,0.0,63.82896041870117,86.1821517944336,0.0,0.0,64.22669982910156,58.71035385131836,0.0,98.10714721679688
Bulldog,55.085655212402344,93.05887603759766,0.0,89.62189483642578,96.16476440429688,94.83072662353516,94.35291290283203,0.0,90.2282485961914,77.61018371582031,79.33120727539062,0.0,68.96913146972656,90.88538360595703,84.3544921875,97.21883392333984,64.22669982910156,59.48717498779297,90.91663360595703,98.10714721679688
Pitbull,0.0,83.7325439453125,0.0,78.54605102539062,96.16476440429688,80.75178527832031,92.54891967773438,0.0,81.84700775146484,65.49938201904297,72.98413848876953,0.0,55.74284744262695,59.48373794555664,81.8111572265625,97.21883392333984,0.0,0.0,76.84193420410156,55.438446044921875
Plant,0.0,57.17112350463867,0.0,99.79141998291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.659053802490234,0.0,0.0,0.0,0.0,0.0
Grass,0.0,57.17112350463867,0.0,99.79141998291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.659053802490234,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,84.56829071044922,0.0,0.0,72.6646957397461,81.12503814697266,0.0,0.0,94.84919738769531,0.0,96.20492553710938,0.0,0.0,72.16151428222656,0.0,87.3487319946289,76.39736938476562,0.0,57.22520065307617
Human,0.0,0.0,84.56829071044922,0.0,0.0,72.6646957397461,81.12503814697266,0.0,0.0,94.84919738769531,0.0,96.20492553710938,0.0,0.0,72.16151428222656,0.0,87.3487319946289,76.39736938476562,0.0,57.22520065307617
Bird,0.0,0.0,63.04021453857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,60.561012268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,58.27890396118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,57.98606491088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,56.27734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,55.92117691040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,68.4111557006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,64.32635498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,55.566810607910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Bulldog,0.0,0.0,0.0,0.0,0.0,58.25537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.30889892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.113059997558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7707748413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunglasses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.84188079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.84188079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.84188079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.57398986816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.47935104370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.20492553710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16947174072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16947174072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appliance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41744232177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5009536743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.94715118408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shorts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.679649353027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.20188903808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.46454620361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.939964294433594,0.0,0.0,0.0,0.0,90.91663360595703,0.0
