,스탠더드 슈나우저_1,스탠더드 슈나우저_2,스탠더드 슈나우저_3,스탠더드 슈나우저_4,스탠더드 슈나우저_5,스탠더드 슈나우저_6,스탠더드 슈나우저_7,스탠더드 슈나우저_8,스탠더드 슈나우저_9,스탠더드 슈나우저_10,스탠더드 슈나우저_11,스탠더드 슈나우저_12,스탠더드 슈나우저_13,스탠더드 슈나우저_14,스탠더드 슈나우저_15,스탠더드 슈나우저_16,스탠더드 슈나우저_17,스탠더드 슈나우저_18,스탠더드 슈나우저_19,스탠더드 슈나우저_20
Toy,84.89154052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,82.61511993408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,63.05750274658203,97.8748779296875,91.9535903930664,99.28282928466797,94.63008880615234,92.49081420898438,93.29974365234375,90.26165771484375,93.76980590820312,94.14273071289062,90.08779907226562,89.76878356933594,87.40230560302734,92.20922088623047,91.38389587402344,93.83761596679688,95.284423828125,90.97472381591797,88.40785217285156,89.33275604248047
Animal,63.05750274658203,97.8748779296875,91.9535903930664,99.28282928466797,94.63008880615234,92.7706069946289,93.29974365234375,91.05120086669922,93.76980590820312,94.14273071289062,90.08779907226562,89.76878356933594,88.06058502197266,92.20922088623047,91.38389587402344,93.83761596679688,95.92265319824219,90.97472381591797,88.40785217285156,92.68484497070312
Canine,0.0,97.8748779296875,86.90078735351562,99.28282928466797,94.63008880615234,88.04231262207031,93.29974365234375,90.26165771484375,88.9035873413086,93.71147918701172,90.08779907226562,89.76878356933594,83.74983978271484,89.92343139648438,91.38389587402344,93.83761596679688,95.284423828125,90.97472381591797,88.40785217285156,73.0665283203125
Pet,0.0,97.8748779296875,89.03649139404297,99.28282928466797,94.63008880615234,89.36105346679688,92.6320571899414,91.05120086669922,88.9035873413086,94.11104583740234,88.73528289794922,88.71534729003906,88.06058502197266,90.5180435180664,91.38389587402344,93.00006866455078,95.92265319824219,90.08058166503906,87.53890991210938,79.67888641357422
Puppy,0.0,97.8748779296875,83.22453308105469,0.0,0.0,0.0,92.06513977050781,75.37767791748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8417739868164
Dog,0.0,97.8748779296875,83.22453308105469,99.28282928466797,94.63008880615234,88.04231262207031,92.35894012451172,89.04396057128906,88.9035873413086,93.71147918701172,87.82306671142578,87.42263793945312,70.46684265136719,89.92343139648438,91.38389587402344,92.48722839355469,95.19172668457031,89.21663665771484,87.53890991210938,70.92826843261719
Outdoors,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.407711029052734,0.0,0.0,0.0,0.0,0.0,0.0,78.64592742919922,0.0,0.0
Snowman,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.616817474365234,0.0,0.0
Snow,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.863319396972656,0.0
Eskimo Dog,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
