,스패니쉬 그레이 하운드_1,스패니쉬 그레이 하운드_2,스패니쉬 그레이 하운드_3,스패니쉬 그레이 하운드_4,스패니쉬 그레이 하운드_5,스패니쉬 그레이 하운드_6,스패니쉬 그레이 하운드_7,스패니쉬 그레이 하운드_8,스패니쉬 그레이 하운드_9,스패니쉬 그레이 하운드_10,스패니쉬 그레이 하운드_11,스패니쉬 그레이 하운드_12,스패니쉬 그레이 하운드_13,스패니쉬 그레이 하운드_14,스패니쉬 그레이 하운드_15,스패니쉬 그레이 하운드_16,스패니쉬 그레이 하운드_17,스패니쉬 그레이 하운드_18,스패니쉬 그레이 하운드_19,스패니쉬 그레이 하운드_20
Animal,99.4036636352539,93.87738800048828,92.6460189819336,82.34148406982422,98.79706573486328,93.71176147460938,81.63003540039062,89.6788101196289,98.182861328125,94.63683319091797,99.07109069824219,98.94661712646484,85.89469146728516,79.26376342773438,67.31205749511719,90.37544250488281,83.42650604248047,91.57048034667969,98.5071029663086,97.0793228149414
Mammal,99.4036636352539,93.87738800048828,92.6460189819336,82.34148406982422,98.79706573486328,93.71176147460938,81.63003540039062,89.6788101196289,98.182861328125,94.63683319091797,99.07109069824219,98.94661712646484,85.89469146728516,79.26376342773438,67.31205749511719,90.37544250488281,83.42650604248047,91.57048034667969,98.5071029663086,97.0793228149414
Dog,99.4036636352539,76.71942901611328,92.6460189819336,76.6681900024414,98.79706573486328,90.98458099365234,80.74662017822266,87.79759979248047,98.182861328125,94.63683319091797,99.07109069824219,98.94661712646484,84.96452331542969,79.26376342773438,0.0,90.37544250488281,56.719688415527344,90.03519439697266,98.5071029663086,97.0793228149414
Canine,99.4036636352539,93.87738800048828,92.6460189819336,82.34148406982422,98.79706573486328,93.71176147460938,81.63003540039062,89.6788101196289,98.182861328125,94.63683319091797,99.07109069824219,98.94661712646484,85.89469146728516,79.26376342773438,65.50691223144531,90.37544250488281,75.27996063232422,91.57048034667969,98.5071029663086,97.0793228149414
Pet,99.4036636352539,93.41098022460938,92.6460189819336,80.01258850097656,98.79706573486328,92.73860168457031,81.44159698486328,88.55609893798828,98.182861328125,94.63683319091797,99.07109069824219,98.94661712646484,84.96452331542969,79.26376342773438,62.80562210083008,90.37544250488281,82.7833480834961,90.95401000976562,98.5071029663086,97.0793228149414
Great Dane,99.4036636352539,58.10682678222656,0.0,0.0,57.90977096557617,90.98458099365234,67.15110778808594,0.0,98.182861328125,0.0,99.07109069824219,98.94661712646484,64.4673080444336,0.0,0.0,0.0,0.0,0.0,98.5071029663086,97.0793228149414
Wildlife,76.92129516601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.08074188232422,0.0
Antelope,76.92129516601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sculpture,56.87466812133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statue,56.87466812133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
