,스패니쉬 마스티프_1,스패니쉬 마스티프_2,스패니쉬 마스티프_3,스패니쉬 마스티프_4,스패니쉬 마스티프_5,스패니쉬 마스티프_6,스패니쉬 마스티프_7,스패니쉬 마스티프_8,스패니쉬 마스티프_9,스패니쉬 마스티프_10,스패니쉬 마스티프_11,스패니쉬 마스티프_12,스패니쉬 마스티프_13,스패니쉬 마스티프_14,스패니쉬 마스티프_15,스패니쉬 마스티프_16,스패니쉬 마스티프_17,스패니쉬 마스티프_18,스패니쉬 마스티프_19,스패니쉬 마스티프_20
Apparel,99.76768493652344,76.56111907958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,99.76768493652344,76.56111907958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hat,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnet,82.6454086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hood,73.75863647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,71.26846313476562,89.37263488769531,95.3530502319336,93.53609466552734,91.75188446044922,87.86128234863281,94.24836730957031,98.0514907836914,92.8140869140625,93.23719787597656,87.67576599121094,92.61011505126953,97.05281829833984,94.02723693847656,93.45732116699219,0.0,92.46747589111328,86.1618881225586,92.74012756347656,98.33650207519531
Mammal,69.99322509765625,86.3604965209961,95.3530502319336,93.53609466552734,91.75188446044922,87.1008529663086,94.24836730957031,98.0514907836914,92.8140869140625,93.23719787597656,84.59562683105469,92.61011505126953,97.05281829833984,94.02723693847656,93.45732116699219,0.0,92.46747589111328,84.9376220703125,92.74012756347656,98.33650207519531
Pet,69.96662139892578,89.37263488769531,95.3530502319336,93.53609466552734,89.37751007080078,86.68714141845703,93.1694107055664,98.0514907836914,90.61722564697266,92.89993286132812,76.88529205322266,91.6976318359375,97.05281829833984,93.68557739257812,0.0,0.0,92.46747589111328,70.98677825927734,92.74012756347656,98.33650207519531
Human,66.40925598144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.23043060302734,0.0,84.64996337890625,0.0,0.0
Person,66.40925598144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.23043060302734,0.0,84.64996337890625,0.0,0.0
Canine,65.88908386230469,80.43806457519531,95.3530502319336,93.53609466552734,89.65111541748047,87.1008529663086,94.24836730957031,98.0514907836914,92.8140869140625,93.23719787597656,78.25887298583984,92.61011505126953,97.05281829833984,94.02723693847656,0.0,0.0,92.46747589111328,57.96651077270508,92.74012756347656,98.33650207519531
Cat,0.0,75.51762390136719,87.28208923339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,75.26787567138672,95.3530502319336,93.53609466552734,88.03646850585938,86.68714141845703,93.1694107055664,98.0514907836914,90.30237579345703,92.89993286132812,0.0,91.6976318359375,97.05281829833984,93.49342346191406,0.0,0.0,92.46747589111328,0.0,92.74012756347656,98.33650207519531
Puppy,0.0,73.36145782470703,0.0,0.0,62.19171905517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,57.16111755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,57.16111755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,55.46809768676758,0.0,0.0,0.0,65.50473022460938,0.0,0.0,61.044193267822266,0.0,0.0,56.012935638427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,92.7271957397461,0.0,0.0,0.0,84.13540649414062,0.0,0.0,75.81549072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,66.03740692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,66.03740692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7856674194336,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,61.873802185058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,93.53609466552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
