,스피노네 이탈리아노_1,스피노네 이탈리아노_2,스피노네 이탈리아노_3,스피노네 이탈리아노_4,스피노네 이탈리아노_5,스피노네 이탈리아노_6,스피노네 이탈리아노_7,스피노네 이탈리아노_8,스피노네 이탈리아노_9,스피노네 이탈리아노_10,스피노네 이탈리아노_11,스피노네 이탈리아노_12,스피노네 이탈리아노_13,스피노네 이탈리아노_14,스피노네 이탈리아노_15,스피노네 이탈리아노_16,스피노네 이탈리아노_17,스피노네 이탈리아노_18,스피노네 이탈리아노_19,스피노네 이탈리아노_20
Grass,95.12279510498047,0.0,0.0,79.55519104003906,0.0,0.0,0.0,0.0,0.0,91.77792358398438,0.0,0.0,0.0,0.0,69.54679107666016,0.0,78.52235412597656,0.0,0.0,0.0
Plant,95.12279510498047,0.0,0.0,79.55519104003906,0.0,0.0,0.0,0.0,0.0,98.00625610351562,0.0,0.0,0.0,0.0,69.54679107666016,0.0,78.52235412597656,0.0,0.0,0.0
Mammal,88.8140869140625,96.28954315185547,94.87066650390625,91.67341613769531,92.18113708496094,95.09061431884766,92.30167388916016,91.77452087402344,93.93042755126953,84.56481170654297,90.96514892578125,89.06394958496094,92.5796890258789,93.88887786865234,92.36851501464844,96.60746765136719,95.75652313232422,91.14421081542969,71.1897964477539,92.13089752197266
Canine,88.8140869140625,96.28954315185547,94.87066650390625,91.67341613769531,92.18113708496094,95.09061431884766,92.30167388916016,91.77452087402344,93.93042755126953,83.50495147705078,90.96514892578125,89.06394958496094,92.5796890258789,93.88887786865234,67.51888275146484,96.60746765136719,95.75652313232422,91.14421081542969,71.1897964477539,92.13089752197266
Animal,88.8140869140625,96.28954315185547,94.87066650390625,91.76426696777344,92.18113708496094,95.09061431884766,92.30167388916016,91.77452087402344,93.93042755126953,84.56481170654297,90.96514892578125,89.06394958496094,92.5796890258789,93.88887786865234,92.36851501464844,96.60746765136719,95.75652313232422,91.14421081542969,71.1897964477539,92.15019989013672
Pet,88.30902862548828,96.28954315185547,94.87066650390625,91.76426696777344,90.05911254882812,95.09061431884766,92.30167388916016,91.77452087402344,93.93042755126953,83.26200103759766,90.88014221191406,87.12541961669922,91.58235168457031,93.55244445800781,68.79508972167969,96.60746765136719,95.75652313232422,89.58090209960938,67.73872375488281,92.15019989013672
Dog,87.12216186523438,96.28954315185547,94.87066650390625,90.61137390136719,89.7698745727539,95.09061431884766,92.30167388916016,91.77452087402344,93.93042755126953,83.26200103759766,89.0240707397461,86.86631774902344,91.03540802001953,92.9012680053711,64.79155731201172,96.60746765136719,95.75652313232422,89.14512634277344,65.27188873291016,91.57105255126953
Terrier,74.09195709228516,56.75389099121094,0.0,75.74714660644531,89.15394592285156,0.0,0.0,0.0,60.635189056396484,56.757328033447266,0.0,84.04022979736328,89.17144012451172,68.74034881591797,0.0,55.95722961425781,61.56887435913086,76.92135620117188,0.0,68.81739044189453
Outdoors,73.23023986816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.56169891357422,0.0,0.0,0.0,0.0,60.446556091308594,0.0,0.0,0.0,0.0,0.0
Golden Retriever,64.10553741455078,0.0,94.87066650390625,0.0,0.0,95.09061431884766,92.30167388916016,91.77452087402344,0.0,0.0,55.62717819213867,0.0,0.0,0.0,0.0,96.60746765136719,95.75652313232422,0.0,0.0,0.0
Vegetation,58.6071662902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.00625610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,58.502437591552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.01425170898438,61.7717399597168,0.0,0.0,0.0
Poodle,57.574615478515625,0.0,0.0,87.79240417480469,0.0,0.0,0.0,0.0,93.93042755126953,0.0,86.19985961914062,65.50421142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,55.30926513671875,0.0,0.0,56.45151138305664,0.0,0.0,0.0,0.0,0.0,57.076080322265625,0.0,0.0,0.0,0.0,60.446556091308594,0.0,0.0,0.0,0.0,0.0
Hound,0.0,96.28954315185547,0.0,0.0,0.0,56.20323944091797,0.0,0.0,73.75335693359375,55.165550231933594,0.0,0.0,0.0,0.0,0.0,82.13233184814453,0.0,56.442352294921875,0.0,0.0
Person,0.0,86.89051818847656,0.0,0.0,0.0,95.94723510742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,86.89051818847656,0.0,0.0,0.0,95.94723510742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,80.28367614746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,57.299625396728516,0.0,0.0,55.665401458740234,59.02711868286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.62183380126953,0.0,0.0,0.0
Cocker Spaniel,0.0,57.299625396728516,0.0,0.0,55.665401458740234,59.02711868286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.62183380126953,0.0,0.0,0.0
Puppy,0.0,0.0,65.74561309814453,0.0,0.0,0.0,0.0,69.40418243408203,0.0,59.751861572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,56.376705169677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,55.21082305908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,57.771583557128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7389144897461,0.0,0.0,0.0,0.0
