,스피츠_1,스피츠_2,스피츠_3,스피츠_4,스피츠_5,스피츠_6,스피츠_7,스피츠_8,스피츠_9,스피츠_10,스피츠_11,스피츠_12,스피츠_13,스피츠_14,스피츠_15,스피츠_16,스피츠_17,스피츠_18,스피츠_19,스피츠_20
Animal,94.61238098144531,96.7456283569336,98.15604400634766,99.27937316894531,93.66929626464844,99.66425323486328,95.72708129882812,92.06097412109375,96.19886016845703,95.62846374511719,93.8463363647461,88.75911712646484,93.34156799316406,95.32843017578125,95.12982940673828,99.2681655883789,96.73729705810547,92.86930084228516,96.88859558105469,97.42928314208984
Canine,94.61238098144531,96.7456283569336,63.757240295410156,99.27937316894531,93.20211791992188,92.5379638671875,95.72708129882812,92.06097412109375,96.19886016845703,94.280029296875,93.8463363647461,87.71836853027344,90.64241790771484,95.32843017578125,95.12982940673828,99.2681655883789,93.2280044555664,92.86930084228516,96.88859558105469,97.42928314208984
Puppy,94.61238098144531,0.0,0.0,0.0,0.0,90.8243637084961,63.03532028198242,0.0,0.0,0.0,80.75558471679688,87.19329071044922,0.0,95.32843017578125,0.0,71.19175720214844,0.0,0.0,0.0,97.42928314208984
Pet,94.61238098144531,95.50282287597656,98.15604400634766,99.27937316894531,85.76424407958984,91.3769760131836,94.11372375488281,90.99020385742188,94.43473815917969,91.98370361328125,93.7396469116211,87.71318817138672,86.46083068847656,95.32843017578125,94.47547149658203,99.2681655883789,72.17898559570312,90.68682861328125,95.28475189208984,97.42928314208984
Dog,94.61238098144531,95.07621765136719,60.752723693847656,99.27937316894531,85.76424407958984,91.3769760131836,94.11372375488281,90.20548248291016,94.01591491699219,91.46983337402344,93.17286682128906,87.19329071044922,0.0,95.32843017578125,93.12837982177734,99.2681655883789,72.17898559570312,89.85151672363281,95.28475189208984,97.42928314208984
Mammal,94.61238098144531,96.7456283569336,97.77835845947266,99.27937316894531,93.31813049316406,99.66425323486328,95.72708129882812,92.06097412109375,96.19886016845703,94.31476593017578,93.8463363647461,87.71836853027344,93.32003021240234,95.32843017578125,95.12982940673828,99.2681655883789,96.73729705810547,92.86930084228516,96.88859558105469,97.42928314208984
Floor,87.88803100585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71791076660156,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,92.56965637207031,0.0,0.0,75.35143280029297,0.0,78.52973175048828,72.18386840820312,89.10575866699219,74.74861907958984,79.45574188232422,0.0,0.0,63.1555290222168,77.41619873046875,56.428470611572266,0.0,71.81175231933594,90.58821868896484,0.0
Rat,0.0,91.11029052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.22964859008789,0.0,0.0,0.0,0.0
Rodent,0.0,91.11029052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.22964859008789,0.0,0.0,0.0,0.0
Cat,0.0,0.0,96.0908432006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Cat,0.0,0.0,82.17179107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
