,시바 이누_1,시바 이누_2,시바 이누_3,시바 이누_4,시바 이누_5,시바 이누_6,시바 이누_7,시바 이누_8,시바 이누_9,시바 이누_10,시바 이누_11,시바 이누_12,시바 이누_13,시바 이누_14,시바 이누_15,시바 이누_16,시바 이누_17,시바 이누_18,시바 이누_19,시바 이누_20
Dog,98.32406616210938,98.98985290527344,65.27458953857422,98.37892150878906,94.12467193603516,62.52349090576172,92.38555145263672,94.54051208496094,70.76545715332031,91.12950897216797,93.68392944335938,0.0,77.130859375,97.08081817626953,59.54737854003906,81.02693939208984,56.341407775878906,86.7811050415039,99.14667510986328,90.21508026123047
Pet,98.32406616210938,98.98985290527344,65.27458953857422,98.37892150878906,94.12467193603516,62.52349090576172,92.38555145263672,94.54051208496094,73.83677673339844,91.12950897216797,93.68392944335938,62.979530334472656,92.27523040771484,97.08081817626953,74.89789581298828,83.07608795166016,71.05961608886719,88.57587432861328,99.14667510986328,90.74295043945312
Mammal,98.32406616210938,98.98985290527344,83.74160766601562,98.37892150878906,94.12467193603516,76.2306900024414,92.38555145263672,94.54051208496094,92.41189575195312,91.12950897216797,93.68392944335938,64.72837829589844,93.27632141113281,97.08081817626953,86.599853515625,87.29187774658203,83.83613586425781,88.62522888183594,99.14667510986328,91.5120620727539
Canine,98.32406616210938,98.98985290527344,83.71472930908203,98.37892150878906,94.12467193603516,75.98941802978516,92.38555145263672,94.54051208496094,89.6266860961914,91.12950897216797,93.68392944335938,64.72837829589844,93.27632141113281,97.08081817626953,82.55779266357422,85.13682556152344,79.22827911376953,88.62522888183594,99.14667510986328,91.5120620727539
Animal,98.32406616210938,98.98985290527344,85.0143051147461,98.37892150878906,94.12467193603516,78.04462432861328,92.38555145263672,94.54051208496094,92.41189575195312,91.12950897216797,93.68392944335938,64.72837829589844,93.27632141113281,97.08081817626953,86.599853515625,87.29187774658203,85.81236267089844,88.62522888183594,99.14667510986328,91.5120620727539
Puppy,94.20262908935547,0.0,0.0,0.0,56.72128677368164,0.0,58.297821044921875,94.54051208496094,0.0,0.0,59.7672119140625,0.0,77.130859375,97.08081817626953,55.81078338623047,57.063480377197266,0.0,0.0,0.0,56.606788635253906
Outdoors,76.08042907714844,56.668914794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62820434570312,0.0,0.0,0.0,0.0,56.018192291259766,0.0,0.0,0.0
Husky,73.36930847167969,80.50023651123047,0.0,98.37892150878906,94.12467193603516,0.0,92.38555145263672,66.96366882324219,70.76545715332031,91.12950897216797,93.68392944335938,0.0,0.0,0.0,59.54737854003906,59.09397506713867,0.0,75.35853576660156,99.14667510986328,74.83096313476562
Strap,69.12504577636719,87.49256896972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,65.95980072021484,65.1180419921875,0.0,0.0,59.70072937011719,0.0,0.0,65.15851593017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
