,시추_1,시추_2,시추_3,시추_4,시추_5,시추_6,시추_7,시추_8,시추_9,시추_10,시추_11,시추_12,시추_13,시추_14,시추_15,시추_16,시추_17,시추_18,시추_19,시추_20
Animal,91.91386413574219,98.94322967529297,98.94825744628906,92.9722900390625,99.75361633300781,96.42898559570312,98.13697814941406,99.10459899902344,98.00613403320312,91.87264251708984,99.1792984008789,97.32289123535156,99.91893768310547,97.8748779296875,96.23704528808594,92.89685821533203,92.6797103881836,91.09256744384766,94.7720947265625,88.40203094482422
Mammal,91.7379379272461,98.94322967529297,98.94825744628906,92.9722900390625,99.75361633300781,96.42898559570312,98.13697814941406,99.10459899902344,98.00613403320312,91.87264251708984,99.1792984008789,97.32289123535156,99.91893768310547,97.8748779296875,96.23704528808594,92.89685821533203,92.6797103881836,91.09256744384766,94.7720947265625,86.89997863769531
Canine,89.26419830322266,98.94322967529297,98.94825744628906,92.75470733642578,99.75361633300781,96.42898559570312,98.13697814941406,99.10459899902344,98.00613403320312,91.87264251708984,99.1792984008789,97.32289123535156,99.91893768310547,97.8748779296875,96.23704528808594,92.89685821533203,92.6797103881836,91.09256744384766,94.7720947265625,86.89997863769531
Pet,87.31919860839844,98.94322967529297,98.94825744628906,91.79973602294922,99.75361633300781,96.42898559570312,98.13697814941406,99.10459899902344,98.00613403320312,91.87264251708984,99.1792984008789,97.32289123535156,99.91893768310547,97.8748779296875,96.23704528808594,92.64330291748047,91.76138305664062,90.29837036132812,94.7720947265625,88.40203094482422
Dog,85.85554504394531,98.94322967529297,98.94825744628906,91.79973602294922,99.75361633300781,96.42898559570312,98.13697814941406,99.10459899902344,98.00613403320312,91.87264251708984,99.1792984008789,97.32289123535156,99.91893768310547,97.8748779296875,96.23704528808594,92.05107879638672,91.5074462890625,90.29837036132812,94.7720947265625,85.05191040039062
Puppy,76.16655731201172,91.71282196044922,98.94825744628906,76.13739013671875,99.75361633300781,67.47027587890625,98.13697814941406,99.10459899902344,96.37577056884766,0.0,99.1792984008789,92.62244415283203,99.91893768310547,97.8748779296875,96.23704528808594,0.0,84.41282653808594,78.06007385253906,94.7720947265625,0.0
Poodle,71.89315032958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.00941467285156,0.0
Chihuahua,0.0,98.94322967529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,72.56802368164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,60.690269470214844,56.60117721557617,0.0,0.0,0.0,0.0,0.0,70.59236145019531,58.2257080078125,74.85572814941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,92.9722900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,78.34391021728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,78.34391021728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81441116333008
Cocker Spaniel,0.0,0.0,0.0,78.34391021728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81441116333008
Affenpinscher,0.0,0.0,0.0,0.0,0.0,64.2789306640625,0.0,0.0,0.0,0.0,0.0,58.3350944519043,0.0,0.0,0.0,0.0,0.0,60.09791946411133,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,63.754852294921875,0.0,0.0,0.0,0.0,0.0,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4451904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.76925659179688,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79594421386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79594421386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
