,시코쿠견_1,시코쿠견_2,시코쿠견_3,시코쿠견_4,시코쿠견_5,시코쿠견_6,시코쿠견_7,시코쿠견_8,시코쿠견_9,시코쿠견_10,시코쿠견_11,시코쿠견_12,시코쿠견_13,시코쿠견_14,시코쿠견_15,시코쿠견_16,시코쿠견_17,시코쿠견_18,시코쿠견_19,시코쿠견_20
Animal,92.41156768798828,92.9498062133789,92.0272216796875,99.45770263671875,93.35938262939453,93.78499603271484,90.83436584472656,96.57376861572266,98.23356628417969,99.44906616210938,72.12844848632812,89.51239776611328,84.15079498291016,99.68831634521484,94.6250991821289,95.62161254882812,99.94681549072266,92.77680206298828,95.4325180053711,98.80702209472656
Mammal,90.61134338378906,89.8549575805664,91.21166229248047,99.45770263671875,92.9662094116211,93.78499603271484,90.76673126220703,96.57376861572266,98.23356628417969,99.44906616210938,69.5537338256836,89.51239776611328,84.15079498291016,99.68831634521484,94.6250991821289,95.62161254882812,99.94681549072266,92.77680206298828,95.4325180053711,98.80702209472656
Canine,86.27465057373047,68.14234924316406,90.05713653564453,99.45770263671875,92.13736724853516,93.78499603271484,90.76673126220703,92.45236206054688,87.10580444335938,99.44906616210938,69.5537338256836,89.51239776611328,60.316627502441406,99.68831634521484,87.83222961425781,95.36852264404297,99.94681549072266,92.18595886230469,95.4325180053711,77.34207916259766
Pet,86.21942901611328,0.0,90.82003784179688,99.45770263671875,88.28163146972656,92.53996276855469,87.89282989501953,92.20317077636719,0.0,99.44906616210938,56.907344818115234,88.87655639648438,56.73090744018555,99.68831634521484,80.27500915527344,95.36852264404297,99.94681549072266,91.13714599609375,95.4325180053711,0.0
Dog,82.95606994628906,0.0,87.53020477294922,99.45770263671875,88.28163146972656,92.28858947753906,87.89282989501953,92.20317077636719,0.0,99.44906616210938,0.0,86.35881042480469,56.73090744018555,99.68831634521484,72.69439697265625,95.36852264404297,99.94681549072266,91.13714599609375,95.4325180053711,0.0
Puppy,69.51782989501953,0.0,71.68426513671875,0.0,55.96424102783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,68.56910705566406,88.08789825439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.14591979980469,0.0,0.0,97.17498779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,57.31884002685547,60.07575607299805,0.0,0.0,67.29987335205078,0.0,64.17646789550781,96.57376861572266,98.23356628417969,0.0,0.0,58.42327117919922,0.0,0.0,74.05551147460938,95.62161254882812,0.0,0.0,62.912593841552734,98.80702209472656
Nature,0.0,91.23929595947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.90098571777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,85.39244079589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
