,실리엄 테리어_1,실리엄 테리어_2,실리엄 테리어_3,실리엄 테리어_4,실리엄 테리어_5,실리엄 테리어_6,실리엄 테리어_7,실리엄 테리어_8,실리엄 테리어_9,실리엄 테리어_10,실리엄 테리어_11,실리엄 테리어_12,실리엄 테리어_13,실리엄 테리어_14,실리엄 테리어_15,실리엄 테리어_16,실리엄 테리어_17,실리엄 테리어_18,실리엄 테리어_19,실리엄 테리어_20
Animal,88.46797180175781,96.80913543701172,95.53483581542969,97.21519470214844,91.39797973632812,90.00010681152344,93.5088882446289,93.77625274658203,94.59989929199219,92.84747314453125,71.17019653320312,93.17694854736328,83.11982727050781,89.80258178710938,91.8338851928711,93.04597473144531,0.0,0.0,96.23665618896484,95.06360626220703
Mammal,87.71662902832031,96.80913543701172,95.53483581542969,97.21519470214844,91.20420837402344,89.83460998535156,93.5088882446289,93.77625274658203,94.59989929199219,92.84747314453125,68.37751770019531,90.9457015991211,83.11982727050781,88.4852523803711,91.8338851928711,93.04597473144531,0.0,0.0,96.23665618896484,95.06360626220703
Pet,87.17355346679688,96.80913543701172,93.82573699951172,0.0,84.61283874511719,90.00010681152344,92.7975082397461,93.77625274658203,94.59989929199219,92.48851013183594,71.17019653320312,93.17694854736328,82.16539001464844,85.13616943359375,0.0,92.21341705322266,0.0,0.0,96.23665618896484,95.06360626220703
Canine,81.92405700683594,96.80913543701172,93.82573699951172,0.0,84.61283874511719,89.83460998535156,93.5088882446289,93.77625274658203,94.59989929199219,92.84747314453125,66.40836334228516,90.9457015991211,83.11982727050781,85.13616943359375,0.0,93.04597473144531,0.0,0.0,96.23665618896484,95.06360626220703
Dog,81.89363098144531,96.80913543701172,93.82573699951172,0.0,84.61283874511719,89.12333679199219,92.7975082397461,93.77625274658203,94.59989929199219,91.78205871582031,0.0,65.36576843261719,82.16539001464844,85.13616943359375,0.0,91.68098449707031,0.0,0.0,96.23665618896484,95.06360626220703
Poodle,71.21653747558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2260856628418,0.0,65.36576843261719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,70.19310760498047,0.0,0.0,0.0,0.0,0.0,0.0,94.41683197021484,0.0,0.0,0.0,0.0,0.0,0.0,57.362422943115234,69.06817626953125,0.0,0.0,86.66967010498047,0.0
Terrier,59.58782196044922,96.80913543701172,93.82573699951172,0.0,84.61283874511719,65.20748138427734,63.381752014160156,93.77625274658203,0.0,68.38074493408203,0.0,0.0,59.84014129638672,69.387939453125,0.0,89.90496063232422,0.0,0.0,0.0,95.06360626220703
Goat,58.785614013671875,0.0,0.0,77.60858917236328,71.29242706298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.40618133544922,90.40145111083984,0.0,0.0,0.0,0.0,0.0
Grass,57.339508056640625,0.0,0.0,0.0,0.0,0.0,0.0,94.41683197021484,0.0,0.0,0.0,0.0,0.0,0.0,57.362422943115234,69.06817626953125,0.0,0.0,0.0,0.0
Airedale,0.0,56.936279296875,55.18558120727539,0.0,0.0,0.0,0.0,63.126426696777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,95.53483581542969,92.97234344482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,95.53483581542969,75.30078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,59.864036560058594,0.0,0.0,0.0,0.0,0.0,0.0,88.13590240478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.90909576416016,0.0,0.0
Polar Bear,0.0,0.0,0.0,75.30078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urban,0.0,0.0,0.0,58.048370361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neighborhood,0.0,0.0,0.0,58.048370361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,58.048370361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,59.68797302246094,72.94405364990234,0.0,94.59989929199219,0.0,0.0,0.0,0.0,0.0,0.0,59.23411178588867,0.0,0.0,96.23665618896484,57.362571716308594
White Dog,0.0,0.0,0.0,0.0,0.0,56.70267868041992,62.91404342651367,0.0,83.04304504394531,0.0,0.0,0.0,0.0,0.0,0.0,69.19335174560547,0.0,0.0,62.53960418701172,0.0
Diaper,0.0,0.0,0.0,0.0,0.0,0.0,99.99422454833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,85.29756927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.78189849853516,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,85.29756927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.78189849853516,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,66.85932922363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,66.48582458496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.703857421875,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,66.48582458496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37422180175781,79.20092010498047,0.0,0.0,95.83392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20092010498047,0.0,0.0,95.83392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20092010498047,0.0,0.0,95.83392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20092010498047,0.0,0.0,95.83392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20092010498047,0.0,0.0,95.83392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.047523498535156,0.0,0.0,63.916568756103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.13590240478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.857872009277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.89794921875,0.0,0.0,0.0,0.0,0.0,80.41510009765625,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7496566772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7496566772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.73424530029297,0.0,0.0,0.0,0.0,0.0,99.84513854980469,0.0,0.0,0.0
Plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5207290649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,61.725242614746094,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,64.29613494873047,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,66.50859832763672,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,96.25436401367188,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.44275665283203,0.0,0.0,0.0,0.0,0.0,61.725242614746094,0.0,0.0,0.0
Diagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.59189224243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martial Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17848587036133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exercise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.17729949951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.17729949951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.67680358886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.002071380615234,0.0,0.0,0.0,0.0,0.0,0.0,64.06983947753906,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.002071380615234,0.0,0.0,0.0,0.0,0.0,0.0,64.06983947753906,0.0
Mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31970977783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.31970977783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greeting Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.650413513183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9404525756836,0.0,0.0,0.0,0.0,0.0
Bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.51599884033203,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.92208480834961,0.0,0.0,0.0,0.0
Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.46829223632812,0.0,0.0,0.0
Ticket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.63751220703125,0.0,0.0,0.0
Document,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88725280761719,0.0,0.0,0.0
License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.034732818603516,0.0,0.0,0.0
Driving License,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.034732818603516,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.72896194458008,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92933654785156,0.0
Blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92933654785156,0.0
Rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.154563903808594,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.154563903808594,0.0
Bunny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.154563903808594,0.0
