,실키 테리어_1,실키 테리어_2,실키 테리어_3,실키 테리어_4,실키 테리어_5,실키 테리어_6,실키 테리어_7,실키 테리어_8,실키 테리어_9,실키 테리어_10,실키 테리어_11,실키 테리어_12,실키 테리어_13,실키 테리어_14,실키 테리어_15,실키 테리어_16,실키 테리어_17,실키 테리어_18,실키 테리어_19,실키 테리어_20
Pet,95.21717071533203,97.8748779296875,89.27044677734375,98.97428894042969,94.59765625,99.50618743896484,99.8563461303711,96.81454467773438,92.09941101074219,97.63426971435547,98.9482650756836,94.80542755126953,98.21954345703125,98.12750244140625,89.28736877441406,94.09527587890625,92.08816528320312,92.64178466796875,96.0394287109375,91.93711853027344
Animal,95.21717071533203,97.8748779296875,91.04244995117188,98.97428894042969,94.59765625,99.50618743896484,99.8563461303711,96.81454467773438,92.09941101074219,97.63426971435547,98.9482650756836,94.80542755126953,98.21954345703125,98.12750244140625,90.80606079101562,94.737548828125,98.74584197998047,92.64178466796875,96.0394287109375,91.93711853027344
Mammal,93.99748992919922,97.8748779296875,90.11068725585938,98.97428894042969,94.59765625,99.50618743896484,99.8563461303711,96.81454467773438,90.97930908203125,97.63426971435547,98.9482650756836,94.08207702636719,98.21954345703125,98.12750244140625,90.80606079101562,94.737548828125,98.74584197998047,92.51668548583984,96.0394287109375,91.93711853027344
Canine,93.99748992919922,97.8748779296875,90.11068725585938,98.97428894042969,94.59765625,99.50618743896484,99.8563461303711,96.81454467773438,90.97930908203125,97.63426971435547,98.9482650756836,94.08207702636719,98.21954345703125,98.12750244140625,90.80606079101562,94.737548828125,92.08816528320312,92.51668548583984,96.0394287109375,91.93711853027344
Dog,93.62459564208984,97.8748779296875,88.21907043457031,98.97428894042969,94.59765625,99.50618743896484,99.8563461303711,96.81454467773438,90.93023681640625,97.63426971435547,98.9482650756836,92.83997344970703,98.21954345703125,98.12750244140625,88.72560119628906,94.09527587890625,92.08816528320312,91.29096984863281,96.0394287109375,91.93711853027344
Terrier,78.8932876586914,0.0,0.0,0.0,94.59765625,78.63571166992188,94.99356842041016,85.903076171875,76.96552276611328,0.0,60.69025802612305,0.0,98.21954345703125,85.89356994628906,85.68295288085938,94.09527587890625,92.08816528320312,86.1446533203125,96.0394287109375,0.0
Puppy,75.2303466796875,97.8748779296875,85.86406707763672,94.59884643554688,0.0,0.0,0.0,0.0,0.0,78.75386810302734,98.9482650756836,59.10212326049805,0.0,98.12750244140625,64.94464111328125,59.4975700378418,0.0,59.10164260864258,0.0,91.93711853027344
White Dog,57.83012390136719,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,55.9917106628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
