,아나톨리아 셰퍼드_1,아나톨리아 셰퍼드_2,아나톨리아 셰퍼드_3,아나톨리아 셰퍼드_4,아나톨리아 셰퍼드_5,아나톨리아 셰퍼드_6,아나톨리아 셰퍼드_7,아나톨리아 셰퍼드_8,아나톨리아 셰퍼드_9,아나톨리아 셰퍼드_10,아나톨리아 셰퍼드_11,아나톨리아 셰퍼드_12,아나톨리아 셰퍼드_13,아나톨리아 셰퍼드_14,아나톨리아 셰퍼드_15,아나톨리아 셰퍼드_16,아나톨리아 셰퍼드_17,아나톨리아 셰퍼드_18,아나톨리아 셰퍼드_19,아나톨리아 셰퍼드_20
Animal,91.86177825927734,91.75023651123047,98.30097961425781,92.43624114990234,96.80645751953125,91.93363189697266,88.83477783203125,92.38334655761719,97.725341796875,95.33570861816406,84.16422271728516,92.4345932006836,98.28919219970703,85.36050415039062,99.25916290283203,83.05196380615234,69.90084838867188,91.91191101074219,90.09221649169922,94.42706298828125
Mammal,91.86177825927734,91.75023651123047,98.30097961425781,92.43624114990234,96.80645751953125,91.93363189697266,88.83477783203125,92.38334655761719,97.725341796875,95.33570861816406,84.16422271728516,92.4345932006836,98.28919219970703,84.85628509521484,99.25916290283203,83.05196380615234,68.17414093017578,91.91191101074219,88.99795532226562,94.42706298828125
Canine,90.21092224121094,87.73514556884766,98.30097961425781,92.43624114990234,96.80645751953125,91.93363189697266,88.83477783203125,92.38334655761719,97.725341796875,95.33570861816406,84.16422271728516,92.4345932006836,98.28919219970703,81.65972137451172,99.25916290283203,83.05196380615234,67.94085693359375,91.91191101074219,88.35835266113281,94.42706298828125
Dog,87.0722427368164,86.65341186523438,98.30097961425781,92.43624114990234,96.80645751953125,89.95830535888672,88.20634460449219,86.74172973632812,97.725341796875,95.33570861816406,81.55686950683594,91.509521484375,98.28919219970703,80.2632827758789,99.25916290283203,80.6801528930664,64.43868255615234,91.91191101074219,87.49823760986328,94.42706298828125
Pet,87.0722427368164,90.15894317626953,98.30097961425781,92.43624114990234,96.80645751953125,90.5557632446289,88.20634460449219,89.0099105834961,97.725341796875,95.33570861816406,83.13166809082031,92.02711486816406,98.28919219970703,80.2632827758789,99.25916290283203,80.6801528930664,69.47425842285156,91.91191101074219,88.32453918457031,94.42706298828125
Husky,86.66581726074219,0.0,0.0,0.0,0.0,56.946834564208984,79.30684661865234,0.0,97.725341796875,95.33570861816406,0.0,89.12832641601562,0.0,0.0,0.0,58.41636276245117,0.0,0.0,0.0,0.0
Wolf,78.89292907714844,0.0,0.0,0.0,0.0,0.0,64.24884033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,61.96039962768555,0.0,0.0,0.0,0.0,0.0,64.24884033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coyote,58.43102264404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,55.61070251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
