,아메리칸 불도그_1,아메리칸 불도그_2,아메리칸 불도그_3,아메리칸 불도그_4,아메리칸 불도그_5,아메리칸 불도그_6,아메리칸 불도그_7,아메리칸 불도그_8,아메리칸 불도그_9,아메리칸 불도그_10,아메리칸 불도그_11,아메리칸 불도그_12,아메리칸 불도그_13,아메리칸 불도그_14,아메리칸 불도그_15,아메리칸 불도그_16,아메리칸 불도그_17,아메리칸 불도그_18,아메리칸 불도그_19,아메리칸 불도그_20
Canine,92.46414947509766,96.30160522460938,93.35179901123047,99.33393859863281,99.31364440917969,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,91.76866149902344,94.47132873535156,89.7466049194336,93.23846435546875,91.66926574707031,96.2414321899414,93.54193115234375
Animal,92.46414947509766,96.30160522460938,93.35179901123047,99.33393859863281,99.31364440917969,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,94.14939880371094,94.47132873535156,89.7466049194336,93.23846435546875,91.66926574707031,96.2414321899414,93.54193115234375
Mammal,92.46414947509766,96.30160522460938,93.35179901123047,99.33393859863281,99.31364440917969,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,94.14939880371094,94.47132873535156,89.7466049194336,93.23846435546875,91.66926574707031,96.2414321899414,93.54193115234375
Pet,90.21910095214844,96.30160522460938,93.35179901123047,99.33393859863281,99.31364440917969,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,91.76866149902344,94.47132873535156,86.80791473388672,93.23846435546875,90.18281555175781,96.2414321899414,93.54193115234375
Bulldog,89.72972106933594,96.30160522460938,93.35179901123047,96.28789520263672,69.21525573730469,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,91.76866149902344,94.47132873535156,84.91453552246094,93.23846435546875,87.9166259765625,96.2414321899414,93.54193115234375
Dog,89.72972106933594,96.30160522460938,93.35179901123047,99.33393859863281,99.31364440917969,96.21675109863281,94.98511505126953,99.5301742553711,98.40300750732422,99.03437805175781,94.47686767578125,98.24299621582031,99.8720474243164,91.76866149902344,94.47132873535156,85.78231048583984,93.23846435546875,87.9166259765625,96.2414321899414,93.54193115234375
Pitbull,79.39226531982422,62.22715377807617,93.20831298828125,67.41029357910156,57.1670036315918,93.918701171875,59.14058303833008,0.0,85.12847137451172,62.32524108886719,94.47686767578125,55.034568786621094,0.0,71.09159851074219,83.30258178710938,84.91453552246094,75.9556655883789,67.93327331542969,56.99211502075195,84.04212188720703
Human,72.96701049804688,76.59827423095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.08270263671875,0.0,0.0,61.78571701049805,0.0,79.68714141845703,0.0,0.0,0.0,72.79146575927734,98.80818939208984
Person,72.96701049804688,76.59827423095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.08270263671875,0.0,0.0,61.78571701049805,0.0,79.68714141845703,0.0,0.0,0.0,72.79146575927734,98.80818939208984
Boxer,70.38640594482422,95.26883697509766,0.0,0.0,0.0,63.36769485473633,0.0,0.0,98.40300750732422,99.03437805175781,80.64559936523438,0.0,0.0,91.72825622558594,90.27565002441406,55.76108169555664,93.23846435546875,80.84099578857422,94.98059844970703,80.7818603515625
