,아메리칸 불리_1,아메리칸 불리_2,아메리칸 불리_3,아메리칸 불리_4,아메리칸 불리_5,아메리칸 불리_6,아메리칸 불리_7,아메리칸 불리_8,아메리칸 불리_9,아메리칸 불리_10,아메리칸 불리_11,아메리칸 불리_12,아메리칸 불리_13,아메리칸 불리_14,아메리칸 불리_15,아메리칸 불리_16,아메리칸 불리_17,아메리칸 불리_18,아메리칸 불리_19,아메리칸 불리_20
Liquor,99.68982696533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drink,99.68982696533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcohol,99.68982696533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,99.68982696533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewelry,85.6192398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,85.6192398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Locket,85.6192398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,85.6192398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pendant,85.6192398071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gin,79.29295349121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottle,58.16485595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,98.90751647949219,98.2628173828125,99.23727416992188,95.41722106933594,63.6396598815918,94.93684387207031,93.53446960449219,91.24372100830078,91.23683166503906,97.2226333618164,83.79837799072266,85.33504486083984,86.6556167602539,78.2418212890625,88.21823120117188
French Bulldog,0.0,99.5301742553711,0.0,77.90376281738281,99.13845825195312,0.0,68.75318145751953,0.0,58.258785247802734,0.0,55.638694763183594,0.0,0.0,0.0,0.0,0.0,55.199039459228516,0.0,0.0,0.0
Mammal,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,98.90751647949219,98.2628173828125,99.23727416992188,95.41722106933594,63.6396598815918,94.93684387207031,92.3932876586914,91.24372100830078,91.23683166503906,97.2226333618164,82.22529602050781,85.33504486083984,86.6556167602539,78.2418212890625,88.21823120117188
Canine,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,98.90751647949219,98.2628173828125,99.23727416992188,95.41722106933594,63.6396598815918,94.93684387207031,92.1845932006836,91.24372100830078,91.23683166503906,97.2226333618164,82.22529602050781,85.33504486083984,86.6556167602539,78.2418212890625,88.21823120117188
Pet,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,98.90751647949219,98.2628173828125,99.23727416992188,95.41722106933594,63.6396598815918,94.93684387207031,89.71257781982422,90.558349609375,89.08682250976562,97.2226333618164,83.79837799072266,85.28179168701172,84.29010009765625,77.5795669555664,87.63085174560547
Dog,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,98.90751647949219,98.2628173828125,99.23727416992188,95.41722106933594,63.6396598815918,94.93684387207031,89.71257781982422,89.84480285644531,89.08682250976562,97.2226333618164,78.34201049804688,82.19464111328125,82.62747192382812,70.49034118652344,71.56843566894531
Bulldog,0.0,99.5301742553711,96.42733764648438,93.78706359863281,99.13845825195312,76.76496124267578,90.83084869384766,98.17648315429688,95.41722106933594,0.0,94.93684387207031,79.33120727539062,87.70592498779297,87.82839965820312,97.2226333618164,78.34201049804688,81.85834503173828,82.62747192382812,0.0,71.56843566894531
Pig,0.0,85.61450958251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,96.42733764648438,0.0,0.0,0.0,0.0,0.0,63.973758697509766,0.0,0.0,0.0,0.0,0.0,60.07316207885742,0.0,0.0,58.268253326416016,0.0,0.0
People,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,68.05724334716797,0.0,0.0,0.0,99.69213104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.23353576660156,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,68.05724334716797,0.0,0.0,0.0,99.69213104248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.23353576660156,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,68.05724334716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
