,아메리칸 스태퍼드셔 테리어_1,아메리칸 스태퍼드셔 테리어_2,아메리칸 스태퍼드셔 테리어_3,아메리칸 스태퍼드셔 테리어_4,아메리칸 스태퍼드셔 테리어_5,아메리칸 스태퍼드셔 테리어_6,아메리칸 스태퍼드셔 테리어_7,아메리칸 스태퍼드셔 테리어_8,아메리칸 스태퍼드셔 테리어_9,아메리칸 스태퍼드셔 테리어_10,아메리칸 스태퍼드셔 테리어_11,아메리칸 스태퍼드셔 테리어_12,아메리칸 스태퍼드셔 테리어_13,아메리칸 스태퍼드셔 테리어_14,아메리칸 스태퍼드셔 테리어_15,아메리칸 스태퍼드셔 테리어_16,아메리칸 스태퍼드셔 테리어_17,아메리칸 스태퍼드셔 테리어_18,아메리칸 스태퍼드셔 테리어_19,아메리칸 스태퍼드셔 테리어_20
Animal,92.1514892578125,94.98511505126953,0.0,98.92504119873047,95.25254821777344,93.05278778076172,95.93136596679688,98.4252700805664,99.25861358642578,99.33731842041016,92.86090087890625,93.53446960449219,0.0,99.74720001220703,90.40572357177734,97.27743530273438,89.3676986694336,93.7146987915039,93.149658203125,89.40169525146484
Canine,91.68785095214844,94.98511505126953,0.0,98.92504119873047,95.25254821777344,93.05278778076172,95.93136596679688,98.4252700805664,99.25861358642578,99.33731842041016,92.86090087890625,92.1845932006836,0.0,99.74720001220703,90.12591552734375,97.27743530273438,89.3676986694336,93.7146987915039,93.149658203125,89.40169525146484
Mammal,91.68785095214844,94.98511505126953,0.0,98.92504119873047,95.25254821777344,93.05278778076172,95.93136596679688,98.4252700805664,99.25861358642578,99.33731842041016,92.86090087890625,92.3932876586914,0.0,99.74720001220703,90.12591552734375,97.27743530273438,89.3676986694336,93.7146987915039,93.149658203125,89.40169525146484
Pet,89.7904281616211,94.98511505126953,0.0,98.92504119873047,95.25254821777344,93.05278778076172,95.93136596679688,98.4252700805664,99.25861358642578,99.33731842041016,92.86090087890625,89.71257781982422,0.0,99.74720001220703,90.40572357177734,97.27743530273438,88.27584075927734,93.7146987915039,90.91151428222656,89.40169525146484
Dog,89.29438018798828,94.98511505126953,0.0,98.92504119873047,95.25254821777344,93.05278778076172,95.93136596679688,98.4252700805664,99.25861358642578,99.33731842041016,92.86090087890625,89.71257781982422,0.0,99.74720001220703,90.12591552734375,97.27743530273438,88.27584075927734,93.7146987915039,72.1890640258789,89.40169525146484
Hound,81.08065795898438,0.0,0.0,0.0,0.0,0.0,0.0,68.30770111083984,0.0,0.0,57.90180969238281,55.8785514831543,0.0,0.0,90.12591552734375,0.0,0.0,0.0,72.1890640258789,0.0
Puppy,58.3096809387207,0.0,0.0,78.49341583251953,0.0,0.0,0.0,0.0,0.0,0.0,58.24127197265625,56.67789077758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labrador Retriever,56.17300033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,55.085655212402344,0.0,0.0,0.0,70.01956176757812,0.0,65.93055725097656,0.0,65.45331573486328,66.17599487304688,58.51344299316406,0.0,0.0,99.74720001220703,59.79814147949219,0.0,0.0,81.72164916992188,58.71035385131836,0.0
Bulldog,55.085655212402344,94.98511505126953,0.0,82.19487762451172,87.46648406982422,93.05278778076172,94.35291290283203,82.01288604736328,90.99398040771484,90.4849624633789,92.86090087890625,79.33120727539062,0.0,99.74720001220703,59.79814147949219,97.27743530273438,88.27584075927734,93.7146987915039,59.48717498779297,89.40169525146484
French Bulldog,0.0,94.91358184814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,59.14057540893555,0.0,64.11531829833984,69.69430541992188,93.05278778076172,92.54891967773438,82.01288604736328,85.47289276123047,77.94409942626953,83.97820281982422,72.98413848876953,0.0,56.12807083129883,57.54710006713867,97.27743530273438,87.08793640136719,79.53459930419922,0.0,89.40169525146484
Helmet,0.0,0.0,89.18692016601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,89.18692016601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16947174072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,89.18692016601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16947174072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,75.12845611572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.96746826171875,0.0,0.0,0.0,0.0,0.0
Lawn Mower,0.0,0.0,73.94406127929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tool,0.0,0.0,73.94406127929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,72.61392974853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7394790649414,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,66.57882690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.96746826171875,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,58.44662094116211,0.0,0.0,62.767601013183594,81.12503814697266,0.0,0.0,0.0,0.0,0.0,96.20492553710938,60.030357360839844,0.0,0.0,0.0,0.0,76.39736938476562,0.0
Person,0.0,0.0,58.44662094116211,0.0,0.0,62.767601013183594,81.12503814697266,0.0,0.0,0.0,0.0,0.0,96.20492553710938,60.030357360839844,0.0,0.0,0.0,0.0,76.39736938476562,0.0
Pedal,0.0,0.0,55.089054107666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,74.43292999267578,0.0,0.0,0.0,0.0,0.0,0.0,97.06681060791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,74.43292999267578,0.0,0.0,0.0,0.0,0.0,0.0,97.06681060791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,98.3168716430664,99.84114074707031,0.0,82.25332641601562,93.37584686279297,66.99077606201172,0.0,0.0,0.0,0.0,0.0,0.0,58.90256881713867,0.0,0.0,88.59487915039062
Strap,0.0,0.0,0.0,0.0,78.04182434082031,0.0,0.0,88.350830078125,85.2212142944336,93.05632781982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,73.41543579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,56.4864387512207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45548248291016,0.0
Poster,0.0,0.0,0.0,0.0,56.4864387512207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45548248291016,0.0
