,아메리칸 아키다_1,아메리칸 아키다_2,아메리칸 아키다_3,아메리칸 아키다_4,아메리칸 아키다_5,아메리칸 아키다_6,아메리칸 아키다_7,아메리칸 아키다_8,아메리칸 아키다_9,아메리칸 아키다_10,아메리칸 아키다_11,아메리칸 아키다_12,아메리칸 아키다_13,아메리칸 아키다_14,아메리칸 아키다_15,아메리칸 아키다_16,아메리칸 아키다_17,아메리칸 아키다_18,아메리칸 아키다_19,아메리칸 아키다_20
Animal,93.78499603271484,92.0272216796875,92.41156005859375,94.10733032226562,93.1207504272461,91.92198181152344,98.41332244873047,94.921630859375,96.69042205810547,99.32701110839844,92.23079681396484,94.65084075927734,88.53731536865234,95.8740234375,93.72753143310547,95.9454116821289,92.78272247314453,91.05248260498047,90.02542114257812,98.79341125488281
Canine,93.78499603271484,90.05713653564453,86.27465057373047,93.5586166381836,91.73849487304688,91.38316345214844,98.41332244873047,94.921630859375,96.69042205810547,99.32701110839844,92.23079681396484,94.65084075927734,88.53731536865234,95.8740234375,93.72753143310547,95.9454116821289,92.78272247314453,90.93806457519531,90.02542114257812,98.79341125488281
Mammal,93.78499603271484,91.21166229248047,90.61134338378906,93.5586166381836,91.73849487304688,91.38316345214844,98.41332244873047,94.921630859375,96.69042205810547,99.32701110839844,92.23079681396484,94.65084075927734,88.53731536865234,95.8740234375,93.72753143310547,95.9454116821289,92.78272247314453,90.93806457519531,90.02542114257812,98.79341125488281
Pet,92.53996276855469,90.82003784179688,86.21942901611328,94.10733032226562,93.1207504272461,91.92198181152344,98.41332244873047,94.921630859375,96.69042205810547,99.32701110839844,92.23079681396484,94.65084075927734,87.37350463867188,95.8740234375,93.72753143310547,95.49120330810547,87.61859130859375,91.05248260498047,89.14653778076172,98.79341125488281
Husky,92.28858947753906,87.53020477294922,0.0,60.56599426269531,0.0,74.66797637939453,95.79462432861328,94.921630859375,0.0,0.0,0.0,0.0,59.781192779541016,95.8740234375,0.0,76.28272247314453,0.0,0.0,56.7278938293457,98.79341125488281
Dog,92.28858947753906,87.53020477294922,82.95608520507812,93.44771575927734,90.4639892578125,90.6010971069336,98.41332244873047,94.921630859375,96.69042205810547,99.32701110839844,92.23079681396484,94.65084075927734,63.36630630493164,95.8740234375,93.72753143310547,95.07695770263672,86.39639282226562,88.19061279296875,87.77233123779297,98.79341125488281
Human,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.39873504638672,0.0,0.0,98.59786987304688,0.0,99.39143371582031,0.0,0.0,89.52816009521484,0.0,0.0
Person,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.39873504638672,0.0,0.0,98.59786987304688,0.0,99.39143371582031,0.0,0.0,89.52816009521484,0.0,0.0
Puppy,0.0,71.68426513671875,69.51779174804688,0.0,0.0,0.0,0.0,0.0,96.69042205810547,0.0,0.0,0.0,59.048431396484375,0.0,0.0,0.0,0.0,0.0,0.0,90.86573028564453
Eskimo Dog,0.0,60.61588668823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.50753021240234,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,68.56909942626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.577884674072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,57.318824768066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,91.16783905029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,91.16783905029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,91.16783905029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
