,아메리칸 워터 스패니얼_1,아메리칸 워터 스패니얼_2,아메리칸 워터 스패니얼_3,아메리칸 워터 스패니얼_4,아메리칸 워터 스패니얼_5,아메리칸 워터 스패니얼_6,아메리칸 워터 스패니얼_7,아메리칸 워터 스패니얼_8,아메리칸 워터 스패니얼_9,아메리칸 워터 스패니얼_10,아메리칸 워터 스패니얼_11,아메리칸 워터 스패니얼_12,아메리칸 워터 스패니얼_13,아메리칸 워터 스패니얼_14,아메리칸 워터 스패니얼_15,아메리칸 워터 스패니얼_16,아메리칸 워터 스패니얼_17,아메리칸 워터 스패니얼_18,아메리칸 워터 스패니얼_19,아메리칸 워터 스패니얼_20
Painting,97.33905792236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,97.33905792236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,70.10575103759766,89.24134826660156,89.55049133300781,95.01476287841797,89.74622344970703,90.2147445678711,93.49047088623047,86.64409637451172,66.51406860351562,93.03607177734375,97.49591827392578,91.30084991455078,93.71865844726562,98.82664489746094,93.63661193847656,92.42143249511719,94.79956817626953,93.85798645019531,0.0,0.0
Animal,70.10575103759766,89.24134826660156,89.55049133300781,95.01476287841797,91.85248565673828,92.76737213134766,94.35089111328125,91.85366821289062,87.0946044921875,93.03607177734375,97.49591827392578,91.6446533203125,93.71865844726562,98.82664489746094,93.63661193847656,93.39533996582031,94.79956817626953,93.85798645019531,0.0,0.0
Mammal,70.10575103759766,89.24134826660156,89.55049133300781,95.01476287841797,89.74622344970703,92.76737213134766,93.49047088623047,90.37366485595703,84.88976287841797,93.03607177734375,97.49591827392578,91.30084991455078,93.71865844726562,98.82664489746094,93.63661193847656,92.42143249511719,94.79956817626953,93.85798645019531,0.0,0.0
Dog,70.10575103759766,85.39128875732422,86.1387939453125,95.01476287841797,89.74622344970703,90.15777587890625,92.56448364257812,61.044212341308594,62.62857437133789,93.03607177734375,97.49591827392578,90.67057800292969,92.90665435791016,98.82664489746094,91.91392517089844,92.42143249511719,94.79956817626953,92.89893341064453,0.0,0.0
Pet,70.10575103759766,88.01316833496094,88.51341247558594,95.01476287841797,91.0517578125,90.15777587890625,94.35089111328125,88.44652557373047,62.62857437133789,93.03607177734375,97.49591827392578,91.6446533203125,93.51224517822266,98.82664489746094,92.50180053710938,93.39533996582031,94.79956817626953,93.07391357421875,0.0,0.0
Plant,0.0,92.8097915649414,83.81246185302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,80.85589599609375,75.72242736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,80.85589599609375,75.72242736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daffodil,0.0,73.38025665283203,66.28456115722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,67.18299102783203,0.0,0.0,0.0,57.61591339111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,64.08221435546875,0.0,0.0,73.78742218017578,75.16293334960938,61.044212341308594,0.0,69.13114929199219,97.49591827392578,57.01401901245117,0.0,64.68136596679688,88.41082000732422,86.46424865722656,94.79956817626953,92.89893341064453,0.0,0.0
Spaniel,0.0,0.0,64.08221435546875,0.0,0.0,73.78742218017578,75.16293334960938,61.044212341308594,0.0,69.13114929199219,97.49591827392578,57.01401901245117,0.0,64.68136596679688,88.41082000732422,86.46424865722656,94.79956817626953,92.89893341064453,0.0,0.0
Hound,0.0,0.0,0.0,95.01476287841797,80.8221664428711,55.23875427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.08629608154297,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,70.28540802001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,58.99248123168945,62.495445251464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,56.750633239746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,61.86693572998047,0.0,0.0,0.0,0.0,93.03607177734375,0.0,0.0,91.43596649169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,92.56448364257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,61.031829833984375,68.58918762207031,0.0,69.1143569946289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85523223876953
Person,0.0,0.0,0.0,0.0,0.0,0.0,61.031829833984375,68.58918762207031,0.0,69.1143569946289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85523223876953
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.16279602050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.16279602050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pajamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.16279602050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32779693603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.82664489746094,0.0,61.0103759765625,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.39872741699219,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.154205322265625,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.154205322265625,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.154205322265625,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.154205322265625,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.154205322265625,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5242691040039,94.69223022460938
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5242691040039,94.69223022460938
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.84774780273438,94.69223022460938
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.84774780273438,94.69223022460938
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.84774780273438,94.69223022460938
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.05562591552734,63.12504959106445
File,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.63186645507812,75.66129302978516
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.740386962890625,0.0
First Aid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14222717285156,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.59425354003906
Webpage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.447914123535156
