,아메리칸 폭스하운드_1,아메리칸 폭스하운드_2,아메리칸 폭스하운드_3,아메리칸 폭스하운드_4,아메리칸 폭스하운드_5,아메리칸 폭스하운드_6,아메리칸 폭스하운드_7,아메리칸 폭스하운드_8,아메리칸 폭스하운드_9,아메리칸 폭스하운드_10,아메리칸 폭스하운드_11,아메리칸 폭스하운드_12,아메리칸 폭스하운드_13,아메리칸 폭스하운드_14,아메리칸 폭스하운드_15,아메리칸 폭스하운드_16,아메리칸 폭스하운드_17,아메리칸 폭스하운드_18,아메리칸 폭스하운드_19,아메리칸 폭스하운드_20
Canine,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,99.69644927978516,99.02379608154297,99.98926544189453,90.87816619873047,98.18146514892578,97.75260162353516,94.07286071777344,99.04739379882812,96.92146301269531,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Hound,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,98.47694396972656,99.02379608154297,99.98926544189453,60.58995056152344,98.18146514892578,97.75260162353516,94.07286071777344,99.04739379882812,91.2575454711914,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Animal,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,99.69644927978516,99.02379608154297,99.98926544189453,90.87816619873047,98.18146514892578,97.75260162353516,95.70587921142578,99.04739379882812,96.92146301269531,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Mammal,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,99.69644927978516,99.02379608154297,99.98926544189453,90.87816619873047,98.18146514892578,97.75260162353516,95.56847381591797,99.04739379882812,96.92146301269531,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Dog,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,99.69644927978516,99.02379608154297,99.98926544189453,87.83267974853516,98.18146514892578,97.75260162353516,94.07286071777344,99.04739379882812,96.92146301269531,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Pet,97.9986572265625,99.95600128173828,98.00777435302734,98.8437271118164,99.69644927978516,99.02379608154297,99.98926544189453,89.61641693115234,98.18146514892578,97.75260162353516,94.07286071777344,99.04739379882812,96.92146301269531,95.62924194335938,99.42963409423828,98.01872253417969,99.39798736572266,99.67010498046875,97.78553771972656,99.39523315429688
Beagle,92.60521697998047,0.0,92.57513427734375,96.47136688232422,96.11571502685547,97.43571472167969,0.0,0.0,94.98981475830078,71.96504211425781,74.21371459960938,96.83497619628906,61.568817138671875,89.66315460205078,98.92423248291016,97.16311645507812,96.17801666259766,98.011962890625,84.55555725097656,98.54586791992188
Plant,76.81233215332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.44738006591797,0.0,57.93803405761719,0.0,0.0,73.76996612548828,77.78714752197266,0.0,0.0,0.0,0.0
Grass,76.81233215332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.56900405883789,0.0,57.93803405761719,0.0,0.0,73.76996612548828,77.78714752197266,0.0,0.0,0.0,0.0
Afghan Hound,0.0,93.6837158203125,0.0,0.0,0.0,0.0,97.72754669189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,56.543235778808594,0.0,0.0,0.0,0.0,85.29106903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.70606994628906,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,70.57135772705078,0.0,0.0,0.0,77.28422546386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,70.57135772705078,0.0,0.0,0.0,77.28422546386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.61297607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.66596984863281,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59611892700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.44738006591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.18047332763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17266082763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17266082763672,0.0,62.05034637451172,0.0,0.0,71.6142807006836,68.11386108398438,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.17266082763672,0.0,0.0,0.0,0.0,60.89719009399414,58.487388610839844,0.0,0.0,0.0,0.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52713775634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
