,아이디_1,아이디_2,아이디_3,아이디_4,아이디_5,아이디_6,아이디_7,아이디_8,아이디_9,아이디_10,아이디_11,아이디_12,아이디_13,아이디_14,아이디_15,아이디_16,아이디_17,아이디_18,아이디_19,아이디_20
Canine,90.59664154052734,90.15608978271484,92.5910415649414,93.96723937988281,99.51045227050781,97.7438735961914,91.25171661376953,91.73741912841797,94.29562377929688,87.04821014404297,94.85630798339844,91.28054809570312,0.0,0.0,0.0,0.0,88.54347229003906,93.25475311279297,0.0,95.18043518066406
Animal,90.59664154052734,90.15608978271484,92.5910415649414,93.96723937988281,99.89993286132812,97.7438735961914,91.25171661376953,91.73741912841797,94.29562377929688,87.04821014404297,94.85630798339844,91.28054809570312,0.0,0.0,0.0,0.0,90.53759765625,93.25475311279297,0.0,95.18043518066406
Mammal,90.59664154052734,90.15608978271484,92.5910415649414,93.96723937988281,99.89993286132812,97.7438735961914,91.25171661376953,91.73741912841797,94.29562377929688,87.04821014404297,94.85630798339844,91.28054809570312,0.0,0.0,0.0,0.0,88.54347229003906,93.25475311279297,0.0,95.18043518066406
Pet,88.97314453125,88.8065185546875,92.27763366699219,92.35184478759766,99.51045227050781,97.7438735961914,88.71908569335938,90.90404510498047,93.79464721679688,85.70624542236328,94.85630798339844,90.6752700805664,0.0,0.0,0.0,0.0,90.53759765625,91.31315612792969,0.0,94.01358032226562
Sitting,81.26033782958984,59.5860710144043,0.0,0.0,0.0,0.0,69.06812286376953,0.0,0.0,60.31659698486328,0.0,0.0,0.0,0.0,0.0,0.0,94.85342407226562,0.0,0.0,0.0
Face,75.07302856445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94804382324219,99.9260482788086,0.0,98.27574157714844,57.16796875,0.0,99.9809799194336,0.0
Labrador Retriever,65.87853240966797,0.0,0.0,0.0,0.0,0.0,58.34398651123047,0.0,0.0,0.0,0.0,80.30347442626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,65.87853240966797,80.35956573486328,91.86294555664062,80.6913833618164,99.51045227050781,97.7438735961914,59.243003845214844,89.60124969482422,93.19649505615234,82.23635864257812,94.85630798339844,89.39470672607422,0.0,0.0,0.0,0.0,88.06099700927734,91.02742767333984,0.0,94.01358032226562
Husky,62.357276916503906,80.35956573486328,59.86711883544922,0.0,0.0,97.7438735961914,0.0,79.56290435791016,0.0,82.23635864257812,93.61223602294922,58.76298141479492,0.0,0.0,0.0,0.0,0.0,79.27887725830078,0.0,66.1429672241211
Photography,60.27653121948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35066223144531,0.0,72.06636810302734,60.298614501953125,0.0,70.66632843017578,0.0
Photo,60.27653121948242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.35066223144531,0.0,72.06636810302734,60.298614501953125,0.0,70.66632843017578,0.0
White Dog,57.38690185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.80960464477539,56.426063537597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.28951263427734
Puppy,56.811866760253906,0.0,0.0,80.6913833618164,0.0,0.0,0.0,0.0,0.0,57.85015106201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,58.8182487487793,89.36357879638672,0.0,0.0,0.0,59.243003845214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.52223587036133,0.0,0.0,0.0
Hound,0.0,56.30418395996094,56.38560104370117,74.30142974853516,0.0,75.80335235595703,56.65510177612305,66.04476165771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,67.12626647949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1157112121582,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,67.12626647949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,67.12626647949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,67.12626647949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,67.12626647949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,58.891780853271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,57.585121154785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Road,0.0,0.0,0.0,55.31306838989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,55.13119125366211,0.0,0.0,58.306427001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,99.89993286132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,99.51045227050781,0.0,57.92708206176758,55.39152526855469,0.0,0.0,94.85630798339844,60.28170394897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,61.682037353515625,0.0,0.0,79.67529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.34622192382812,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.50215148925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.78919219970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.78919219970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.290306091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.290306091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
