,아이리시 레드 앤드 화이트 세터_1,아이리시 레드 앤드 화이트 세터_2,아이리시 레드 앤드 화이트 세터_3,아이리시 레드 앤드 화이트 세터_4,아이리시 레드 앤드 화이트 세터_5,아이리시 레드 앤드 화이트 세터_6,아이리시 레드 앤드 화이트 세터_7,아이리시 레드 앤드 화이트 세터_8,아이리시 레드 앤드 화이트 세터_9,아이리시 레드 앤드 화이트 세터_10,아이리시 레드 앤드 화이트 세터_11,아이리시 레드 앤드 화이트 세터_12,아이리시 레드 앤드 화이트 세터_13,아이리시 레드 앤드 화이트 세터_14,아이리시 레드 앤드 화이트 세터_15,아이리시 레드 앤드 화이트 세터_16,아이리시 레드 앤드 화이트 세터_17,아이리시 레드 앤드 화이트 세터_18,아이리시 레드 앤드 화이트 세터_19,아이리시 레드 앤드 화이트 세터_20
Hound,96.0460205078125,90.52098083496094,0.0,91.41826629638672,89.10555267333984,99.90306091308594,91.5260238647461,0.0,0.0,0.0,0.0,0.0,91.5316162109375,79.78983306884766,0.0,61.20513153076172,0.0,84.75040435791016,0.0,98.4642562866211
Canine,96.0460205078125,91.74008178710938,0.0,93.19376373291016,89.10555267333984,99.90306091308594,94.38426971435547,94.12977600097656,0.0,94.12576293945312,90.98779296875,86.99556732177734,91.5316162109375,91.34391021728516,0.0,89.34453582763672,93.67679595947266,92.35184478759766,94.731201171875,98.4642562866211
Animal,96.0460205078125,91.87566375732422,89.6418685913086,93.53653717041016,90.14794921875,99.90306091308594,94.44212341308594,94.12977600097656,88.03754425048828,94.12576293945312,92.86175537109375,86.99556732177734,91.5316162109375,91.38331604003906,94.88410186767578,89.34453582763672,99.81681823730469,92.35184478759766,94.731201171875,98.4642562866211
Pet,96.0460205078125,91.82666015625,55.98721694946289,93.53653717041016,89.46195220947266,99.90306091308594,94.44212341308594,93.45684051513672,0.0,94.12576293945312,92.86175537109375,86.99556732177734,91.5316162109375,91.38331604003906,0.0,88.99046325683594,92.50027465820312,91.61852264404297,92.55784606933594,98.4642562866211
Dog,96.0460205078125,90.82931518554688,0.0,92.39643096923828,89.10555267333984,99.90306091308594,92.63236236572266,93.2266845703125,0.0,94.12576293945312,64.68677520751953,86.99556732177734,91.5316162109375,89.90637969970703,0.0,88.61825561523438,92.50027465820312,91.0876693725586,92.55784606933594,98.4642562866211
Mammal,96.0460205078125,91.74008178710938,64.09625244140625,93.19376373291016,90.14794921875,99.90306091308594,94.38426971435547,94.12977600097656,73.18658447265625,94.12576293945312,90.98779296875,86.99556732177734,91.5316162109375,91.34391021728516,94.88410186767578,89.34453582763672,99.81681823730469,92.35184478759766,94.731201171875,98.4642562866211
Bird,67.88175201416016,0.0,80.03987121582031,0.0,0.0,0.0,0.0,0.0,56.31141662597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,55.581092834472656,0.0,0.0,0.0,0.0,96.13118743896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7262191772461
Pointer,0.0,73.7539291381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.25272369384766,0.0,0.0,0.0,0.0,0.0,63.89459991455078
Beagle,0.0,60.06072998046875,0.0,66.88880157470703,59.051124572753906,0.0,63.408668518066406,0.0,0.0,0.0,0.0,0.0,58.0191535949707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,89.14766693115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.70680236816406,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,89.14766693115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.02674865722656,0.0,69.0684814453125,0.0,0.0,0.0,88.70586395263672
Grass,0.0,0.0,88.4240493774414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0684814453125,0.0,0.0,0.0,88.70586395263672
Emu,0.0,0.0,77.90076446533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,73.06575775146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.02674865722656,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,69.40988159179688,0.0,0.0,0.0,0.0,0.0,85.99854278564453,0.0,85.94489288330078,0.0,0.0,0.0,0.0,0.0,98.19371032714844,0.0
Human,0.0,0.0,0.0,0.0,69.40988159179688,0.0,0.0,0.0,0.0,0.0,85.99854278564453,0.0,85.94489288330078,0.0,0.0,0.0,0.0,0.0,98.19371032714844,0.0
Doctor,0.0,0.0,0.0,0.0,62.65719985961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4894790649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,94.66512298583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,0.0,0.0,0.0,0.0,0.0,67.06886291503906,67.796630859375,0.0,94.12576293945312,64.68677520751953,0.0,0.0,0.0,0.0,0.0,0.0,63.698543548583984,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,55.38947296142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52666473388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81681823730469,0.0,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57425689697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.96163940429688,0.0,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57425689697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.96163940429688,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.01730346679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphibian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.67289733886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.31141662597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.803775787353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.691097259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drawing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.352237701416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.352237701416016,0.0,74.96639251708984,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.375125885009766,0.0,57.026920318603516,0.0,0.0,0.0,0.0,0.0,59.00079345703125
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.124107360839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.124107360839844,0.0,0.0,0.0,70.12529754638672,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.12406921386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55746841430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55746841430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.96639251708984,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.026920318603516,0.0,0.0,0.0,0.0,0.0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.026920318603516,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.026920318603516,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.026920318603516,0.0,0.0,0.0,0.0,0.0,0.0
Cow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.88410186767578,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.88410186767578,0.0,0.0,0.0,0.0,0.0
Calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8798828125,0.0,0.0,0.0,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.308319091796875,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.48530578613281,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.34865951538086,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.55784606933594,0.0
