,아이리시 세터_1,아이리시 세터_2,아이리시 세터_3,아이리시 세터_4,아이리시 세터_5,아이리시 세터_6,아이리시 세터_7,아이리시 세터_8,아이리시 세터_9,아이리시 세터_10,아이리시 세터_11,아이리시 세터_12,아이리시 세터_13,아이리시 세터_14,아이리시 세터_15,아이리시 세터_16,아이리시 세터_17,아이리시 세터_18,아이리시 세터_19,아이리시 세터_20
Clothing,99.88481903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,99.88481903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Footwear,96.17202758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoe,96.17202758789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,93.94274139404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,84.83349609375,0.0,0.0,0.0,98.07008361816406,0.0,0.0,0.0,63.7178840637207,61.10441207885742,77.99169921875,0.0,0.0,0.0,69.70120239257812,0.0,0.0,77.84468841552734,72.3606948852539,0.0
Human,84.83349609375,0.0,0.0,0.0,98.07008361816406,0.0,0.0,0.0,63.7178840637207,61.10441207885742,77.99169921875,0.0,0.0,0.0,69.70120239257812,0.0,0.0,77.84468841552734,72.3606948852539,0.0
Sneaker,76.69456481933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,58.83961868286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,58.83961868286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skateboard,58.020790100097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,58.020790100097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,58.020790100097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Running Shoe,55.89751434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,98.7146224975586,82.26276397705078,99.6478271484375,59.311851501464844,98.51607513427734,85.81624603271484,98.21113586425781,89.29454803466797,98.10839080810547,85.34449768066406,99.47163391113281,92.09214782714844,98.71896362304688,95.5785903930664,91.14627075195312,98.46299743652344,69.20789337158203,90.10164642333984,93.0022964477539
