,아이리시 소프트코티드 휘튼 테리어_1,아이리시 소프트코티드 휘튼 테리어_2,아이리시 소프트코티드 휘튼 테리어_3,아이리시 소프트코티드 휘튼 테리어_4,아이리시 소프트코티드 휘튼 테리어_5,아이리시 소프트코티드 휘튼 테리어_6,아이리시 소프트코티드 휘튼 테리어_7,아이리시 소프트코티드 휘튼 테리어_8,아이리시 소프트코티드 휘튼 테리어_9,아이리시 소프트코티드 휘튼 테리어_10,아이리시 소프트코티드 휘튼 테리어_11,아이리시 소프트코티드 휘튼 테리어_12,아이리시 소프트코티드 휘튼 테리어_13,아이리시 소프트코티드 휘튼 테리어_14,아이리시 소프트코티드 휘튼 테리어_15,아이리시 소프트코티드 휘튼 테리어_16,아이리시 소프트코티드 휘튼 테리어_17,아이리시 소프트코티드 휘튼 테리어_18,아이리시 소프트코티드 휘튼 테리어_19,아이리시 소프트코티드 휘튼 테리어_20
Animal,98.4474868774414,95.64290618896484,89.4154281616211,93.92107391357422,94.78028106689453,97.82516479492188,99.07782745361328,93.92525482177734,92.30381774902344,93.0118179321289,90.77391052246094,91.286865234375,99.29131317138672,97.22736358642578,92.3769760131836,93.25587463378906,95.21717071533203,84.74945831298828,93.88092041015625,96.2077407836914
Canine,98.4474868774414,95.64290618896484,88.30538177490234,93.92107391357422,94.78028106689453,97.82516479492188,99.07782745361328,93.92525482177734,92.30381774902344,93.0118179321289,90.77391052246094,91.286865234375,99.29131317138672,97.22736358642578,67.9610824584961,93.25587463378906,93.99748992919922,0.0,93.88092041015625,96.2077407836914
Pet,98.4474868774414,95.07780456542969,89.4154281616211,93.76347351074219,94.78028106689453,97.82516479492188,99.07782745361328,93.92525482177734,92.30381774902344,91.84122467041016,88.74420166015625,91.18956756591797,99.29131317138672,97.22736358642578,73.09943389892578,92.79348754882812,95.21717071533203,0.0,93.02884674072266,96.2077407836914
Dog,98.4474868774414,95.07780456542969,87.5330581665039,92.97067260742188,94.78028106689453,97.82516479492188,99.07782745361328,93.92525482177734,92.30381774902344,82.75350952148438,65.02954864501953,89.65731048583984,99.29131317138672,97.22736358642578,62.024497985839844,92.08647155761719,93.62459564208984,0.0,90.40567016601562,96.2077407836914
Mammal,98.4474868774414,95.64290618896484,88.30538177490234,93.92107391357422,94.78028106689453,97.82516479492188,99.07782745361328,93.92525482177734,92.30381774902344,93.0118179321289,90.77391052246094,91.286865234375,99.29131317138672,97.22736358642578,92.3769760131836,93.25587463378906,93.99748992919922,83.0473403930664,93.88092041015625,96.2077407836914
Terrier,95.8040542602539,91.10041046142578,69.76265716552734,76.19924926757812,62.65330123901367,85.42406463623047,88.41763305664062,91.7659912109375,78.45883178710938,82.75350952148438,58.57146072387695,85.29312896728516,99.29131317138672,55.08063888549805,0.0,72.46013641357422,78.8932876586914,0.0,90.40567016601562,96.2077407836914
Airedale,61.29993438720703,0.0,0.0,0.0,0.0,0.0,0.0,67.59881591796875,0.0,0.0,0.0,0.0,99.29131317138672,0.0,0.0,0.0,0.0,0.0,57.21171188354492,77.4084701538086
Puppy,0.0,58.03899383544922,0.0,0.0,77.22026062011719,0.0,98.53633880615234,0.0,0.0,0.0,0.0,59.3233757019043,0.0,0.0,0.0,62.30434036254883,75.2303466796875,0.0,0.0,0.0
Poodle,0.0,0.0,87.5330581665039,84.14131164550781,94.78028106689453,60.4772834777832,0.0,0.0,0.0,71.98426055908203,65.02954864501953,0.0,0.0,82.49622344970703,0.0,0.0,56.7122917175293,0.0,0.0,0.0
Toy,0.0,0.0,0.0,99.29566192626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,72.67530059814453,0.0,0.0,97.21692657470703,0.0,0.0,94.93695831298828,0.0,93.5914306640625,0.0,0.0,0.0,0.0,0.0,70.85771942138672
Plant,0.0,0.0,0.0,0.0,0.0,72.67530059814453,0.0,0.0,97.21692657470703,0.0,0.0,94.93695831298828,0.0,93.5914306640625,0.0,0.0,0.0,0.0,0.0,70.85771942138672
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,99.2974624633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,99.2974624633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,89.9468765258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,76.2859878540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,56.97392654418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beak,0.0,0.0,0.0,0.0,0.0,0.0,55.64445114135742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,55.64445114135742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.553504943847656,0.0,0.0,0.0,0.0,0.0,57.67456817626953,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.49473190307617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13182067871094,98.2927474975586,0.0,0.0,88.48802185058594,0.0,0.0,0.0,95.48637390136719,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13182067871094,98.2927474975586,0.0,0.0,88.48802185058594,0.0,0.0,0.0,95.48637390136719,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69938659667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6315689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6315689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6315689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.68414306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351192474365234,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.985145568847656,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.83012390136719,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65850830078125,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77275466918945,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02336883544922,0.0,0.0
