,아이리시 울프 하운드_1,아이리시 울프 하운드_2,아이리시 울프 하운드_3,아이리시 울프 하운드_4,아이리시 울프 하운드_5,아이리시 울프 하운드_6,아이리시 울프 하운드_7,아이리시 울프 하운드_8,아이리시 울프 하운드_9,아이리시 울프 하운드_10,아이리시 울프 하운드_11,아이리시 울프 하운드_12,아이리시 울프 하운드_13,아이리시 울프 하운드_14,아이리시 울프 하운드_15,아이리시 울프 하운드_16,아이리시 울프 하운드_17,아이리시 울프 하운드_18,아이리시 울프 하운드_19,아이리시 울프 하운드_20
Dog,98.68863677978516,0.0,69.36864471435547,98.21730041503906,97.74576568603516,95.94657135009766,91.59629821777344,95.20642852783203,99.00732421875,98.67296600341797,99.781005859375,75.58001708984375,73.39082336425781,91.6540756225586,0.0,85.3719711303711,0.0,63.16535568237305,59.61671829223633,0.0
Hound,98.68863677978516,0.0,0.0,93.22007751464844,0.0,90.70347595214844,0.0,61.21855545043945,0.0,0.0,91.13432312011719,0.0,73.39082336425781,84.98345184326172,0.0,0.0,0.0,63.16535568237305,0.0,0.0
Pet,98.68863677978516,0.0,91.47107696533203,98.21730041503906,97.74576568603516,95.94657135009766,92.36952209472656,95.52266693115234,99.00732421875,98.67296600341797,99.781005859375,75.58001708984375,87.57897186279297,91.6540756225586,56.59185028076172,86.64060974121094,55.987911224365234,87.37367248535156,84.11563873291016,0.0
Canine,98.68863677978516,76.89826202392578,92.49044036865234,98.21730041503906,97.74576568603516,95.94657135009766,92.25491333007812,95.23033142089844,99.00732421875,98.67296600341797,99.781005859375,75.58001708984375,91.41436004638672,91.98139190673828,57.83892059326172,88.33395385742188,59.32589340209961,87.95813751220703,89.22737121582031,0.0
Mammal,98.68863677978516,98.786376953125,94.68282318115234,98.21730041503906,97.74576568603516,95.94657135009766,92.29822540283203,95.23033142089844,99.00732421875,98.67296600341797,99.781005859375,96.00830078125,91.41436004638672,92.24691009521484,77.44577026367188,88.33395385742188,86.21749114990234,87.95813751220703,89.22737121582031,87.08177947998047
Animal,98.68863677978516,98.786376953125,94.68282318115234,98.21730041503906,97.74576568603516,95.94657135009766,93.25978088378906,95.52266693115234,99.00732421875,98.67296600341797,99.781005859375,96.00830078125,94.5096435546875,92.5548095703125,82.92164611816406,88.33395385742188,86.21749114990234,87.95813751220703,89.22737121582031,92.15625
Winter,77.75471496582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,77.75471496582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,77.75471496582031,0.0,69.28812408447266,0.0,99.92028045654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,77.75471496582031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
