,아이리시 워터 스패니얼_1,아이리시 워터 스패니얼_2,아이리시 워터 스패니얼_3,아이리시 워터 스패니얼_4,아이리시 워터 스패니얼_5,아이리시 워터 스패니얼_6,아이리시 워터 스패니얼_7,아이리시 워터 스패니얼_8,아이리시 워터 스패니얼_9,아이리시 워터 스패니얼_10,아이리시 워터 스패니얼_11,아이리시 워터 스패니얼_12,아이리시 워터 스패니얼_13,아이리시 워터 스패니얼_14,아이리시 워터 스패니얼_15,아이리시 워터 스패니얼_16,아이리시 워터 스패니얼_17,아이리시 워터 스패니얼_18,아이리시 워터 스패니얼_19,아이리시 워터 스패니얼_20
Poodle,97.21623229980469,0.0,96.31401824951172,92.31825256347656,0.0,56.916908264160156,57.26059341430664,77.80126190185547,83.68721771240234,0.0,98.63680267333984,0.0,0.0,0.0,0.0,74.18283081054688,0.0,0.0,0.0,62.48743438720703
Canine,97.21623229980469,95.01476287841797,96.31401824951172,92.87298583984375,94.3387222290039,96.77945709228516,91.35865783691406,93.24952697753906,92.52780151367188,91.71928405761719,98.63680267333984,0.0,89.24134826660156,76.41444396972656,92.89707946777344,89.89411926269531,99.90306091308594,94.48667907714844,91.57160186767578,86.98443603515625
Animal,97.21623229980469,95.01476287841797,96.31401824951172,92.87298583984375,94.3387222290039,96.77945709228516,91.35865783691406,93.24952697753906,92.58719635009766,95.12153625488281,98.63680267333984,0.0,89.24134826660156,85.08821868896484,93.1990737915039,89.98906707763672,99.90306091308594,94.48667907714844,91.57160186767578,92.4893569946289
Pet,97.21623229980469,95.01476287841797,96.31401824951172,92.31825256347656,94.18026733398438,96.72418975830078,89.77488708496094,90.84495544433594,92.58719635009766,90.61284637451172,98.63680267333984,0.0,88.01316833496094,76.14714050292969,92.07170867919922,89.98906707763672,99.90306091308594,93.1993408203125,91.1400375366211,85.21368408203125
Dog,97.21623229980469,95.01476287841797,96.31401824951172,92.31825256347656,93.08494567871094,96.32665252685547,57.26059341430664,77.80126190185547,91.12458038330078,90.61284637451172,98.63680267333984,0.0,85.39128875732422,72.78487396240234,92.07170867919922,89.37154388427734,99.90306091308594,93.1993408203125,90.15046691894531,85.21368408203125
Mammal,97.21623229980469,95.01476287841797,96.31401824951172,92.87298583984375,94.3387222290039,96.77945709228516,91.35865783691406,93.24952697753906,92.52780151367188,95.12153625488281,98.63680267333984,0.0,89.24134826660156,84.78286743164062,93.1990737915039,89.89411926269531,99.90306091308594,94.48667907714844,91.57160186767578,90.01484680175781
Sheep,92.05877685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,95.01476287841797,0.0,0.0,83.12984466552734,59.63215255737305,0.0,62.9720344543457,0.0,57.55234909057617,0.0,0.0,0.0,0.0,0.0,0.0,99.90306091308594,0.0,0.0,0.0
Afghan Hound,0.0,70.28540802001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.13118743896484,0.0,0.0,0.0
Terrier,0.0,58.99248123168945,0.0,0.0,86.76074981689453,87.8165512084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.715293884277344,0.0,0.0,0.0,0.0,0.0,0.0
