,아이리시 테리어_1,아이리시 테리어_2,아이리시 테리어_3,아이리시 테리어_4,아이리시 테리어_5,아이리시 테리어_6,아이리시 테리어_7,아이리시 테리어_8,아이리시 테리어_9,아이리시 테리어_10,아이리시 테리어_11,아이리시 테리어_12,아이리시 테리어_13,아이리시 테리어_14,아이리시 테리어_15,아이리시 테리어_16,아이리시 테리어_17,아이리시 테리어_18,아이리시 테리어_19,아이리시 테리어_20
Animal,91.82239532470703,98.94825744628906,99.89755249023438,92.84403991699219,98.25505065917969,99.33088684082031,99.09522247314453,96.78032684326172,84.74939727783203,94.38324737548828,98.56940460205078,98.44825744628906,97.03064727783203,96.49385070800781,90.54903411865234,97.79104614257812,98.30469512939453,99.10091400146484,95.5440902709961,93.12821197509766
Mammal,91.15851593017578,98.94825744628906,99.89755249023438,92.48798370361328,98.25505065917969,99.33088684082031,99.09522247314453,96.78032684326172,83.04721069335938,94.38324737548828,98.56940460205078,98.44825744628906,97.03064727783203,96.49385070800781,89.83448791503906,97.79104614257812,98.30469512939453,99.10091400146484,95.50138092041016,93.12821197509766
Canine,90.6912612915039,98.94825744628906,93.2053451538086,92.48798370361328,98.25505065917969,99.33088684082031,99.09522247314453,96.78032684326172,0.0,94.38324737548828,98.56940460205078,98.44825744628906,97.03064727783203,96.49385070800781,89.83448791503906,97.79104614257812,98.30469512939453,99.10091400146484,95.50138092041016,93.12821197509766
Pet,90.42898559570312,98.94825744628906,81.50374603271484,82.53915405273438,98.25505065917969,99.33088684082031,99.09522247314453,96.78032684326172,0.0,94.30098724365234,98.56940460205078,98.44825744628906,97.03064727783203,95.76499938964844,90.54903411865234,97.2692642211914,98.30469512939453,99.10091400146484,95.5440902709961,93.12821197509766
Dog,88.10191345214844,98.94825744628906,80.98328399658203,82.53915405273438,98.25505065917969,99.33088684082031,99.09522247314453,96.78032684326172,0.0,93.295654296875,98.56940460205078,98.44825744628906,97.03064727783203,95.76499938964844,88.83136749267578,96.9998550415039,98.30469512939453,99.10091400146484,91.6296615600586,93.12821197509766
Grass,86.53478240966797,0.0,75.55252838134766,91.9351577758789,0.0,0.0,0.0,0.0,0.0,0.0,94.30321502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,86.53478240966797,0.0,75.55252838134766,91.9351577758789,0.0,0.0,0.0,0.0,0.0,0.0,94.30321502685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,75.61978149414062,60.690269470214844,0.0,0.0,97.65155029296875,97.19452667236328,99.09522247314453,96.78032684326172,0.0,0.0,98.56940460205078,98.26969909667969,97.03064727783203,91.11164093017578,74.59156036376953,59.63892364501953,98.30469512939453,99.10091400146484,71.45674896240234,0.0
Pig,72.73828125,0.0,99.89755249023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,98.94825744628906,66.47771453857422,70.45521545410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
