,아키타_1,아키타_2,아키타_3,아키타_4,아키타_5,아키타_6,아키타_7,아키타_8,아키타_9,아키타_10,아키타_11,아키타_12,아키타_13,아키타_14,아키타_15,아키타_16,아키타_17,아키타_18,아키타_19,아키타_20
Animal,92.41156768798828,89.23139190673828,94.05123901367188,93.2308578491211,98.95204162597656,98.67642211914062,99.30392456054688,93.78499603271484,93.92809295654297,0.0,99.86100769042969,99.490478515625,98.74873352050781,81.64988708496094,88.89096069335938,87.70502471923828,89.29032135009766,98.7844009399414,99.80522155761719,99.46516418457031
Mammal,90.61134338378906,87.9670639038086,93.19147491455078,93.2308578491211,98.95204162597656,98.67642211914062,99.30392456054688,93.78499603271484,91.99225616455078,0.0,99.86100769042969,99.490478515625,98.74873352050781,81.64988708496094,88.89096069335938,87.70502471923828,89.29032135009766,98.7844009399414,99.80522155761719,99.46516418457031
Canine,86.27465057373047,78.47281646728516,93.19147491455078,93.2308578491211,98.95204162597656,98.67642211914062,99.30392456054688,93.78499603271484,91.99225616455078,0.0,99.86100769042969,99.490478515625,98.74873352050781,81.64988708496094,88.89096069335938,87.70502471923828,89.29032135009766,98.7844009399414,99.80522155761719,99.46516418457031
Pet,86.21942901611328,75.2800064086914,91.52783966064453,93.2308578491211,98.95204162597656,98.67642211914062,99.30392456054688,92.53996276855469,81.21098327636719,0.0,99.86100769042969,99.490478515625,98.74873352050781,81.11649322509766,86.16572570800781,87.56253051757812,87.90218353271484,98.7844009399414,99.80522155761719,99.46516418457031
Dog,82.95606994628906,75.10733795166016,90.80255889892578,93.2308578491211,98.95204162597656,98.67642211914062,99.30392456054688,92.28858947753906,81.21098327636719,0.0,99.86100769042969,99.490478515625,98.74873352050781,0.0,79.44996643066406,77.6917724609375,87.52842712402344,98.7844009399414,99.80522155761719,99.46516418457031
Puppy,69.51782989501953,0.0,74.83869934082031,67.12533569335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.683990478515625,57.5444221496582,0.0
Outdoors,68.56910705566406,70.07511138916016,0.0,0.0,95.94477844238281,0.0,0.0,0.0,0.0,99.99600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,57.31884002685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33213806152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,84.83103942871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.198123931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,65.87850952148438,0.0,0.0,95.45121002197266,0.0,0.0,0.0,0.0,99.99600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,76.42085266113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,61.30988311767578,93.2308578491211,72.20672607421875,95.00128936767578,0.0,92.28858947753906,0.0,0.0,99.86100769042969,99.490478515625,98.74873352050781,0.0,79.44996643066406,77.6917724609375,85.07290649414062,98.7844009399414,99.80522155761719,99.46516418457031
Eskimo Dog,0.0,0.0,55.85169219970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.69554138183594,0.0,0.0,0.0,68.4637680053711,61.79977798461914,0.0,56.94345474243164
Bear,0.0,0.0,0.0,60.224735260009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,60.224735260009766,0.0,0.0,0.0,0.0,70.37596130371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,83.38653564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ice,0.0,0.0,0.0,0.0,66.8818130493164,0.0,0.0,0.0,0.0,58.2689323425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,63.13907241821289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,97.1368637084961,0.0,0.0,0.0,0.0,97.9419937133789,93.38368225097656,0.0,0.0,98.52915954589844,98.00167846679688,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,97.1368637084961,0.0,0.0,0.0,0.0,97.9419937133789,93.38368225097656,0.0,0.0,98.52915954589844,98.00167846679688,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,62.450904846191406,0.0,0.0,0.0,0.0,90.12982177734375,78.90217590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,62.450904846191406,0.0,0.0,0.0,0.0,90.12982177734375,78.90217590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chow,0.0,0.0,0.0,0.0,0.0,59.438133239746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,55.91073989868164,0.0,0.0,0.0,0.0,55.84456253051758,0.0,82.36663818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,94.69908905029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.772239685058594,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,67.46485900878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.22730255126953,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,62.008644104003906,0.0,0.0,0.0,0.0,58.8990364074707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,62.008644104003906,0.0,0.0,0.0,0.0,58.8990364074707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panoramic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99600219726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.493408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.876220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.32952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.32952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.85549926757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.55265045166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.54151916503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57804489135742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.12982177734375,78.90217590332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.54640197753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.54640197753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.82347869873047,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.60816192626953,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.66645050048828,75.67816925048828,73.1883316040039,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8033218383789,0.0,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.04818725585938,0.0,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.04818725585938,0.0,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.949466705322266,62.01555252075195,0.0,0.0,0.0,0.0
Logo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.759910583496094,0.0,0.0,0.0,0.0,0.0
Symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.759910583496094,0.0,0.0,0.0,0.0,0.0
Trademark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.759910583496094,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17718505859375,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17718505859375,0.0,0.0,0.0,0.0,0.0
First Aid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.080936431884766,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.96826171875,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.189796447753906,0.0,0.0,0.0,0.0
Living Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.835716247558594,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.82643127441406,0.0,0.0
