,아펜핀셔_1,아펜핀셔_2,아펜핀셔_3,아펜핀셔_4,아펜핀셔_5,아펜핀셔_6,아펜핀셔_7,아펜핀셔_8,아펜핀셔_9,아펜핀셔_10,아펜핀셔_11,아펜핀셔_12,아펜핀셔_13,아펜핀셔_14,아펜핀셔_15,아펜핀셔_16,아펜핀셔_17,아펜핀셔_18,아펜핀셔_19,아펜핀셔_20
Animal,98.0213394165039,99.98926544189453,93.4615478515625,95.37956237792969,94.65636444091797,97.25361633300781,96.88426208496094,99.4514389038086,98.55933380126953,97.65467834472656,96.99394226074219,96.74864196777344,95.0179672241211,98.4074935913086,96.42186737060547,92.26057434082031,93.22463989257812,96.5263671875,94.26736450195312,93.81128692626953
Papillon,98.0213394165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,98.0213394165039,99.98926544189453,61.51512908935547,95.37956237792969,94.65636444091797,97.25361633300781,96.88426208496094,99.4514389038086,98.55933380126953,97.65467834472656,96.99394226074219,96.74864196777344,94.9881362915039,98.4074935913086,96.42186737060547,92.13670349121094,93.22463989257812,96.5263671875,94.26736450195312,93.81128692626953
Cocker Spaniel,98.0213394165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,98.0213394165039,99.98926544189453,75.82553100585938,95.05487823486328,94.3803939819336,97.25361633300781,96.13240051269531,99.4514389038086,98.55933380126953,97.65467834472656,96.6409912109375,96.74864196777344,95.0179672241211,98.4074935913086,95.68427276611328,91.73443603515625,92.72718048095703,96.5263671875,93.52838897705078,93.63525390625
Dog,98.0213394165039,99.98926544189453,0.0,95.05487823486328,93.37639617919922,97.25361633300781,96.13240051269531,99.4514389038086,98.55933380126953,97.65467834472656,96.6409912109375,96.74864196777344,94.13174438476562,98.4074935913086,95.68427276611328,90.64340209960938,91.56363677978516,96.5263671875,93.52838897705078,92.76834106445312
Spaniel,98.0213394165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,98.0213394165039,99.98926544189453,89.97916412353516,95.37956237792969,94.65636444091797,97.25361633300781,96.88426208496094,99.4514389038086,98.55933380126953,97.65467834472656,96.99394226074219,96.74864196777344,94.9881362915039,98.4074935913086,96.42186737060547,92.26057434082031,93.22463989257812,96.5263671875,94.26736450195312,93.81128692626953
Hound,0.0,99.98926544189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42115020751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,97.72754669189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,70.57135772705078,82.71503448486328,0.0,0.0,0.0,0.0,0.0,0.0,74.44571685791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,70.57135772705078,82.71503448486328,0.0,0.0,0.0,0.0,0.0,0.0,74.44571685791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferret,0.0,0.0,55.143592834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,94.07994842529297,93.19658660888672,95.6664047241211,86.4298095703125,94.17963409423828,95.7007064819336,0.0,87.35121154785156,0.0,0.0,98.4074935913086,86.51443481445312,83.0636215209961,90.82548522949219,96.5263671875,88.38426208496094,91.47544860839844
Bear,0.0,0.0,0.0,80.42726135253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,80.42726135253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.65467834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97320556640625,0.0,96.74864196777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.02039337158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.89187240600586,0.0,0.0,0.0,0.0,0.0
