,알래스칸 맬러뮤트_1,알래스칸 맬러뮤트_2,알래스칸 맬러뮤트_3,알래스칸 맬러뮤트_4,알래스칸 맬러뮤트_5,알래스칸 맬러뮤트_6,알래스칸 맬러뮤트_7,알래스칸 맬러뮤트_8,알래스칸 맬러뮤트_9,알래스칸 맬러뮤트_10,알래스칸 맬러뮤트_11,알래스칸 맬러뮤트_12,알래스칸 맬러뮤트_13,알래스칸 맬러뮤트_14,알래스칸 맬러뮤트_15,알래스칸 맬러뮤트_16,알래스칸 맬러뮤트_17,알래스칸 맬러뮤트_18,알래스칸 맬러뮤트_19,알래스칸 맬러뮤트_20
Mammal,93.25264739990234,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.65648651123047,99.92024230957031,99.26358795166016,90.90238952636719,96.32661437988281,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Animal,93.25264739990234,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.65648651123047,99.92024230957031,99.26358795166016,92.48170471191406,96.32661437988281,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Canine,92.39755249023438,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.65648651123047,99.92024230957031,99.26358795166016,87.79796600341797,96.32661437988281,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Winter,81.06334686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,81.06334686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34852600097656,0.0,0.0,0.0,0.0,0.0
Outdoors,81.06334686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.58267974853516,0.0,0.0,0.0,0.0,0.0
Snowman,81.06334686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,81.06334686279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,80.56378173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.58528137207031,59.762474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,80.00154876708984,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.65648651123047,99.92024230957031,99.26358795166016,81.69483184814453,94.59591674804688,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Pet,80.00154876708984,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.65648651123047,99.92024230957031,99.26358795166016,81.69483184814453,95.84396362304688,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Fox,75.56690979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,75.56690979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47837829589844
Arctic Fox,75.56690979003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,64.11737060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.70431518554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,99.4756851196289,99.80970764160156,99.95027923583984,99.91671752929688,99.64592742919922,99.92024230957031,74.05934143066406,81.09481811523438,0.0,95.19904327392578,99.23709869384766,98.95088958740234,99.74121856689453,0.0,99.56117248535156,99.6898193359375,99.87165832519531,98.08717346191406,95.67362213134766
Person,0.0,75.97384643554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.46070861816406,0.0,0.0,0.0,96.97618865966797,0.0
Human,0.0,75.97384643554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.46070861816406,0.0,0.0,0.0,96.97618865966797,0.0
Eskimo Dog,0.0,73.31996154785156,58.40898513793945,0.0,0.0,0.0,0.0,0.0,56.72520446777344,78.55814361572266,64.89139556884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.88346862792969,0.0
Puppy,0.0,56.0313720703125,0.0,59.567630767822266,63.90040588378906,0.0,0.0,0.0,0.0,0.0,91.91722869873047,55.77531814575195,0.0,0.0,0.0,73.02142333984375,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,60.21742248535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8718032836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.50511169433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.88941955566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97152328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97152328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potted Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97152328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.97152328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.224910736083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14921951293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57622528076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Screen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57622528076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.470314025878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.470314025878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58776092529297,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.82540130615234,0.0,0.0,0.0,0.0,0.0
Angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73043060302734,0.0,0.0,0.0,0.0,0.0
Fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73043060302734,0.0,0.0,0.0,0.0,0.0
Leisure Activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73043060302734,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16716766357422,0.0,0.0,0.0,76.19155883789062,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16716766357422,0.0,0.0,0.0,76.19155883789062,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.72673034667969,0.0,0.0,0.0,95.80558776855469,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.72673034667969,0.0,0.0,0.0,76.19155883789062,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15775299072266,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.397525787353516,69.5481185913086,0.0
Sunglasses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.00057983398438,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.00057983398438,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.00057983398438,0.0
Selfie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.954833984375,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.47279357910156,0.0
Glasses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.733421325683594,0.0
Skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47837829589844
