,알래스칸 클리카이_1,알래스칸 클리카이_2,알래스칸 클리카이_3,알래스칸 클리카이_4,알래스칸 클리카이_5,알래스칸 클리카이_6,알래스칸 클리카이_7,알래스칸 클리카이_8,알래스칸 클리카이_9,알래스칸 클리카이_10,알래스칸 클리카이_11,알래스칸 클리카이_12,알래스칸 클리카이_13,알래스칸 클리카이_14,알래스칸 클리카이_15,알래스칸 클리카이_16,알래스칸 클리카이_17,알래스칸 클리카이_18,알래스칸 클리카이_19,알래스칸 클리카이_20
Mammal,97.85919189453125,98.76823425292969,99.8371810913086,99.09347534179688,99.63121032714844,76.84345245361328,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,86.00653076171875,97.05970764160156
Dog,97.85919189453125,98.76823425292969,58.71282958984375,99.09347534179688,99.63121032714844,0.0,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,81.31731414794922,97.05970764160156
Canine,97.85919189453125,98.76823425292969,58.71282958984375,99.09347534179688,99.63121032714844,64.53604888916016,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,81.31731414794922,97.05970764160156
Husky,97.85919189453125,98.76823425292969,58.71282958984375,99.09347534179688,99.63121032714844,0.0,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,81.31731414794922,97.05970764160156
Animal,97.85919189453125,98.76823425292969,99.8371810913086,99.09347534179688,99.63121032714844,76.84345245361328,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,88.8731460571289,97.05970764160156
Pet,97.85919189453125,98.76823425292969,58.71282958984375,99.09347534179688,99.63121032714844,72.28398132324219,99.25633239746094,99.60161590576172,98.7235107421875,99.69309997558594,98.34449005126953,93.25415802001953,99.62277221679688,96.76638793945312,98.56285858154297,94.81644439697266,99.75392150878906,99.70195007324219,88.8731460571289,97.05970764160156
Eskimo Dog,78.52978515625,0.0,0.0,62.29124069213867,0.0,0.0,55.85078430175781,60.08388137817383,0.0,69.33514404296875,0.0,58.26568603515625,0.0,0.0,0.0,0.0,79.25371551513672,58.89655685424805,0.0,68.58809661865234
Person,77.79149627685547,0.0,0.0,0.0,0.0,99.5830078125,0.0,0.0,97.68959045410156,0.0,0.0,0.0,0.0,0.0,0.0,95.75184631347656,60.00600051879883,0.0,0.0,0.0
Human,77.79149627685547,0.0,0.0,0.0,0.0,99.5830078125,0.0,0.0,97.68959045410156,0.0,0.0,0.0,0.0,0.0,0.0,95.75184631347656,60.00600051879883,0.0,0.0,0.0
Puppy,0.0,76.8721923828125,0.0,0.0,0.0,0.0,90.22587585449219,73.07747650146484,0.0,97.53235626220703,57.492088317871094,56.28974533081055,97.0713119506836,0.0,71.33214569091797,0.0,0.0,0.0,66.65377807617188,0.0
Pig,0.0,0.0,99.8371810913086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,83.7831802368164,0.0,0.0,0.0,0.0,0.0,61.91720962524414,64.5431900024414,80.2553939819336,0.0,0.0,95.48536682128906,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,60.31022644042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1263313293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,92.44482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,58.91111755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanket,0.0,0.0,0.0,0.0,55.608253479003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,90.09440612792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,73.6526107788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,68.6274642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,62.21302795410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
