,에스트렐라 마운틴 독_1,에스트렐라 마운틴 독_2,에스트렐라 마운틴 독_3,에스트렐라 마운틴 독_4,에스트렐라 마운틴 독_5,에스트렐라 마운틴 독_6,에스트렐라 마운틴 독_7,에스트렐라 마운틴 독_8,에스트렐라 마운틴 독_9,에스트렐라 마운틴 독_10,에스트렐라 마운틴 독_11,에스트렐라 마운틴 독_12,에스트렐라 마운틴 독_13,에스트렐라 마운틴 독_14,에스트렐라 마운틴 독_15,에스트렐라 마운틴 독_16,에스트렐라 마운틴 독_17,에스트렐라 마운틴 독_18,에스트렐라 마운틴 독_19,에스트렐라 마운틴 독_20
Animal,95.65400695800781,93.06974029541016,94.69802856445312,85.30533599853516,67.75672149658203,91.48224639892578,94.57344818115234,95.98654174804688,92.60877227783203,93.0159912109375,93.07841491699219,92.43053436279297,99.57373809814453,98.67949676513672,79.46033477783203,95.14458465576172,94.20256042480469,97.05614471435547,83.96109008789062,81.40275573730469
Pet,95.65400695800781,92.28014373779297,94.69802856445312,61.544525146484375,65.11882019042969,85.3408432006836,94.34169006347656,93.92326354980469,92.4261245727539,90.82140350341797,93.07841491699219,91.23920440673828,99.57373809814453,0.0,64.51448059082031,95.14458465576172,91.7001724243164,97.05614471435547,83.96109008789062,0.0
Canine,95.25055694580078,93.06974029541016,94.69802856445312,67.63794708251953,0.0,85.3408432006836,94.57344818115234,95.98654174804688,92.60877227783203,93.0159912109375,93.07841491699219,92.43053436279297,99.57373809814453,62.601295471191406,79.46033477783203,95.14458465576172,94.20256042480469,97.05614471435547,83.96109008789062,0.0
Dog,95.25055694580078,92.28014373779297,94.69802856445312,0.0,0.0,85.3408432006836,94.34169006347656,93.52684783935547,92.4261245727539,90.82140350341797,93.07841491699219,91.23920440673828,99.57373809814453,0.0,0.0,95.14458465576172,77.15937805175781,97.05614471435547,83.96109008789062,0.0
Mammal,95.25055694580078,93.06974029541016,94.69802856445312,79.8790054321289,65.1849136352539,91.48224639892578,94.57344818115234,95.98654174804688,92.60877227783203,93.0159912109375,93.07841491699219,92.43053436279297,99.57373809814453,83.26860809326172,79.46033477783203,95.14458465576172,94.20256042480469,97.05614471435547,83.96109008789062,78.6927490234375
Chow,89.0024642944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,81.53790283203125,68.11846160888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.224639892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,81.53790283203125,68.11846160888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.224639892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.36579132080078
Wildlife,67.59674072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.09510803222656,0.0,0.0,0.0,0.0,0.0,75.93931579589844
Bear,67.59674072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
