,오브차카_1,오브차카_2,오브차카_3,오브차카_4,오브차카_5,오브차카_6,오브차카_7,오브차카_8,오브차카_9,오브차카_10,오브차카_11,오브차카_12,오브차카_13,오브차카_14,오브차카_15,오브차카_17,오브차카_18,오브차카_19,오브차카_20
Animal,95.66876220703125,93.49308013916016,91.6983642578125,95.19657897949219,98.18301391601562,91.92048645019531,92.49249267578125,93.05792236328125,94.94017791748047,92.43038940429688,93.29413604736328,92.81001281738281,91.26335144042969,97.61392211914062,93.85684967041016,98.15902709960938,94.43412017822266,99.89749145507812,93.68865203857422
Mammal,82.91848754882812,93.49308013916016,90.97189331054688,95.19657897949219,98.18301391601562,91.92048645019531,92.49249267578125,93.05792236328125,94.91267395019531,92.43038940429688,93.29413604736328,92.81001281738281,91.26335144042969,97.61392211914062,93.80872344970703,92.89673614501953,93.3329849243164,99.89749145507812,91.8042984008789
Bird,81.35548400878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,79.2623062133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle,79.2623062133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truck,79.2623062133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,77.55902862548828,93.49308013916016,90.97189331054688,95.19657897949219,98.18301391601562,84.50594329833984,92.49249267578125,93.05792236328125,94.91267395019531,92.43038940429688,93.29413604736328,92.81001281738281,91.26335144042969,97.61392211914062,84.1570053100586,77.08154296875,93.3329849243164,98.99052429199219,84.0595703125
Hound,77.55902862548828,0.0,80.89142608642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6804428100586,0.0,0.0
Pet,77.55902862548828,89.66895294189453,87.91854858398438,94.65330505371094,98.18301391601562,79.4525146484375,90.864501953125,91.97894287109375,94.94017791748047,92.43038940429688,92.26182556152344,92.22140502929688,89.24456024169922,97.61392211914062,84.50315856933594,72.3770751953125,92.38750457763672,98.99052429199219,0.0
Dog,77.55902862548828,57.65020751953125,80.89142608642578,86.78060913085938,98.18301391601562,79.4525146484375,84.13621520996094,91.97894287109375,93.42203521728516,92.43038940429688,70.01225280761719,91.7336196899414,89.00730895996094,97.61392211914062,84.1570053100586,0.0,78.73015594482422,98.99052429199219,0.0
Person,76.99061584472656,86.58448791503906,64.93465423583984,99.10841369628906,0.0,0.0,91.58070373535156,99.03717803955078,88.1909408569336,98.75263977050781,97.7960433959961,0.0,98.62699127197266,0.0,0.0,98.5621337890625,99.51437377929688,0.0,0.0
Human,76.99061584472656,86.58448791503906,64.93465423583984,99.10841369628906,0.0,0.0,91.58070373535156,99.03717803955078,88.1909408569336,98.75263977050781,97.7960433959961,0.0,98.62699127197266,0.0,0.0,98.5621337890625,99.51437377929688,0.0,0.0
Vulture,72.25543212890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,68.38749694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9990234375
Grass,0.0,99.74546813964844,98.14763641357422,0.0,92.41781616210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9544906616211,0.0,0.0,65.09164428710938,0.0,0.0,0.0
Plant,0.0,99.74546813964844,98.14763641357422,0.0,94.10604095458984,0.0,59.24403762817383,0.0,0.0,0.0,0.0,0.0,99.986083984375,0.0,0.0,69.29254913330078,0.0,0.0,0.0
Outdoors,0.0,92.09073638916016,89.5973129272461,0.0,98.9505386352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5380630493164,0.0,0.0,0.0,0.0,0.0,96.65901947021484
Nature,0.0,88.9686508178711,64.02836608886719,0.0,98.9505386352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5380630493164,0.0,0.0,0.0,0.0,0.0,96.65901947021484
Field,0.0,68.80376434326172,90.77928161621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57569122314453,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,68.80376434326172,89.5973129272461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.49981689453125,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,60.92569351196289,0.0,0.0,85.07090759277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.986083984375,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,57.65020751953125,0.0,86.78060913085938,0.0,0.0,0.0,0.0,58.140342712402344,0.0,0.0,75.61038208007812,75.22953033447266,97.61392211914062,0.0,0.0,0.0,0.0,0.0
Countryside,0.0,56.38849639892578,64.02836608886719,0.0,63.24446105957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.32743835449219,0.0,0.0,0.0,0.0,0.0,0.0
Meadow,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farm,0.0,0.0,64.02836608886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural,0.0,0.0,64.02836608886719,0.0,63.24446105957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.32743835449219,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture,0.0,0.0,59.39665222167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,60.591121673583984,0.0,71.60144805908203,0.0,0.0,65.21383666992188,66.46334075927734,0.0,0.0,0.0,79.24229431152344,56.248321533203125,0.0,0.0,99.89749145507812,58.97781753540039
Bear,0.0,0.0,0.0,60.591121673583984,0.0,71.60144805908203,0.0,0.0,65.21383666992188,66.46334075927734,0.0,0.0,0.0,79.24229431152344,0.0,0.0,0.0,77.6510238647461,0.0
Yard,0.0,0.0,0.0,0.0,98.9505386352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.00118255615234,0.0,0.0,0.0,0.0,0.0,0.0
