,오스트레일리안 실키 테리어_1,오스트레일리안 실키 테리어_2,오스트레일리안 실키 테리어_3,오스트레일리안 실키 테리어_4,오스트레일리안 실키 테리어_5,오스트레일리안 실키 테리어_6,오스트레일리안 실키 테리어_7,오스트레일리안 실키 테리어_8,오스트레일리안 실키 테리어_9,오스트레일리안 실키 테리어_10,오스트레일리안 실키 테리어_11,오스트레일리안 실키 테리어_12,오스트레일리안 실키 테리어_13,오스트레일리안 실키 테리어_14,오스트레일리안 실키 테리어_15,오스트레일리안 실키 테리어_16,오스트레일리안 실키 테리어_17,오스트레일리안 실키 테리어_18,오스트레일리안 실키 테리어_19,오스트레일리안 실키 테리어_20
Pet,95.21717071533203,92.90029907226562,89.27049255371094,98.3290786743164,92.4561767578125,98.79374694824219,99.8563461303711,96.03804016113281,90.64048767089844,98.94825744628906,91.83451080322266,92.09941101074219,92.68669891357422,94.0952377319336,88.87915802001953,83.46855163574219,90.26225280761719,87.9839096069336,89.06736755371094,85.52471160888672
Animal,95.21717071533203,93.35425567626953,91.04251861572266,98.3290786743164,92.4561767578125,98.79374694824219,99.8563461303711,96.03804016113281,90.64048767089844,98.94825744628906,92.52792358398438,92.09941101074219,93.40308380126953,94.737548828125,89.56968688964844,83.46855163574219,90.26225280761719,87.9839096069336,89.06736755371094,85.52471160888672
Canine,93.99748992919922,91.92361450195312,90.11073303222656,98.3290786743164,92.4561767578125,98.79374694824219,99.8563461303711,96.03804016113281,90.64048767089844,98.94825744628906,91.56388092041016,90.97930908203125,93.40308380126953,94.737548828125,89.56968688964844,78.4797134399414,90.22080993652344,85.56974792480469,85.2953872680664,85.52471160888672
Mammal,93.99748992919922,92.48748779296875,90.11073303222656,98.3290786743164,92.4561767578125,98.79374694824219,99.8563461303711,96.03804016113281,90.64048767089844,98.94825744628906,91.56388092041016,90.97930908203125,93.40308380126953,94.737548828125,89.56968688964844,78.4797134399414,90.22080993652344,85.56974792480469,86.88756561279297,85.52471160888672
Dog,93.62459564208984,89.33966064453125,88.21912384033203,98.3290786743164,92.4561767578125,98.79374694824219,99.8563461303711,96.03804016113281,90.64048767089844,98.94825744628906,89.91513061523438,90.93023681640625,92.68669891357422,94.0952377319336,88.19974517822266,58.862850189208984,89.8758316040039,72.73192596435547,84.47322082519531,85.52471160888672
Terrier,78.8932876586914,0.0,0.0,88.10270690917969,84.7484130859375,96.55607604980469,94.9935302734375,78.61183166503906,75.7631607055664,60.690269470214844,83.32990264892578,76.96552276611328,87.73622131347656,94.0952377319336,0.0,0.0,76.18743133544922,67.4067611694336,82.1535415649414,85.52471160888672
Puppy,75.2303466796875,86.76577758789062,85.86418151855469,0.0,88.41693878173828,0.0,0.0,0.0,0.0,98.94825744628906,0.0,0.0,56.567481994628906,59.49765396118164,0.0,0.0,58.9435920715332,56.40870666503906,0.0,0.0
White Dog,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.862850189208984,0.0,72.73192596435547,0.0,0.0
Poodle,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.78306579589844,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,99.24016571044922,0.0,0.0,61.040531158447266,95.5643539428711,99.51716613769531,0.0,0.0,0.0,0.0,71.96992492675781,0.0,0.0,92.69486236572266,0.0,91.01112365722656,63.86503219604492
