,오스트레일리안 켈피_1,오스트레일리안 켈피_2,오스트레일리안 켈피_3,오스트레일리안 켈피_4,오스트레일리안 켈피_5,오스트레일리안 켈피_6,오스트레일리안 켈피_7,오스트레일리안 켈피_8,오스트레일리안 켈피_9,오스트레일리안 켈피_10,오스트레일리안 켈피_11,오스트레일리안 켈피_12,오스트레일리안 켈피_13,오스트레일리안 켈피_14,오스트레일리안 켈피_15,오스트레일리안 켈피_16,오스트레일리안 켈피_17,오스트레일리안 켈피_18,오스트레일리안 켈피_19,오스트레일리안 켈피_20
Dog,99.13455963134766,99.40962219238281,90.69232940673828,93.65422058105469,71.60543823242188,90.0560073852539,98.23101043701172,90.48572540283203,89.91773986816406,97.82029724121094,73.28065490722656,90.99374389648438,88.96319580078125,85.26553344726562,98.37625122070312,80.3445816040039,78.5366439819336,99.21051788330078,91.22333526611328,98.99951171875
German Shepherd,99.13455963134766,91.7284164428711,63.0602912902832,58.138999938964844,0.0,67.79975128173828,0.0,90.48572540283203,0.0,0.0,0.0,77.50102996826172,0.0,0.0,73.00027465820312,78.32070922851562,71.63831329345703,99.21051788330078,66.98532104492188,87.65336608886719
Mammal,99.13455963134766,99.40962219238281,93.08047485351562,97.94763946533203,88.0968246459961,91.49980163574219,98.23101043701172,91.87602996826172,91.69983673095703,97.82029724121094,75.48619079589844,91.77344512939453,97.4754867553711,86.45220184326172,98.37625122070312,85.50294494628906,83.9612045288086,99.21051788330078,93.16441345214844,98.99951171875
Pet,99.13455963134766,99.40962219238281,90.96905517578125,93.99313354492188,86.06880187988281,90.53459167480469,98.23101043701172,91.65546417236328,89.91773986816406,97.82029724121094,78.66780853271484,91.93131256103516,90.4310073852539,85.26553344726562,98.37625122070312,81.06624603271484,80.07305145263672,99.21051788330078,91.48751068115234,98.99951171875
Animal,99.13455963134766,99.40962219238281,93.08047485351562,97.94763946533203,88.0968246459961,91.49980163574219,98.23101043701172,91.87602996826172,91.69983673095703,97.82029724121094,78.66780853271484,91.93131256103516,97.4754867553711,86.45220184326172,98.37625122070312,85.50294494628906,84.14305114746094,99.21051788330078,93.16441345214844,98.99951171875
Canine,99.13455963134766,99.40962219238281,93.08047485351562,93.65422058105469,88.0968246459961,91.49980163574219,98.23101043701172,91.87602996826172,91.69983673095703,97.82029724121094,75.48619079589844,91.77344512939453,91.57781219482422,86.45220184326172,98.37625122070312,85.50294494628906,83.39318084716797,99.21051788330078,93.16441345214844,98.99951171875
Police Dog,61.926002502441406,0.0,82.44991302490234,70.93547058105469,0.0,56.218170166015625,98.23101043701172,0.0,0.0,58.358524322509766,70.46248626708984,83.3114013671875,55.396846771240234,0.0,0.0,0.0,0.0,78.85535430908203,71.40936279296875,0.0
Pig,0.0,0.0,0.0,97.94763946533203,0.0,0.0,0.0,0.0,0.0,0.0,58.031219482421875,0.0,97.4754867553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,89.10958099365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,82.53657531738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,75.22315216064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blossom,0.0,0.0,0.0,0.0,75.22315216064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,71.60543823242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,60.846439361572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vase,0.0,0.0,0.0,0.0,60.846439361572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jar,0.0,0.0,0.0,0.0,60.846439361572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower Arrangement,0.0,0.0,0.0,0.0,57.40121841430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,57.117462158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,70.69630432128906,0.0,57.28541946411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.86677551269531,0.0
Hound,0.0,0.0,0.0,0.0,0.0,68.47999572753906,0.0,70.08257293701172,0.0,0.0,0.0,0.0,0.0,62.437164306640625,58.35268783569336,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43599700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43599700927734,55.52345657348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43599700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43599700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43599700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.16260528564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2291030883789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47819519042969,0.0,0.0,0.0,0.0,0.0,55.468780517578125,74.85301208496094,59.45759963989258,0.0,76.98631286621094,0.0
Labrador Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.82029724121094,0.0,0.0,66.22203826904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25288391113281,0.0,64.91717529296875,0.0,0.0,0.0,0.0,0.0,57.70355224609375,85.6645736694336
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25288391113281,0.0,64.91717529296875,0.0,0.0,0.0,0.0,0.0,57.060890197753906,0.0
Collar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32349395751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32349395751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32349395751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.22866821289062,0.0,55.36473083496094,0.0,0.0,0.0,0.0,0.0,57.70355224609375,85.6645736694336
Gear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55252456665039,0.0,55.36473083496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.55252456665039,0.0,55.36473083496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.790794372558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8820571899414,98.37625122070312,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.997352600097656,0.0,62.53388214111328,63.621002197265625,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.997352600097656,0.0,62.53388214111328,63.621002197265625,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.03251647949219,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.03251647949219,0.0,0.0,0.0,0.0,0.0,0.0
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.246768951416016,0.0,0.0,0.0,0.0,0.0
Car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88642120361328
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88642120361328
Automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88642120361328
Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88642120361328
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.719730377197266
