,오스트레일리언 셰퍼드_1,오스트레일리언 셰퍼드_2,오스트레일리언 셰퍼드_3,오스트레일리언 셰퍼드_4,오스트레일리언 셰퍼드_5,오스트레일리언 셰퍼드_6,오스트레일리언 셰퍼드_7,오스트레일리언 셰퍼드_8,오스트레일리언 셰퍼드_9,오스트레일리언 셰퍼드_10,오스트레일리언 셰퍼드_11,오스트레일리언 셰퍼드_12,오스트레일리언 셰퍼드_13,오스트레일리언 셰퍼드_14,오스트레일리언 셰퍼드_15,오스트레일리언 셰퍼드_16,오스트레일리언 셰퍼드_17,오스트레일리언 셰퍼드_18,오스트레일리언 셰퍼드_19,오스트레일리언 셰퍼드_20
Animal,95.44921875,95.1599349975586,93.13211822509766,92.06777954101562,97.1251220703125,92.73941040039062,90.47599029541016,99.03274536132812,92.66567993164062,91.77243041992188,89.24266815185547,89.96607971191406,87.44754028320312,90.0470199584961,94.33082580566406,88.96483612060547,87.40867614746094,87.11051177978516,91.78504943847656,86.73358154296875
Mammal,88.0960693359375,73.3628158569336,92.84846496582031,92.06777954101562,97.1251220703125,92.73637390136719,90.47599029541016,99.03274536132812,92.66567993164062,91.77243041992188,89.24266815185547,89.96607971191406,87.44754028320312,90.0470199584961,94.33082580566406,87.96393585205078,87.40867614746094,87.11051177978516,91.22897338867188,86.73358154296875
Canine,88.0960693359375,0.0,92.84846496582031,92.06777954101562,97.1251220703125,92.73637390136719,90.47599029541016,99.03274536132812,92.66567993164062,91.77243041992188,89.24266815185547,89.96607971191406,87.44754028320312,90.0470199584961,94.33082580566406,78.54418182373047,87.40867614746094,87.11051177978516,91.22897338867188,86.73358154296875
Dog,86.62208557128906,0.0,85.02934265136719,92.06777954101562,97.1251220703125,78.13990020751953,89.06198120117188,99.03274536132812,91.87386322021484,90.70420837402344,87.20416259765625,89.84652709960938,85.67863464355469,88.91956329345703,94.33082580566406,78.27885437011719,73.30397033691406,84.52462005615234,90.01394653320312,86.73358154296875
Pet,86.62208557128906,0.0,88.56568145751953,92.06777954101562,97.1251220703125,78.13990020751953,89.06198120117188,99.03274536132812,91.87386322021484,91.0615463256836,87.20416259765625,89.84652709960938,86.31196594238281,88.91956329345703,94.33082580566406,84.4122314453125,86.0865478515625,84.52462005615234,91.78504943847656,86.73358154296875
Hound,67.75456237792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.26387405395508,0.0,0.0,56.22093963623047,0.0,66.20298767089844,0.0,73.30397033691406,0.0,0.0,0.0
Bird,60.25662612915039,82.4604263305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,57.79034423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9281120300293,0.0,0.0,77.27266693115234,88.91956329345703,94.33082580566406,55.79854202270508,55.40366744995117,0.0,57.89286422729492,0.0
Art,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,0.0,68.20342254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,85.02934265136719,66.89964294433594,97.1251220703125,0.0,56.57111740112305,64.08609008789062,56.40338134765625,56.67487335205078,0.0,0.0,0.0,55.05921173095703,0.0,0.0,0.0,63.80531311035156,0.0,86.73358154296875
