,오스트레일리언 캐틀 도그_1,오스트레일리언 캐틀 도그_2,오스트레일리언 캐틀 도그_3,오스트레일리언 캐틀 도그_4,오스트레일리언 캐틀 도그_5,오스트레일리언 캐틀 도그_6,오스트레일리언 캐틀 도그_7,오스트레일리언 캐틀 도그_8,오스트레일리언 캐틀 도그_9,오스트레일리언 캐틀 도그_10,오스트레일리언 캐틀 도그_11,오스트레일리언 캐틀 도그_12,오스트레일리언 캐틀 도그_13,오스트레일리언 캐틀 도그_14,오스트레일리언 캐틀 도그_15,오스트레일리언 캐틀 도그_16,오스트레일리언 캐틀 도그_17,오스트레일리언 캐틀 도그_18,오스트레일리언 캐틀 도그_19,오스트레일리언 캐틀 도그_20
Dog,96.45999145507812,99.15950012207031,99.29793548583984,97.21981048583984,87.56047058105469,0.0,90.48743438720703,62.60449981689453,63.422142028808594,97.76811218261719,0.0,71.05937957763672,98.0645980834961,61.693260192871094,96.5633773803711,75.30448150634766,0.0,56.29831314086914,97.88700866699219,99.77067565917969
Mammal,96.45999145507812,99.15950012207031,99.29793548583984,97.21981048583984,90.64591217041016,0.0,91.79033660888672,87.75371551513672,86.49293518066406,97.76811218261719,69.99322509765625,92.54773712158203,98.0645980834961,87.28034210205078,96.5633773803711,93.46742248535156,90.00313568115234,63.82355499267578,97.88700866699219,99.77067565917969
Pet,96.45999145507812,99.15950012207031,99.29793548583984,97.21981048583984,88.63047790527344,0.0,90.48743438720703,66.66355895996094,64.670166015625,97.76811218261719,69.96662139892578,71.05937957763672,98.0645980834961,61.693260192871094,96.5633773803711,75.30448150634766,0.0,57.2582893371582,97.88700866699219,99.77067565917969
Animal,96.45999145507812,99.15950012207031,99.29793548583984,97.21981048583984,90.64591217041016,0.0,91.79033660888672,87.75371551513672,87.12053680419922,97.76811218261719,71.26846313476562,92.54773712158203,98.0645980834961,90.4901123046875,96.5633773803711,93.46742248535156,90.00313568115234,63.82355499267578,97.88700866699219,99.77067565917969
Husky,96.45999145507812,0.0,72.36434936523438,0.0,0.0,0.0,0.0,0.0,0.0,97.76811218261719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.510276794433594,0.0
Canine,96.45999145507812,99.15950012207031,99.29793548583984,97.21981048583984,90.64591217041016,0.0,91.79033660888672,70.12339782714844,70.48199462890625,97.76811218261719,65.88908386230469,90.99630737304688,98.0645980834961,61.693260192871094,96.5633773803711,93.46742248535156,73.92829895019531,63.82355499267578,97.88700866699219,99.77067565917969
Chihuahua,74.07829284667969,79.1114730834961,0.0,0.0,0.0,0.0,57.2139778137207,0.0,0.0,0.0,0.0,0.0,98.0645980834961,0.0,57.8824348449707,0.0,0.0,0.0,97.88700866699219,99.77067565917969
German Shepherd,58.95668029785156,0.0,56.24006271362305,84.23563385009766,87.56047058105469,0.0,56.52054214477539,0.0,0.0,0.0,0.0,55.134002685546875,0.0,0.0,96.5633773803711,0.0,0.0,0.0,0.0,0.0
Appenzeller,58.87275695800781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,57.959354400634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.90510559082031,0.0,0.0,0.0,0.0,0.0,76.27320098876953,65.38729858398438
