,오스트레일리언 테리어_1,오스트레일리언 테리어_2,오스트레일리언 테리어_3,오스트레일리언 테리어_4,오스트레일리언 테리어_5,오스트레일리언 테리어_6,오스트레일리언 테리어_7,오스트레일리언 테리어_8,오스트레일리언 테리어_9,오스트레일리언 테리어_10,오스트레일리언 테리어_11,오스트레일리언 테리어_12,오스트레일리언 테리어_13,오스트레일리언 테리어_14,오스트레일리언 테리어_15,오스트레일리언 테리어_16,오스트레일리언 테리어_17,오스트레일리언 테리어_18,오스트레일리언 테리어_19,오스트레일리언 테리어_20
Pet,95.21717071533203,0.0,89.27049255371094,94.89469909667969,95.45236206054688,98.79374694824219,92.4561767578125,97.37371063232422,99.61903381347656,97.66445922851562,96.03804016113281,89.8221206665039,90.64048767089844,98.94825744628906,97.70886993408203,80.5764389038086,92.09941101074219,90.15835571289062,92.68669891357422,90.63744354248047
Animal,95.21717071533203,96.81358337402344,91.04251861572266,94.89469909667969,95.45236206054688,98.79374694824219,92.4561767578125,97.37371063232422,99.61903381347656,97.66445922851562,96.03804016113281,90.86940002441406,90.64048767089844,98.94825744628906,97.70886993408203,93.58352661132812,92.09941101074219,91.75067901611328,93.40308380126953,93.26421356201172
Mammal,93.99748992919922,0.0,90.11073303222656,94.89469909667969,95.45236206054688,98.79374694824219,92.4561767578125,97.37371063232422,99.61903381347656,97.66445922851562,96.03804016113281,90.86940002441406,90.64048767089844,98.94825744628906,97.70886993408203,92.55064392089844,90.97930908203125,91.75067901611328,93.40308380126953,93.26421356201172
Canine,93.99748992919922,0.0,90.11073303222656,94.89469909667969,95.45236206054688,98.79374694824219,92.4561767578125,97.37371063232422,99.61903381347656,97.66445922851562,96.03804016113281,90.86940002441406,90.64048767089844,98.94825744628906,97.70886993408203,83.9980239868164,90.97930908203125,91.75067901611328,93.40308380126953,93.26421356201172
Dog,93.62459564208984,0.0,88.21912384033203,94.89469909667969,95.45236206054688,98.79374694824219,92.4561767578125,97.37371063232422,99.61903381347656,97.66445922851562,96.03804016113281,89.73880004882812,90.64048767089844,98.94825744628906,97.70886993408203,80.5764389038086,90.93023681640625,89.6025161743164,92.68669891357422,90.63744354248047
Terrier,78.8932876586914,0.0,0.0,94.89469909667969,69.41291046142578,96.55607604980469,84.7484130859375,97.37371063232422,85.82862091064453,97.66445922851562,78.61183166503906,88.27367401123047,75.76303100585938,60.689300537109375,63.634849548339844,0.0,76.96552276611328,72.87555694580078,87.73622131347656,86.8589859008789
Puppy,75.2303466796875,0.0,85.86418151855469,0.0,95.45236206054688,0.0,88.41693878173828,0.0,58.983394622802734,0.0,0.0,56.5511474609375,0.0,98.94825744628906,0.0,0.0,0.0,0.0,56.567481994628906,0.0
White Dog,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,96.81358337402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hen,0.0,69.49958801269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowl,0.0,69.49958801269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken,0.0,69.49958801269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poultry,0.0,69.49958801269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulture,0.0,60.75922393798828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,99.21672058105469,0.0,0.0,0.0,99.96617126464844,98.95793914794922,95.5643539428711,79.56893920898438,99.51715850830078,0.0,99.6867446899414,0.0,0.0,95.6240005493164,0.0,92.01588439941406
Plant,0.0,0.0,0.0,0.0,99.21672058105469,0.0,0.0,0.0,99.96617126464844,98.95793914794922,95.5643539428711,79.56893920898438,99.51715850830078,0.0,99.6867446899414,0.0,0.0,95.6240005493164,0.0,92.01588439941406
Outdoors,0.0,0.0,0.0,0.0,79.7205810546875,0.0,0.0,0.0,69.93333435058594,0.0,0.0,0.0,77.00856018066406,0.0,56.82197952270508,0.0,0.0,0.0,0.0,75.09010314941406
Grassland,0.0,0.0,0.0,0.0,79.7205810546875,0.0,0.0,0.0,69.93333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
