,오터 하운드_1,오터 하운드_2,오터 하운드_3,오터 하운드_4,오터 하운드_5,오터 하운드_6,오터 하운드_7,오터 하운드_8,오터 하운드_9,오터 하운드_10,오터 하운드_11,오터 하운드_12,오터 하운드_13,오터 하운드_14,오터 하운드_15,오터 하운드_16,오터 하운드_17,오터 하운드_18,오터 하운드_19,오터 하운드_20
Armor,78.54580688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Painting,77.93543243408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.71944427490234,0.0,0.0
Art,77.93543243408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.71944427490234,0.0,0.0
Person,0.0,99.57366180419922,59.01207733154297,70.57135772705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.91720581054688,0.0,0.0,95.65201568603516,0.0,0.0,0.0,0.0
Human,0.0,99.57366180419922,59.01207733154297,70.57135772705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.91720581054688,0.0,0.0,95.65201568603516,0.0,0.0,0.0,0.0
Sports,0.0,97.3659896850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,97.3659896850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martial Arts,0.0,93.17964172363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,0.0,91.44285583496094,99.98926544189453,98.00777435302734,90.87816619873047,93.37594604492188,94.8238525390625,91.36546325683594,97.42901611328125,99.9057846069336,99.8731460571289,99.26575469970703,94.65647888183594,91.28266906738281,77.5679931640625,94.28395080566406,84.88795471191406,93.27970886230469,93.47181701660156
Mammal,0.0,0.0,91.44285583496094,99.98926544189453,98.00777435302734,90.87816619873047,92.66629791259766,94.8238525390625,90.58448028564453,97.42901611328125,99.9057846069336,99.8731460571289,99.26575469970703,94.65647888183594,91.28266906738281,0.0,94.28395080566406,83.55671691894531,93.27970886230469,93.47181701660156
Canine,0.0,0.0,91.44285583496094,99.98926544189453,98.00777435302734,90.87816619873047,92.66629791259766,94.8238525390625,90.58448028564453,97.42901611328125,99.9057846069336,99.8731460571289,99.26575469970703,94.65647888183594,89.35360717773438,0.0,94.28395080566406,83.55671691894531,93.27970886230469,93.47181701660156
Pet,0.0,0.0,91.44285583496094,99.98926544189453,98.00777435302734,89.61641693115234,93.37594604492188,94.8238525390625,91.36546325683594,97.42901611328125,99.9057846069336,99.8731460571289,99.26575469970703,93.39310455322266,90.17225646972656,0.0,94.28395080566406,79.53727722167969,93.27970886230469,93.35636901855469
Dog,0.0,0.0,91.44285583496094,99.98926544189453,98.00777435302734,87.83267974853516,92.21027374267578,94.8238525390625,81.48115539550781,97.42901611328125,99.9057846069336,99.8731460571289,99.26575469970703,93.02191925048828,88.84660339355469,0.0,94.28395080566406,79.53727722167969,93.27970886230469,92.34984588623047
Bulldog,0.0,0.0,91.44285583496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,85.40111541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
