,올드 잉글리시 쉽독_1,올드 잉글리시 쉽독_2,올드 잉글리시 쉽독_3,올드 잉글리시 쉽독_4,올드 잉글리시 쉽독_5,올드 잉글리시 쉽독_6,올드 잉글리시 쉽독_7,올드 잉글리시 쉽독_8,올드 잉글리시 쉽독_9,올드 잉글리시 쉽독_10,올드 잉글리시 쉽독_11,올드 잉글리시 쉽독_12,올드 잉글리시 쉽독_13,올드 잉글리시 쉽독_14,올드 잉글리시 쉽독_15,올드 잉글리시 쉽독_16,올드 잉글리시 쉽독_17,올드 잉글리시 쉽독_18,올드 잉글리시 쉽독_19,올드 잉글리시 쉽독_20
Canine,96.21675109863281,90.47599029541016,97.9310073852539,92.91108703613281,97.45849609375,96.1518325805664,94.70903015136719,90.5774154663086,89.21621704101562,99.63172912597656,60.902896881103516,0.0,91.39773559570312,86.27777862548828,88.92293548583984,87.4163589477539,91.73678588867188,99.4620590209961,91.69995880126953,91.52543640136719
Animal,96.21675109863281,90.47599029541016,97.9310073852539,92.91108703613281,97.45849609375,96.1518325805664,94.70903015136719,90.5774154663086,93.27955627441406,99.63172912597656,83.30313110351562,95.1599349975586,91.89268493652344,87.5718994140625,91.21319580078125,88.3332748413086,91.73678588867188,99.4620590209961,91.69995880126953,91.52543640136719
Bulldog,96.21675109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,96.21675109863281,90.47599029541016,97.9310073852539,92.91108703613281,97.45849609375,96.1518325805664,94.70903015136719,90.5774154663086,91.3267822265625,99.63172912597656,81.81706237792969,73.3628158569336,91.712158203125,86.27777862548828,88.92293548583984,87.49479675292969,91.73678588867188,99.4620590209961,91.69995880126953,91.52543640136719
Dog,96.21675109863281,89.06198120117188,97.9310073852539,92.91108703613281,97.45849609375,96.1518325805664,94.70903015136719,90.5774154663086,88.90465545654297,99.63172912597656,0.0,0.0,91.0746841430664,70.55087280273438,81.3050308227539,67.4846420288086,91.20609283447266,99.4620590209961,91.69995880126953,91.52543640136719
Pet,96.21675109863281,89.06198120117188,97.9310073852539,92.91108703613281,97.45849609375,96.1518325805664,94.70903015136719,90.5774154663086,88.90465545654297,99.63172912597656,66.95967102050781,0.0,91.89268493652344,87.5718994140625,91.21319580078125,88.3332748413086,91.36257934570312,99.4620590209961,91.69995880126953,91.52543640136719
Pitbull,93.918701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxer,63.36769485473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.00423431396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bench,0.0,62.51666259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
