,와이머라너_1,와이머라너_2,와이머라너_3,와이머라너_4,와이머라너_5,와이머라너_6,와이머라너_7,와이머라너_8,와이머라너_9,와이머라너_10,와이머라너_11,와이머라너_12,와이머라너_13,와이머라너_14,와이머라너_15,와이머라너_16,와이머라너_17,와이머라너_18,와이머라너_19,와이머라너_20
Animal,98.4028091430664,93.49156188964844,95.62340545654297,88.4047622680664,95.8946304321289,93.92568969726562,92.8536148071289,93.46117401123047,91.83525085449219,93.56328582763672,94.51396179199219,99.49803924560547,93.72047424316406,92.42910766601562,90.74262237548828,93.24504852294922,96.03263092041016,98.27605438232422,90.09587097167969,91.70362854003906
Mammal,98.4028091430664,93.3195571899414,95.53887939453125,88.4047622680664,95.8946304321289,93.92568969726562,91.99148559570312,92.43498229980469,89.66529083251953,93.56328582763672,93.56312561035156,99.49803924560547,93.72047424316406,92.09203338623047,90.74262237548828,93.24504852294922,95.77938842773438,98.27605438232422,90.09587097167969,91.52597045898438
Dog,98.4028091430664,90.80069732666016,93.62623596191406,65.5191421508789,95.83553314208984,75.91561126708984,85.88530731201172,0.0,0.0,91.8471908569336,68.9602279663086,99.49803924560547,91.86063385009766,85.28568267822266,0.0,93.24504852294922,95.77938842773438,94.0257339477539,87.8167724609375,83.89226531982422
Canine,98.4028091430664,93.3195571899414,95.010986328125,88.4047622680664,95.8946304321289,93.92568969726562,91.99148559570312,92.43498229980469,80.67845153808594,93.56328582763672,93.56312561035156,99.49803924560547,93.72047424316406,92.09203338623047,90.74262237548828,93.24504852294922,95.77938842773438,94.88906860351562,90.09587097167969,87.6758041381836
Pet,98.4028091430664,90.80069732666016,93.62623596191406,86.72796630859375,95.83553314208984,91.14082336425781,92.8536148071289,93.46117401123047,91.83525085449219,92.51654815673828,94.51396179199219,99.49803924560547,92.178466796875,92.42910766601562,87.49433135986328,93.24504852294922,96.03263092041016,95.1641845703125,89.14158630371094,83.89226531982422
Great Dane,98.4028091430664,0.0,64.80626678466797,0.0,95.83553314208984,0.0,0.0,0.0,0.0,83.67597961425781,68.9602279663086,99.49803924560547,89.13106536865234,0.0,0.0,0.0,0.0,58.474727630615234,0.0,0.0
Floor,0.0,96.68666076660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,90.71082305908203,91.14820861816406,65.5191421508789,0.0,0.0,0.0,0.0,0.0,57.78800964355469,0.0,0.0,0.0,85.28568267822266,0.0,72.53285217285156,0.0,0.0,69.27281951904297,0.0
Wood,0.0,79.58610534667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,70.01421356201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.07535552978516,0.0,0.0,0.0,0.0,0.0,0.0
