,와이어 폭스 테리어_1,와이어 폭스 테리어_2,와이어 폭스 테리어_3,와이어 폭스 테리어_4,와이어 폭스 테리어_5,와이어 폭스 테리어_6,와이어 폭스 테리어_7,와이어 폭스 테리어_8,와이어 폭스 테리어_9,와이어 폭스 테리어_10,와이어 폭스 테리어_11,와이어 폭스 테리어_12,와이어 폭스 테리어_13,와이어 폭스 테리어_14,와이어 폭스 테리어_15,와이어 폭스 테리어_16,와이어 폭스 테리어_17,와이어 폭스 테리어_18,와이어 폭스 테리어_19,와이어 폭스 테리어_20
Pet,95.21717071533203,73.09943389892578,89.70523834228516,97.50816345214844,97.46867370605469,95.00897979736328,99.19969177246094,98.8400650024414,92.86566162109375,97.50325012207031,94.97698211669922,97.37521362304688,0.0,91.71601104736328,95.45077514648438,94.39973449707031,89.96308135986328,94.1994857788086,97.99272918701172,94.43737030029297
Animal,95.21717071533203,92.3769760131836,92.13774871826172,97.50816345214844,97.46867370605469,95.00897979736328,99.19969177246094,98.8400650024414,92.86566162109375,97.50325012207031,94.97698211669922,97.37521362304688,84.74945831298828,92.49999237060547,95.45077514648438,96.32136535644531,89.96308135986328,94.1994857788086,97.99272918701172,94.7938461303711
Mammal,93.99748992919922,92.3769760131836,92.13774871826172,97.50816345214844,97.46867370605469,95.00897979736328,99.19969177246094,98.8400650024414,92.86566162109375,97.50325012207031,94.97698211669922,97.37521362304688,83.0473403930664,92.49999237060547,95.32557678222656,95.21807861328125,87.76042175292969,94.02857208251953,97.99272918701172,94.7938461303711
Canine,93.99748992919922,67.9610824584961,92.13774871826172,97.50816345214844,97.46867370605469,95.00897979736328,99.19969177246094,98.8400650024414,92.86566162109375,97.50325012207031,94.97698211669922,97.37521362304688,0.0,92.49999237060547,95.32557678222656,95.16434478759766,87.76042175292969,94.02857208251953,97.99272918701172,94.7938461303711
Dog,93.62459564208984,62.024497985839844,88.24903106689453,97.50816345214844,97.46867370605469,95.00897979736328,99.19969177246094,98.8400650024414,92.86566162109375,97.50325012207031,94.97698211669922,97.37521362304688,0.0,91.71601104736328,95.15625762939453,94.05469512939453,79.11428833007812,93.60099029541016,97.99272918701172,93.92744445800781
Terrier,78.8932876586914,0.0,75.61920166015625,97.50816345214844,88.18667602539062,93.4492416381836,0.0,93.29729461669922,0.0,92.16853332519531,94.97698211669922,95.76495361328125,0.0,82.73540496826172,0.0,89.9585189819336,70.93251037597656,89.84913635253906,60.77738571166992,93.92744445800781
Puppy,75.2303466796875,0.0,63.621055603027344,0.0,0.0,0.0,0.0,69.43323516845703,92.86566162109375,64.00352478027344,0.0,0.0,0.0,64.43299865722656,79.86656188964844,0.0,0.0,0.0,0.0,56.69831466674805
White Dog,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08568572998047,0.0,0.0,67.12080383300781,0.0,0.0,0.0
Poodle,56.7122917175293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,57.67456817626953,61.382625579833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15625762939453,74.47528839111328,79.11428833007812,79.35691833496094,0.0,0.0
Jaguar,0.0,0.0,62.60115051269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,0.0,62.60115051269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,62.60115051269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,0.0,62.60115051269531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,96.13475799560547,0.0,0.0,0.0,57.133846282958984,0.0,58.112117767333984,82.9019775390625,80.66722869873047,0.0,0.0,0.0,0.0,0.0,75.31780242919922,0.0,60.88060760498047
Grass,0.0,0.0,0.0,0.0,98.05399322509766,0.0,62.443145751953125,0.0,0.0,0.0,0.0,99.16018676757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.211082458496094
Plant,0.0,0.0,0.0,0.0,98.05399322509766,0.0,62.443145751953125,0.0,0.0,0.0,0.0,99.16018676757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.211082458496094
Strap,0.0,0.0,0.0,0.0,97.07549285888672,92.08858489990234,99.9065933227539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6718978881836,0.0
Outdoors,0.0,0.0,0.0,0.0,59.748130798339844,0.0,0.0,0.0,0.0,0.0,57.70908737182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.74555969238281
Vegetation,0.0,0.0,0.0,0.0,58.75177001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leash,0.0,0.0,0.0,0.0,57.16085433959961,59.23447799682617,84.81758880615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.09201049804688,0.0
Cattle,0.0,0.0,0.0,0.0,0.0,0.0,87.34173583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cow,0.0,0.0,0.0,0.0,0.0,0.0,87.34173583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.91533660888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.91533660888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.115055084228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.11613845825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,62.62777328491211,0.0,0.0,0.0,91.376220703125,62.93290328979492
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.48637390136719,0.0,62.62777328491211,0.0,0.0,0.0,91.376220703125,62.93290328979492
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14253234863281,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.193416595458984,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.358154296875,0.0,0.0,0.0,0.0
