,와이어헤어드 포인팅 그리펀_1,와이어헤어드 포인팅 그리펀_2,와이어헤어드 포인팅 그리펀_3,와이어헤어드 포인팅 그리펀_4,와이어헤어드 포인팅 그리펀_5,와이어헤어드 포인팅 그리펀_6,와이어헤어드 포인팅 그리펀_7,와이어헤어드 포인팅 그리펀_8,와이어헤어드 포인팅 그리펀_9,와이어헤어드 포인팅 그리펀_10,와이어헤어드 포인팅 그리펀_11,와이어헤어드 포인팅 그리펀_12,와이어헤어드 포인팅 그리펀_13,와이어헤어드 포인팅 그리펀_14,와이어헤어드 포인팅 그리펀_15,와이어헤어드 포인팅 그리펀_16,와이어헤어드 포인팅 그리펀_17,와이어헤어드 포인팅 그리펀_18,와이어헤어드 포인팅 그리펀_19,와이어헤어드 포인팅 그리펀_20
Mammal,93.73159790039062,98.29878234863281,93.68063354492188,96.93441009521484,97.99591064453125,83.90105438232422,99.18341064453125,97.87352752685547,98.50071716308594,90.8260726928711,97.63225555419922,97.37508392333984,90.60169982910156,98.50277709960938,85.47479248046875,84.5335464477539,0.0,87.32903289794922,57.82347869873047,94.65678405761719
Animal,93.73159790039062,98.29878234863281,93.68063354492188,96.93441009521484,97.99591064453125,90.16937255859375,99.18341064453125,97.87352752685547,98.50071716308594,90.8260726928711,97.63225555419922,97.37508392333984,90.60169982910156,98.50277709960938,85.47479248046875,84.5335464477539,0.0,90.8112564086914,60.29829025268555,94.65678405761719
Canine,93.73159790039062,98.29878234863281,93.68063354492188,96.93441009521484,97.99591064453125,80.52142333984375,99.18341064453125,97.87352752685547,98.50071716308594,85.63494873046875,97.63225555419922,97.37508392333984,90.60169982910156,98.50277709960938,85.47479248046875,84.5335464477539,0.0,86.89347839355469,57.82347869873047,94.65678405761719
Dog,93.57164764404297,98.29878234863281,93.68063354492188,96.93441009521484,97.99591064453125,80.52142333984375,99.18341064453125,97.87352752685547,98.50071716308594,82.01103210449219,97.63225555419922,97.37508392333984,88.63599395751953,98.50277709960938,85.47479248046875,77.56988525390625,0.0,85.32524108886719,0.0,94.65678405761719
Pet,93.57164764404297,98.29878234863281,93.68063354492188,96.93441009521484,97.99591064453125,80.52142333984375,99.18341064453125,97.87352752685547,98.50071716308594,85.26248168945312,97.63225555419922,97.37508392333984,88.63599395751953,98.50277709960938,85.47479248046875,83.05731201171875,0.0,86.6928939819336,60.29829025268555,94.65678405761719
Terrier,74.27055358886719,0.0,0.0,80.0960922241211,61.20148849487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,61.140621185302734,88.30079650878906,57.073238372802734,0.0,97.99591064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,64.50829315185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.56988525390625,0.0,84.56884002685547,0.0,0.0
Apparel,0.0,0.0,0.0,60.9259147644043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,60.9259147644043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,56.75978469848633,80.37124633789062,0.0,61.69099044799805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.11834716796875,0.0,0.0
Plant,0.0,0.0,0.0,56.75978469848633,80.37124633789062,0.0,61.69099044799805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.74256896972656,97.11834716796875,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,94.7796401977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,94.7796401977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2818832397461,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,0.0,0.0,80.52142333984375,99.18341064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.65678405761719
Bird,0.0,0.0,0.0,0.0,0.0,76.32637023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partridge,0.0,0.0,0.0,0.0,0.0,76.32637023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,0.0,0.0,61.2619514465332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,55.602901458740234,0.0,0.0,0.0,90.8260726928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Head,0.0,0.0,0.0,0.0,0.0,55.099700927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,98.43875885009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,0.0,0.0,0.0,0.0,71.06610870361328,0.0,0.0,0.0,0.0,0.0,0.0,98.50277709960938,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87352752685547,98.50071716308594,0.0,0.0,0.0,57.46231460571289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
