,웨스트 하이랜드 화이트테리어_1,웨스트 하이랜드 화이트테리어_2,웨스트 하이랜드 화이트테리어_3,웨스트 하이랜드 화이트테리어_4,웨스트 하이랜드 화이트테리어_5,웨스트 하이랜드 화이트테리어_6,웨스트 하이랜드 화이트테리어_7,웨스트 하이랜드 화이트테리어_8,웨스트 하이랜드 화이트테리어_9,웨스트 하이랜드 화이트테리어_10,웨스트 하이랜드 화이트테리어_11,웨스트 하이랜드 화이트테리어_12,웨스트 하이랜드 화이트테리어_13,웨스트 하이랜드 화이트테리어_14,웨스트 하이랜드 화이트테리어_15,웨스트 하이랜드 화이트테리어_16,웨스트 하이랜드 화이트테리어_17,웨스트 하이랜드 화이트테리어_18,웨스트 하이랜드 화이트테리어_19,웨스트 하이랜드 화이트테리어_20
Animal,96.32136535644531,98.94825744628906,93.18290710449219,98.36453247070312,99.5521011352539,92.01957702636719,99.3338623046875,96.27385711669922,98.95606231689453,99.71410369873047,94.1624984741211,94.9185791015625,91.00990295410156,96.28958892822266,99.42820739746094,94.67070770263672,93.5973129272461,91.13166809082031,93.7283935546875,88.61540985107422
Mammal,95.21807861328125,98.94825744628906,92.90814208984375,98.36453247070312,99.5521011352539,92.01957702636719,99.3338623046875,96.27385711669922,98.95606231689453,99.71410369873047,94.0170669555664,94.9185791015625,90.55077362060547,96.28958892822266,99.42820739746094,94.67070770263672,93.5973129272461,90.41236114501953,93.7283935546875,88.61540985107422
Canine,95.16434478759766,98.94825744628906,92.90814208984375,98.36453247070312,99.5521011352539,92.01957702636719,99.3338623046875,96.27385711669922,98.95606231689453,99.71410369873047,87.2501449584961,94.9185791015625,90.55077362060547,96.28958892822266,99.42820739746094,94.67070770263672,93.5973129272461,90.41236114501953,93.7283935546875,88.61540985107422
Pet,94.39973449707031,98.94825744628906,92.92863464355469,98.36453247070312,99.5521011352539,92.01957702636719,99.3338623046875,96.27385711669922,98.95606231689453,99.71410369873047,85.53573608398438,94.9020767211914,90.90811920166016,96.28958892822266,99.42820739746094,94.67070770263672,93.28849792480469,91.13166809082031,93.7283935546875,88.29513549804688
Dog,94.05469512939453,98.94825744628906,92.4537353515625,98.36453247070312,99.5521011352539,92.01957702636719,99.3338623046875,96.27385711669922,98.95606231689453,99.71410369873047,84.05538177490234,94.9020767211914,88.37494659423828,96.28958892822266,99.42820739746094,94.67070770263672,93.26292419433594,90.41236114501953,93.7283935546875,80.6642837524414
Terrier,89.9585189819336,60.690269470214844,63.68648910522461,92.77102661132812,86.758544921875,86.38481140136719,92.56916809082031,94.35627746582031,87.6135482788086,93.00750732421875,0.0,83.41181945800781,0.0,96.28958892822266,71.63969421386719,59.92985534667969,81.65398406982422,90.41236114501953,0.0,80.6642837524414
Hound,74.47528839111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,63.193416595458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,57.358154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,98.94825744628906,70.85381317138672,86.6463394165039,95.1421127319336,61.791507720947266,59.65024185180664,92.31385040283203,83.08290100097656,0.0,0.0,0.0,0.0,0.0,93.52611541748047,94.67070770263672,92.20890808105469,65.5598373413086,77.73595428466797,58.848880767822266
