,웰시 스프링어 스패니얼_1,웰시 스프링어 스패니얼_2,웰시 스프링어 스패니얼_3,웰시 스프링어 스패니얼_4,웰시 스프링어 스패니얼_5,웰시 스프링어 스패니얼_6,웰시 스프링어 스패니얼_7,웰시 스프링어 스패니얼_8,웰시 스프링어 스패니얼_9,웰시 스프링어 스패니얼_10,웰시 스프링어 스패니얼_11,웰시 스프링어 스패니얼_12,웰시 스프링어 스패니얼_13,웰시 스프링어 스패니얼_14,웰시 스프링어 스패니얼_15,웰시 스프링어 스패니얼_16,웰시 스프링어 스패니얼_17,웰시 스프링어 스패니얼_18,웰시 스프링어 스패니얼_19,웰시 스프링어 스패니얼_20
Canine,91.80812072753906,99.3126449584961,94.3031997680664,94.56501007080078,91.10895538330078,92.40744018554688,94.44757843017578,87.1000747680664,89.69074249267578,0.0,85.15313720703125,97.53450775146484,87.71540832519531,92.21178436279297,97.38372039794922,92.0560302734375,96.49967956542969,90.28446197509766,76.01722717285156,91.32898712158203
Mammal,91.80812072753906,99.3126449584961,94.3031997680664,94.56501007080078,91.10895538330078,92.40744018554688,94.44757843017578,87.1000747680664,89.69074249267578,0.0,88.32648468017578,97.53450775146484,87.71540832519531,93.06877136230469,97.38372039794922,92.0560302734375,96.49967956542969,90.64872741699219,76.01722717285156,91.32898712158203
Animal,91.80812072753906,99.3126449584961,94.3031997680664,94.56501007080078,91.10895538330078,92.40744018554688,94.44757843017578,87.1000747680664,89.69074249267578,0.0,88.32648468017578,97.53450775146484,87.71540832519531,93.08625030517578,97.38372039794922,92.0560302734375,96.49967956542969,92.07154083251953,76.01722717285156,91.40493774414062
Pet,91.06130981445312,99.3126449584961,93.96807861328125,94.56501007080078,87.13883209228516,91.1088638305664,94.44757843017578,86.08586120605469,87.4047622680664,0.0,83.33686828613281,97.53450775146484,87.4605712890625,91.88566589355469,97.38372039794922,90.64214324951172,96.49967956542969,89.71687316894531,76.01722717285156,91.40493774414062
Dog,90.40113830566406,99.3126449584961,93.31729888916016,94.56501007080078,56.8360481262207,90.13746643066406,94.44757843017578,86.08586120605469,62.00251770019531,0.0,83.33686828613281,97.53450775146484,87.4605712890625,79.37019348144531,97.38372039794922,90.3718490600586,96.49967956542969,89.71687316894531,76.01722717285156,90.95640563964844
Spaniel,80.34546661376953,0.0,59.67195510864258,56.25994873046875,56.8360481262207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21987533569336,0.0,0.0,65.6444320678711,0.0,0.0,0.0,0.0
Cocker Spaniel,80.34546661376953,0.0,59.67195510864258,56.25994873046875,56.8360481262207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21987533569336,0.0,0.0,65.6444320678711,0.0,0.0,0.0,0.0
Puppy,65.65741729736328,0.0,0.0,64.45362854003906,0.0,59.73860549926758,59.8777961730957,0.0,59.218563079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69659423828125
Hound,57.991111755371094,99.3126449584961,56.99643325805664,0.0,0.0,0.0,0.0,75.60851287841797,62.00251770019531,0.0,59.809959411621094,97.53450775146484,85.07593536376953,57.01767349243164,97.38372039794922,0.0,0.0,81.9815673828125,0.0,0.0
Beagle,0.0,93.99142456054688,0.0,0.0,0.0,0.0,0.0,0.0,55.97152328491211,0.0,0.0,76.01026153564453,0.0,0.0,56.508811950683594,0.0,0.0,0.0,0.0,0.0
