,웰시 코기_1,웰시 코기_2,웰시 코기_3,웰시 코기_4,웰시 코기_5,웰시 코기_6,웰시 코기_7,웰시 코기_8,웰시 코기_9,웰시 코기_10,웰시 코기_11,웰시 코기_12,웰시 코기_13,웰시 코기_14,웰시 코기_15,웰시 코기_16,웰시 코기_17,웰시 코기_18,웰시 코기_19,웰시 코기_20
Animal,96.23704528808594,92.53056335449219,97.9986801147461,89.6651840209961,95.72789764404297,97.1235122680664,96.47653198242188,98.42645263671875,99.65067291259766,99.66618347167969,92.73506164550781,99.26766967773438,94.82413482666016,95.75144958496094,92.85968780517578,95.06777954101562,87.37409973144531,99.57727813720703,94.79740142822266,75.87212371826172
Canine,96.23704528808594,87.01084899902344,97.9986801147461,89.6651840209961,95.72789764404297,97.1235122680664,96.47653198242188,98.42645263671875,99.65067291259766,99.66618347167969,92.73506164550781,99.26766967773438,94.82413482666016,95.75144958496094,91.83372497558594,95.06777954101562,86.67977142333984,99.57727813720703,94.79740142822266,75.87212371826172
Puppy,96.23704528808594,0.0,0.0,62.071319580078125,90.91998291015625,82.85653686523438,0.0,88.3377914428711,0.0,0.0,0.0,88.68899536132812,0.0,57.5811767578125,57.75448989868164,93.46773529052734,66.24456787109375,99.57727813720703,0.0,0.0
Pet,96.23704528808594,84.1419677734375,97.9986801147461,89.6651840209961,95.72789764404297,97.1235122680664,96.47653198242188,98.42645263671875,99.65067291259766,99.66618347167969,92.73506164550781,99.26766967773438,94.82413482666016,95.75144958496094,85.87450408935547,94.42682647705078,84.85124206542969,99.57727813720703,94.79740142822266,75.87212371826172
Dog,96.23704528808594,82.71146392822266,97.9986801147461,89.6651840209961,95.72789764404297,97.1235122680664,96.47653198242188,98.42645263671875,99.65067291259766,99.66618347167969,92.73506164550781,99.26766967773438,94.82413482666016,95.75144958496094,81.53695678710938,93.98580932617188,66.24456787109375,99.57727813720703,94.79740142822266,75.87212371826172
Mammal,96.23704528808594,87.18656158447266,97.9986801147461,89.6651840209961,95.72789764404297,97.1235122680664,96.47653198242188,98.42645263671875,99.65067291259766,99.66618347167969,92.73506164550781,99.26766967773438,94.82413482666016,95.75144958496094,91.83372497558594,95.06777954101562,86.94981384277344,99.57727813720703,94.79740142822266,75.87212371826172
Floor,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,61.23329162597656,0.0,0.0,0.0,55.726409912109375,0.0,0.0,0.0,79.25994110107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,97.25593566894531,76.81207275390625,57.06023025512695,66.03579711914062,99.97429656982422,59.40078353881836,0.0,0.0,93.2502212524414,0.0,0.0,0.0,0.0,74.03653717041016,0.0,0.0,0.0,0.0,0.0
Grass,0.0,97.25593566894531,76.81207275390625,0.0,0.0,99.97429656982422,59.40078353881836,0.0,0.0,93.2502212524414,0.0,0.0,0.0,0.0,74.03653717041016,0.0,0.0,0.0,0.0,0.0
