,웰시 테리어_1,웰시 테리어_2,웰시 테리어_3,웰시 테리어_4,웰시 테리어_5,웰시 테리어_6,웰시 테리어_7,웰시 테리어_8,웰시 테리어_9,웰시 테리어_10,웰시 테리어_11,웰시 테리어_12,웰시 테리어_13,웰시 테리어_14,웰시 테리어_15,웰시 테리어_16,웰시 테리어_17,웰시 테리어_18,웰시 테리어_19,웰시 테리어_20
Pig,98.46612548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08159637451172,0.0,0.0,0.0,0.0,0.0
Animal,98.46612548828125,84.74945831298828,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,95.80868530273438,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,94.26355743408203,99.67650604248047,90.93202209472656,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Mammal,98.46612548828125,83.0473403930664,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,94.3227767944336,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,88.31587982177734,99.67650604248047,90.93202209472656,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Canine,94.46424865722656,0.0,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,94.3227767944336,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,0.0,99.67650604248047,90.93202209472656,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Pet,93.38279724121094,0.0,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,93.40499114990234,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,0.0,99.67650604248047,88.3345718383789,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Dog,92.82737731933594,0.0,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,91.85913848876953,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,0.0,99.67650604248047,88.3345718383789,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Terrier,88.83447265625,0.0,99.45072174072266,99.71727752685547,99.80220031738281,99.4207763671875,85.38787841796875,97.96214294433594,98.6529769897461,99.51407623291016,99.6196517944336,98.98357391357422,0.0,99.67650604248047,87.97618103027344,99.44371795654297,99.39241027832031,98.95811462402344,97.62593841552734,98.53034973144531
Airedale,70.23255920410156,0.0,99.45072174072266,99.50728607177734,99.80220031738281,99.4207763671875,0.0,93.0921859741211,98.6529769897461,99.33100891113281,99.53339385986328,98.98357391357422,0.0,99.67650604248047,78.02796936035156,99.15723419189453,99.39241027832031,98.81501007080078,95.96458435058594,98.27729034423828
Person,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,71.70320892333984,73.8331069946289,0.0,0.0,0.0,0.0,0.0,0.0,60.44995880126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear,0.0,0.0,0.0,0.0,71.70320892333984,73.8331069946289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,0.0,0.0,71.34325408935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
