,이비전 하운드_1,이비전 하운드_2,이비전 하운드_3,이비전 하운드_4,이비전 하운드_5,이비전 하운드_6,이비전 하운드_7,이비전 하운드_8,이비전 하운드_9,이비전 하운드_10,이비전 하운드_11,이비전 하운드_12,이비전 하운드_13,이비전 하운드_14,이비전 하운드_15,이비전 하운드_16,이비전 하운드_17,이비전 하운드_18,이비전 하운드_19,이비전 하운드_20
Dog,92.64151000976562,60.219627380371094,87.90584564208984,92.57907104492188,58.09029006958008,84.73150634765625,92.10466003417969,58.0173225402832,75.022216796875,0.0,83.03826141357422,90.81310272216797,56.144046783447266,67.225341796875,64.18775939941406,63.428070068359375,84.83922576904297,0.0,98.3980712890625,87.14954376220703
Mammal,92.64151000976562,93.38922119140625,92.32440948486328,93.987060546875,81.78031921386719,90.93829345703125,94.53677368164062,84.65254211425781,84.71649169921875,77.19457244873047,85.82087707519531,92.66761016845703,74.82427215576172,74.48066711425781,76.53166198730469,66.47148895263672,87.2378921508789,83.4808349609375,98.3980712890625,89.59101104736328
Pet,92.64151000976562,81.53936004638672,89.58538055419922,93.73724365234375,81.68746185302734,85.92572784423828,92.71480560302734,65.12337493896484,81.78314208984375,60.17779541015625,85.0084228515625,90.81310272216797,74.88186645507812,71.5599136352539,79.02278137207031,68.19387817382812,86.2697982788086,0.0,98.3980712890625,87.44649505615234
Animal,92.64151000976562,94.00730895996094,92.95198822021484,95.45677185058594,83.94956970214844,90.93829345703125,94.53677368164062,84.65254211425781,87.30413055419922,79.01084899902344,85.82087707519531,92.66761016845703,74.88186645507812,74.48066711425781,79.02278137207031,70.3470458984375,87.2378921508789,86.01606750488281,98.3980712890625,89.59101104736328
Canine,92.64151000976562,89.96642303466797,90.61736297607422,93.987060546875,78.04617309570312,86.32024383544922,94.53677368164062,58.0173225402832,80.34163665771484,67.87551879882812,85.82087707519531,92.66761016845703,74.82427215576172,74.48066711425781,76.53166198730469,66.47148895263672,87.2378921508789,0.0,98.3980712890625,89.59101104736328
Great Dane,66.83228302001953,0.0,87.25204467773438,56.29375457763672,0.0,69.39214324951172,57.7878532409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,58.513214111328125,60.219627380371094,62.05543518066406,82.1781234741211,0.0,0.0,79.55044555664062,58.0173225402832,0.0,0.0,0.0,56.71330261230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.73593139648438
Plant,0.0,98.86531066894531,99.32125091552734,0.0,0.0,64.55998229980469,0.0,0.0,56.16001892089844,0.0,0.0,0.0,0.0,0.0,0.0,89.23323059082031,0.0,0.0,0.0,0.0
Grass,0.0,98.86531066894531,99.32125091552734,0.0,0.0,64.55998229980469,0.0,0.0,56.16001892089844,0.0,0.0,0.0,0.0,0.0,0.0,89.23323059082031,0.0,0.0,0.0,0.0
Person,0.0,77.6668472290039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33553314208984,0.0,0.0,0.0,0.0,95.02919006347656,0.0,0.0
Human,0.0,77.6668472290039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33553314208984,0.0,0.0,0.0,0.0,95.02919006347656,0.0,0.0
Wildlife,0.0,71.21817779541016,60.59169006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deer,0.0,64.6996841430664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,63.88434600830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.28933334350586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.93871307373047,0.0,0.0
Grassland,0.0,62.28706359863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,62.28706359863281,0.0,0.0,0.0,59.14680099487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.34871673583984,0.0,0.0,0.0,0.0
Green,0.0,0.0,61.1129150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,60.821441650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antelope,0.0,0.0,60.59169006347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,65.01481628417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.740028381347656,0.0,0.0,0.0,0.0,0.0
Bow,0.0,0.0,0.0,63.61140060424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,66.93916320800781,0.0,0.0,0.0,0.0,61.47297668457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,66.93916320800781,0.0,0.0,0.0,0.0,61.47297668457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,58.3085823059082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pointer,0.0,0.0,0.0,0.0,58.09029006958008,57.7798957824707,0.0,0.0,0.0,0.0,0.0,73.56635284423828,0.0,0.0,0.0,0.0,74.58633422851562,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,55.99919891357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,56.000335693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flame,0.0,0.0,0.0,0.0,0.0,0.0,80.6142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,0.0,0.0,0.0,0.0,0.0,0.0,80.6142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,0.0,0.0,0.0,0.0,0.0,0.0,80.6142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,57.5068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.65254211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92036437988281,0.0,62.039268493652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.42994689941406,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.62287902832031,0.0,0.0,0.0,0.0,78.18849182128906,0.0,97.64745330810547,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.60681915283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.93614959716797,0.0,0.0,0.0,0.0,96.24724578857422,0.0,0.0,0.0,72.33187103271484,0.0,0.0
Frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.93614959716797,0.0,0.0,0.0,0.0,96.24724578857422,0.0,0.0,0.0,72.33187103271484,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.73142623901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93682098388672,0.0,77.43416595458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.56486511230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.49598693847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.315155029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6883773803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.284847259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Home Decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.17750930786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.23069381713867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.81046295166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.12838745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.12838745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47471618652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
