,이탤리언 그레이하운드_1,이탤리언 그레이하운드_2,이탤리언 그레이하운드_3,이탤리언 그레이하운드_4,이탤리언 그레이하운드_5,이탤리언 그레이하운드_6,이탤리언 그레이하운드_7,이탤리언 그레이하운드_8,이탤리언 그레이하운드_9,이탤리언 그레이하운드_10,이탤리언 그레이하운드_11,이탤리언 그레이하운드_12,이탤리언 그레이하운드_13,이탤리언 그레이하운드_14,이탤리언 그레이하운드_15,이탤리언 그레이하운드_16,이탤리언 그레이하운드_17,이탤리언 그레이하운드_18,이탤리언 그레이하운드_19,이탤리언 그레이하운드_20
Hound,99.98926544189453,0.0,0.0,76.76191711425781,0.0,0.0,0.0,74.06050109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,99.98926544189453,0.0,0.0,97.7917709350586,99.31759643554688,98.88966369628906,99.45829010009766,87.5748519897461,97.38943481445312,66.94131469726562,0.0,72.22762298583984,0.0,93.46939849853516,87.99199676513672,90.0613784790039,94.40190124511719,56.78647232055664,55.9156494140625,90.71887969970703
Mammal,99.98926544189453,0.0,0.0,97.7917709350586,99.31759643554688,98.88966369628906,99.45829010009766,89.4236068725586,97.38943481445312,72.56158447265625,62.620277404785156,79.93463134765625,0.0,93.46939849853516,89.3836441040039,91.55970001220703,94.40190124511719,92.45191955566406,88.74663543701172,92.1437759399414
Pet,99.98926544189453,0.0,0.0,97.7917709350586,99.31759643554688,98.88966369628906,99.45829010009766,88.7026138305664,97.38943481445312,66.94131469726562,58.85282897949219,74.8722152709961,0.0,93.46939849853516,91.82807159423828,92.91281127929688,94.40190124511719,70.27265167236328,88.52009582519531,92.40525817871094
Animal,99.98926544189453,0.0,0.0,97.7917709350586,99.31759643554688,98.88966369628906,99.45829010009766,89.4236068725586,97.38943481445312,72.56158447265625,62.620277404785156,81.45550537109375,57.2535514831543,93.46939849853516,91.82807159423828,92.91281127929688,94.40190124511719,93.71815490722656,88.74663543701172,92.40525817871094
Canine,99.98926544189453,0.0,0.0,97.7917709350586,99.31759643554688,98.88966369628906,99.45829010009766,89.4236068725586,97.38943481445312,66.94131469726562,0.0,79.93463134765625,0.0,93.46939849853516,89.3836441040039,91.04391479492188,94.40190124511719,56.78647232055664,88.74663543701172,92.1437759399414
Afghan Hound,97.72754669189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,70.57135772705078,91.84342956542969,96.18448638916016,0.0,0.0,0.0,0.0,0.0,81.88457489013672,0.0,0.0,0.0,96.81684112548828,0.0,0.0,0.0,0.0,0.0,84.3447265625,0.0
Person,70.57135772705078,91.84342956542969,96.18448638916016,0.0,0.0,0.0,0.0,0.0,81.88457489013672,0.0,0.0,0.0,96.81684112548828,0.0,0.0,0.0,0.0,0.0,84.3447265625,0.0
Standing,0.0,91.84342956542969,0.0,0.0,0.0,0.0,86.5312728881836,0.0,0.0,0.0,56.91285705566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bag,0.0,89.78601837158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Backpack,0.0,85.27897644042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performer,0.0,75.76209259033203,56.142093658447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,73.2112808227539,77.60084533691406,0.0,0.0,0.0,0.0,0.0,86.58905029296875,0.0,99.29847717285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
