,잉글리시 세터_1,잉글리시 세터_2,잉글리시 세터_3,잉글리시 세터_4,잉글리시 세터_5,잉글리시 세터_6,잉글리시 세터_7,잉글리시 세터_8,잉글리시 세터_9,잉글리시 세터_10,잉글리시 세터_11,잉글리시 세터_12,잉글리시 세터_13,잉글리시 세터_14,잉글리시 세터_15,잉글리시 세터_16,잉글리시 세터_17,잉글리시 세터_18,잉글리시 세터_19,잉글리시 세터_20
Animal,99.56251525878906,97.95340728759766,95.12153625488281,99.86991119384766,92.45254516601562,87.20556640625,93.04225158691406,94.3410873413086,98.19237518310547,95.8406753540039,94.95098114013672,92.40841674804688,82.9775390625,86.85765075683594,89.90706634521484,96.51749420166016,93.36750793457031,89.83519744873047,93.07553100585938,92.81868743896484
Canine,99.56251525878906,97.95340728759766,91.71928405761719,99.86991119384766,91.76228332519531,87.20556640625,93.04225158691406,94.22135162353516,98.19237518310547,95.23928833007812,94.9227066040039,92.40841674804688,70.006103515625,86.85765075683594,88.74090576171875,96.51749420166016,93.24899291992188,79.85037994384766,93.07553100585938,92.81868743896484
Pet,99.56251525878906,97.95340728759766,90.61284637451172,99.86991119384766,90.77054595947266,86.70805358886719,92.56216430664062,94.3410873413086,98.19237518310547,95.8406753540039,94.95098114013672,92.25175476074219,70.360107421875,84.8045883178711,89.8453598022461,96.51749420166016,93.36750793457031,88.43463134765625,92.79348754882812,92.2363510131836
Dog,99.56251525878906,97.95340728759766,90.61284637451172,99.86991119384766,90.77054595947266,85.81624603271484,91.46867370605469,94.08258819580078,98.19237518310547,94.59441375732422,93.34222412109375,90.02644348144531,60.95439910888672,79.79002380371094,0.0,96.51749420166016,92.58834075927734,59.41346740722656,92.46116638183594,90.99638366699219
Mammal,99.56251525878906,97.95340728759766,95.12153625488281,99.86991119384766,91.76228332519531,87.20556640625,93.04225158691406,94.22135162353516,98.19237518310547,95.23928833007812,94.9227066040039,92.40841674804688,82.9775390625,86.85765075683594,89.82037353515625,96.51749420166016,93.24899291992188,87.07527160644531,93.07553100585938,92.81868743896484
Cocker Spaniel,82.43095397949219,0.0,0.0,0.0,0.0,0.0,80.28540802001953,75.95124053955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.96682739257812,0.0
Spaniel,82.43095397949219,0.0,0.0,0.0,0.0,0.0,80.28540802001953,75.95124053955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.96682739257812,0.0
Hound,0.0,97.95340728759766,57.55234909057617,99.86991119384766,90.77054595947266,80.25090789794922,74.21289825439453,91.4408950805664,0.0,71.53520202636719,0.0,0.0,60.95439910888672,79.79002380371094,0.0,0.0,0.0,0.0,0.0,68.95816802978516
Afghan Hound,0.0,78.7852783203125,0.0,93.17288970947266,0.0,0.0,0.0,57.232444763183594,0.0,0.0,0.0,0.0,55.29796600341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,95.12153625488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,65.35731506347656,0.0,0.0,0.0,81.67814636230469,0.0,59.882118225097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9832763671875,0.0
Puppy,0.0,0.0,0.0,0.0,70.82184600830078,0.0,0.0,0.0,98.19237518310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,0.0,0.0,0.0,64.97871398925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standing,0.0,0.0,0.0,0.0,64.66866302490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.95793914794922,0.0,0.0
Sitting,0.0,0.0,0.0,0.0,59.33747100830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,0.0,58.029170989990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
