,잉글리시 스프링어 스패니얼_1,잉글리시 스프링어 스패니얼_2,잉글리시 스프링어 스패니얼_3,잉글리시 스프링어 스패니얼_4,잉글리시 스프링어 스패니얼_5,잉글리시 스프링어 스패니얼_6,잉글리시 스프링어 스패니얼_7,잉글리시 스프링어 스패니얼_8,잉글리시 스프링어 스패니얼_9,잉글리시 스프링어 스패니얼_10,잉글리시 스프링어 스패니얼_11,잉글리시 스프링어 스패니얼_12,잉글리시 스프링어 스패니얼_13,잉글리시 스프링어 스패니얼_14,잉글리시 스프링어 스패니얼_15,잉글리시 스프링어 스패니얼_16,잉글리시 스프링어 스패니얼_17,잉글리시 스프링어 스패니얼_18,잉글리시 스프링어 스패니얼_19,잉글리시 스프링어 스패니얼_20
Animal,98.54620361328125,93.15916442871094,94.34230041503906,93.8188247680664,95.3216552734375,98.78816223144531,93.74701690673828,95.30382537841797,93.59185791015625,91.78750610351562,92.60328674316406,91.52505493164062,95.46247863769531,93.41749572753906,81.73038482666016,93.19256591796875,88.80059051513672,91.91673278808594,97.71190643310547,88.05555725097656
Canine,98.54620361328125,93.15916442871094,93.86582946777344,93.8188247680664,95.3216552734375,98.78816223144531,93.74701690673828,95.30382537841797,88.73793029785156,91.75182342529297,92.60328674316406,91.2411117553711,95.46247863769531,93.41749572753906,81.73038482666016,93.19256591796875,88.02181243896484,91.91673278808594,97.71190643310547,88.05555725097656
Pet,98.54620361328125,93.01548767089844,94.34230041503906,93.8188247680664,95.16166687011719,98.78816223144531,93.74701690673828,94.33936309814453,93.4287109375,91.78750610351562,92.60328674316406,91.52505493164062,95.34184265136719,93.41749572753906,75.09524536132812,90.428466796875,87.47920227050781,91.85437774658203,97.71190643310547,87.563720703125
Dog,98.54620361328125,92.56954193115234,93.12841033935547,93.8188247680664,94.48678588867188,98.78816223144531,93.74701690673828,94.30139923095703,88.03813171386719,89.7347412109375,92.60328674316406,90.49201965332031,94.91327667236328,93.41749572753906,64.98075103759766,90.428466796875,86.7945785522461,90.6100845336914,97.71190643310547,82.02687072753906
Mammal,98.54620361328125,93.15916442871094,93.86582946777344,93.8188247680664,95.3216552734375,98.78816223144531,93.74701690673828,95.30382537841797,92.14590454101562,91.75182342529297,92.60328674316406,91.2411117553711,95.46247863769531,93.41749572753906,81.73038482666016,93.19256591796875,88.02181243896484,91.91673278808594,97.71190643310547,88.05555725097656
Cocker Spaniel,89.20812225341797,67.87635803222656,87.31761169433594,0.0,93.309814453125,94.8568344116211,55.41972351074219,91.04646301269531,0.0,0.0,0.0,75.20254516601562,83.42987823486328,0.0,0.0,73.95653533935547,0.0,0.0,97.71190643310547,0.0
Spaniel,89.20812225341797,67.87635803222656,87.31761169433594,0.0,93.309814453125,94.8568344116211,55.41972351074219,91.04646301269531,0.0,0.0,0.0,75.20254516601562,83.42987823486328,0.0,0.0,73.95653533935547,0.0,0.0,97.71190643310547,0.0
Photo,60.90201187133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Photography,60.90201187133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Bernard,0.0,82.02481079101562,0.0,71.8943862915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.364471435546875,61.21352005004883,66.15180969238281,0.0,0.0
Hound,0.0,55.87384796142578,63.19363784790039,0.0,0.0,0.0,93.74701690673828,0.0,87.22792053222656,83.4565658569336,92.60328674316406,64.96377563476562,0.0,64.66157531738281,0.0,0.0,70.12065887451172,61.95396041870117,0.0,82.02687072753906
Pointer,0.0,0.0,0.0,0.0,0.0,56.17552947998047,55.552703857421875,0.0,64.41185760498047,0.0,0.0,0.0,71.77485656738281,78.884033203125,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,0.0,0.0,0.0,67.0128402709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.04694366455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.04694366455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03882598876953,0.0,0.0,0.0,0.0,0.0,0.0,58.658573150634766,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84210968017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.91940307617188,0.0,0.0,0.0,83.06942749023438,91.84932708740234
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.91940307617188,0.0,0.0,0.0,83.06942749023438,91.84932708740234
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69776916503906,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.69776916503906,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9705581665039,0.0,0.0,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20539855957031,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.12584686279297,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25181198120117,0.0,0.0,0.0,0.0,0.0
Police,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34390640258789,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.401241302490234
