,잉글리시 토이 스패니얼_1,잉글리시 토이 스패니얼_2,잉글리시 토이 스패니얼_3,잉글리시 토이 스패니얼_4,잉글리시 토이 스패니얼_5,잉글리시 토이 스패니얼_6,잉글리시 토이 스패니얼_7,잉글리시 토이 스패니얼_8,잉글리시 토이 스패니얼_9,잉글리시 토이 스패니얼_10,잉글리시 토이 스패니얼_11,잉글리시 토이 스패니얼_12,잉글리시 토이 스패니얼_13,잉글리시 토이 스패니얼_14,잉글리시 토이 스패니얼_15,잉글리시 토이 스패니얼_16,잉글리시 토이 스패니얼_17,잉글리시 토이 스패니얼_18,잉글리시 토이 스패니얼_19,잉글리시 토이 스패니얼_20
Mammal,92.63214111328125,0.0,63.394527435302734,91.57275390625,93.54804229736328,97.21755981445312,92.34529113769531,98.83610534667969,91.68267822265625,99.1080322265625,97.49591827392578,90.7032699584961,91.93412017822266,88.9273681640625,91.90593719482422,93.98656463623047,94.7684326171875,91.6859359741211,93.84170532226562,90.69194793701172
Spaniel,92.63214111328125,0.0,0.0,86.05497741699219,89.6264419555664,78.49937438964844,89.08511352539062,95.4634780883789,79.24439239501953,78.02932739257812,97.49591827392578,63.08662796020508,70.25840759277344,0.0,75.51512908935547,0.0,80.277099609375,67.99543762207031,91.53440856933594,71.33977508544922
Dog,92.63214111328125,0.0,56.58433151245117,90.38381958007812,93.54804229736328,97.21755981445312,91.50334930419922,98.83610534667969,88.78929901123047,99.1080322265625,97.49591827392578,90.09197998046875,74.24447631835938,84.19709777832031,90.9711685180664,93.98656463623047,93.78573608398438,90.22862243652344,92.47118377685547,90.69194793701172
Canine,92.63214111328125,0.0,59.12601089477539,91.57275390625,93.54804229736328,97.21755981445312,92.34529113769531,98.83610534667969,91.68267822265625,99.1080322265625,97.49591827392578,90.7032699584961,91.00318908691406,88.2859878540039,91.90593719482422,93.98656463623047,94.7684326171875,91.6859359741211,93.84170532226562,90.69194793701172
Animal,92.63214111328125,0.0,63.394527435302734,91.57275390625,93.54804229736328,97.21755981445312,92.34529113769531,98.83610534667969,91.68267822265625,99.1080322265625,97.49591827392578,91.06982421875,91.93412017822266,88.9273681640625,91.90593719482422,93.98656463623047,94.7684326171875,91.6859359741211,93.84170532226562,90.69194793701172
Cocker Spaniel,92.63214111328125,0.0,0.0,86.05497741699219,89.6264419555664,78.49937438964844,89.08511352539062,95.4634780883789,79.24439239501953,78.02932739257812,97.49591827392578,63.08662796020508,70.25840759277344,0.0,75.51512908935547,0.0,80.277099609375,67.99543762207031,91.53440856933594,71.33977508544922
Pet,92.63214111328125,0.0,62.50117111206055,90.71231842041016,93.54804229736328,97.21755981445312,91.50334930419922,98.83610534667969,91.49791717529297,99.1080322265625,97.49591827392578,90.09197998046875,89.71963500976562,84.19709777832031,91.14418029785156,93.98656463623047,93.78573608398438,90.68305206298828,92.47118377685547,90.69194793701172
Person,75.25627899169922,76.43985748291016,0.0,0.0,0.0,0.0,0.0,0.0,65.88861083984375,0.0,0.0,66.48617553710938,92.83041381835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,75.25627899169922,76.43985748291016,0.0,0.0,0.0,0.0,0.0,0.0,65.88861083984375,0.0,0.0,66.48617553710938,92.83041381835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,91.07084655761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,91.07084655761719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,83.44450378417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,83.44450378417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,83.44450378417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,76.55789184570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Word,0.0,76.28317260742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collage,0.0,64.21278381347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Screen,0.0,58.780914306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electronics,0.0,58.780914306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,0.0,56.422122955322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy,0.0,0.0,89.83171844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,0.0,0.0,82.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
